band,site,nest,type,FamilyID,brood,mom_band,dad_band,nestling_num,seqID,Note
2850-57578,CHR,,dad,none,,,,,CO_57578,
2850-57579,CHR,,dad,none,,,,,CO_57579,
2850-57582,CHR,,dad,none,,,,,CO_57582,
2850-57695,Quick,,dad,none,,,,,CO_57695,
2850-57745,CHR,,dad,none,,,,,CO_57745,
2850-57756,CHR,,dad,none,,,,,CO_57756,
2850-57757,CHR,,dad,none,,,,,CO_57757,
2850-57758,CHR,,dad,none,,,,,CO_57758,
2850-57759,CHR,,dad,none,,,,,CO_57759,
2850-57762,CHR,,dad,none,,,,,CO_57762,
2850-57763,CHR,,dad,none,,,,,CO_57763,
2850-57808,CHR,,dad,none,,,,,CO_57808,
2850-57880,CHR,,dad,none,,,,,CO_57880,
2850-57881,CHR,,dad,none,,,,,CO_57881,
2850-57926,Blue Cloud,,dad,none,,,,,CO_57926,
2850-57927,Blue Cloud,,dad,none,,,,,CO_57927,
2850-57930,Blue Cloud,,dad,none,,,,,CO_57930,
2850-57955,CHR,,dad,none,,,,,CO_57955,
2850-57958,CHR,,dad,none,,,,,CO_57958,
2850-57962,CHR,,dad,none,,,,,CO_57962,
2850-57963,CHR,,dad,none,,,,,CO_57963,
2850-57967,Green Mill,2,dad,none,,,,,CO_57967,
2850-57970,CHR,,dad,none,,,,,CO_57970,
2850-57972,CHR,,dad,none,,,,,CO_57972,
2870-64907,CHR,,dad,none,,,,,CO_64907,
2870-64920,CHR,,dad,none,,,,,CO_64920,
2870-64921,CHR,,dad,none,,,,,CO_64921,
2870-64924,CHR,,dad,none,,,,,CO_64924,
2870-64928,CHR,,dad,none,,,,,CO_64928,
2870-65020,CHR,,dad,none,,,,,CO_65020,
2870-65021,CHR,,dad,none,,,,,CO_65021,
2870-65023,CHR,,dad,none,,,,,CO_65023,
2881-34050,CHR,,dad,none,,,,,CO_34050,
2811-83157,Plumbumpy,1,kid,Plum-01,1,2850-57945,2850-57944,05-Jan,CO_83157,
2811-83158,Plumbumpy,1,kid,Plum-01,1,2850-57945,2850-57944,05-Feb,CO_83158,
2811-83159,Plumbumpy,1,kid,Plum-01,1,2850-57945,2850-57944,05-Mar,CO_83159,
2811-83160,Plumbumpy,1,kid,Plum-01,1,2850-57945,2850-57944,05-Apr,CO_83160,
2811-83161,Plumbumpy,1,kid,Plum-01,1,2850-57945,2850-57944,05-May,CO_83161,
2850-57944,Plumbumpy,1,dad,Plum-01,,,,,CO_57944,
2850-57945,Plumbumpy,1,mom,Plum-01,,,,,CO_57945,
2850-57977,Red Wagon,1,dad,RedWagon-01,,,,,CO_57977,
2850-57978,Red Wagon,1,mom,RedWagon-01,,,,,CO_57978,
2881-33920,Red Wagon,1,kid,RedWagon-01,1,2850-57978,2850-57977,01-Jan,CO_33920,
2811-83190,Speedwell,1.2,kid,Speedwell-01,2,2850-57950,2850-57949,03-Jan,CO_83190,
2811-83191,Speedwell,1.2,kid,Speedwell-01,2,2850-57950,2850-57949,03-Feb,CO_83191,
2811-83192,Speedwell,1.2,kid,Speedwell-01,2,2850-57950,2850-57949,03-Mar,CO_83192,
2850-57949,Speedwell,1,dad,Speedwell-01,,,,,CO_57949,
2850-57950,Speedwell,1,mom,Speedwell-01,,,,,CO_57950,
2881-34132,Speedwell,1,kid,Speedwell-01,1,2850-57950,2850-57949,04-Jan,CO_34132,
2881-34133,Speedwell,1,kid,Speedwell-01,1,2850-57950,2850-57949,04-Feb,CO_34133,
2881-34134,Speedwell,1,kid,Speedwell-01,1,2850-57950,2850-57949,04-Mar,CO_34134,
2881-34135,Speedwell,1,kid,Speedwell-01,1,2850-57950,2850-57949,04-Apr,CO_34135,
2811-83152,Struthers,3,kid,Struthers-03,1,2850-57683,2850-57674,03-Jan,CO_83152,
2811-83153,Struthers,3,kid,Struthers-03,1,2850-57683,2850-57674,03-Feb,CO_83153,
2811-83154,Struthers,3,kid,Struthers-03,1,2850-57683,2850-57674,03-Mar,CO_83154,
2850-57674,Struthers,3,dad,Struthers-03,,,,,CO_57674,
2850-57683,Struthers,3,mom,Struthers-03,,,,,CO_57683,
2881-33944,Struthers,5,kid,Struthers-03,2,2850-57683,2850-57674,03-Jan,CO_33944,
2881-33945,Struthers,5,kid,Struthers-03,2,2850-57683,2850-57674,03-Feb,CO_33945,
2881-33946,Struthers,5,kid,Struthers-03,2,2850-57683,2850-57674,03-Mar,CO_33946,
2811-83155,Struthers,23,kid,Struthers-23,1,2850-57943,2850-57684,02-Jan,CO_83155,
2811-83156,Struthers,23,kid,Struthers-23,1,2850-57943,2850-57684,02-Feb,CO_83156,
2850-57684,Struthers,23,dad,Struthers-23,,,,,CO_57684,
2850-57943,Struthers,23,mom,Struthers-23,,,,,CO_57943,
2811-83148,Struthers,24,kid,Struthers-24,1,2850-57551,2850-57552,04-Jan,CO_83148,
2811-83149,Struthers,24,kid,Struthers-24,1,2850-57551,2850-57552,04-Feb,CO_83149,
2811-83150,Struthers,24,kid,Struthers-24,1,2850-57551,2850-57552,04-Mar,CO_83150,
2811-83151,Struthers,24,kid,Struthers-24,1,2850-57551,2850-57552,04-Apr,CO_83151,
2811-83176,Struthers,25,kid,Struthers-24,2,2850-57551,2850-57552,03-Jan,CO_83176,
2811-83177,Struthers,25,kid,Struthers-24,2,2850-57551,2850-57552,03-Feb,CO_83177,
2811-83178,Struthers,25,kid,Struthers-24,2,2850-57551,2850-57552,03-Mar,CO_83178,
2850-57551,Struthers,24,mom,Struthers-24,,,,,CO_57551,
2850-57552,Struthers,24,dad,Struthers-24,,,,,CO_57552,
2850-57629,Urban Farm Girlz,2,mom,UrbanFarm-05,,,,,CO_57629,
2850-57643,Urban Farm Girlz,2,dad,UrbanFarm-05,,,,,CO_57643,
2881-33805,Urban Farm Girlz,5,kid,UrbanFarm-05,1,2850-57629,2850-57643,01-Jan,CO_33805,
