"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest_ind1","Brood_ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest_ind2","Brood_ind2","clutch_id_ind2"
"CO_38691","CO_83022",0.988,0.012,0,0.006,57738,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83022","Cooks","kid","Cooks-23",32,"2","Cooks_32_2"
"CO_38691","CO_83020",0.979,0.021,0,0.011,52390,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83020","Cooks","kid","Cooks-23",32,"2","Cooks_32_2"
"CO_38691","CO_83032",0.983,0.014,0.003,0.01,62220,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83032","Schaaps","kid","Schaaps-108",97,"2","Schaaps_97_2"
"CO_38691","CO_83034",0.987,0.011,0.002,0.007,59135,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83034","Cooks","kid","Cooks-24",33,"2","Cooks_33_2"
"CO_38691","CO_83030",0.985,0.015,0,0.008,57321,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83030","Schaaps","kid","Schaaps-108",97,"2","Schaaps_97_2"
"CO_38691","CO_83033",0.988,0.01,0.001,0.006,59062,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83033","Cooks","kid","Cooks-24",33,"2","Cooks_33_2"
"CO_38691","CO_83035",0.99,0.009,0.001,0.005,60243,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83035","Cooks","kid","Cooks-24",33,"2","Cooks_33_2"
"CO_38691","CO_83037",0.991,0.008,0,0.004,68106,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83037","Struthers","kid","Struthers-20",10,"2","Struthers_10_2"
"CO_38691","CO_83031",0.987,0.013,0,0.007,61609,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83031","Schaaps","kid","Schaaps-108",97,"2","Schaaps_97_2"
"CO_38691","CO_83036",0.991,0.009,0,0.005,69141,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83036","Cooks","kid","Cooks-24",33,"2","Cooks_33_2"
"CO_38691","CO_83040",0.991,0.008,0.001,0.005,67673,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83040","Struthers","kid","Struthers-20",10,"2","Struthers_10_2"
"CO_38691","CO_83038",0.992,0.008,0,0.004,63663,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83038","Struthers","kid","Struthers-20",10,"2","Struthers_10_2"
"CO_38691","CO_83039",0.992,0.008,0,0.004,62921,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83039","Struthers","kid","Struthers-20",10,"2","Struthers_10_2"
"CO_38691","CO_83206",0.988,0.011,0.001,0.007,70409,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83206","Make Believe","kid","MakeBelieve-26",34,"1","Make Believe_34_1"
"CO_38691","CO_83046",0.982,0.015,0.003,0.01,67341,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83046","Schaaps","kid","Schaaps-80",80,"2","Schaaps_80_2"
"CO_38691","CO_83042",0.989,0.011,0,0.006,66815,"2811-38691","Cathys","mom","Cathys-02",2,"1","","2811-83042","Make Believe","kid","MakeBelieve-20",73,"2","Make Believe_73_2"
