"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest_ind1","Brood_ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest_ind2","Brood_ind2","clutch_id_ind2"
"CO_34131","CO_82981",0.99,0.01,0,0.005,57346,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82981","Blue Cloud","kid","BlueCloud-14",22,"1","Blue Cloud_22_2"
"CO_34131","CO_82984",0.992,0.006,0.002,0.005,49384,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82984","Cathys","kid","Cathys-03",1,"1","Mary Anns_1_2"
"CO_34131","CO_82985",0.993,0.007,0,0.004,56066,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82985","Cathys","kid","Cathys-03",1,"1","Mary Anns_1_2"
"CO_34131","CO_82983",0.99,0.008,0.003,0.006,57702,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82983","Blue Cloud","kid","BlueCloud-14",22,"1","Blue Cloud_22_2"
"CO_34131","CO_82982",0.992,0.008,0,0.004,56576,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82982","Blue Cloud","kid","BlueCloud-14",22,"1","Blue Cloud_22_2"
"CO_34131","CO_82987",0.991,0.007,0.001,0.005,52868,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82987","Cathys","kid","Cathys-03",1,"1","Mary Anns_1_2"
"CO_34131","CO_82988",0.991,0.008,0,0.005,58255,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82988","Schaaps","kid","Schaaps-54",33,"1","Schaaps_33_2"
"CO_34131","CO_82986",0.991,0.009,0,0.004,52923,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82986","Cathys","kid","Cathys-03",1,"1","Mary Anns_1_2"
"CO_34131","CO_82989",0.991,0.009,0,0.005,55413,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82989","Schaaps","kid","Schaaps-54",33,"1","Schaaps_33_2"
"CO_34131","CO_83019",0.991,0.009,0,0.005,52217,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83019","Cooks","kid","Cooks-23",32,"2","Cooks_32_2"
"CO_34131","CO_83018",0.992,0.007,0,0.004,51642,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83018","Cooks","kid","Cooks-23",32,"2","Cooks_32_2"
"CO_34131","CO_83020",0.994,0.006,0,0.003,48110,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83020","Cooks","kid","Cooks-23",32,"2","Cooks_32_2"
"CO_34131","CO_83022",0.995,0.005,0,0.003,52965,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83022","Cooks","kid","Cooks-23",32,"2","Cooks_32_2"
"CO_34131","CO_83029",0.992,0.005,0.003,0.005,55480,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83029","Schaaps","kid","Schaaps-108",97,"2","Schaaps_97_2"
"CO_34131","CO_82990",0.992,0.008,0,0.004,63917,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-82990","Schaaps","kid","Schaaps-54",33,"1","Schaaps_33_2"
"CO_34131","CO_83031",0.992,0.007,0.001,0.004,56523,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83031","Schaaps","kid","Schaaps-108",97,"2","Schaaps_97_2"
"CO_34131","CO_83030",0.992,0.008,0,0.004,52539,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83030","Schaaps","kid","Schaaps-108",97,"2","Schaaps_97_2"
"CO_34131","CO_83033",0.993,0.006,0.001,0.004,54151,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83033","Cooks","kid","Cooks-24",33,"2","Cooks_33_2"
"CO_34131","CO_83034",0.992,0.006,0.001,0.005,54270,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83034","Cooks","kid","Cooks-24",33,"2","Cooks_33_2"
"CO_34131","CO_83035",0.993,0.007,0,0.004,55260,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83035","Cooks","kid","Cooks-24",33,"2","Cooks_33_2"
"CO_34131","CO_83032",0.991,0.009,0,0.004,56920,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83032","Schaaps","kid","Schaaps-108",97,"2","Schaaps_97_2"
"CO_34131","CO_83037",0.994,0.005,0,0.003,62447,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83037","Struthers","kid","Struthers-20",10,"2","Struthers_10_2"
"CO_34131","CO_83036",0.992,0.008,0,0.004,63392,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83036","Cooks","kid","Cooks-24",33,"2","Cooks_33_2"
