"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest_ind1","Brood_ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest_ind2","Brood_ind2","clutch_id_ind2"
"CO_57505","CO_E15",0.298,0.605,0.096,0.399,61246,"2850-57505","Cooks","dad","Cooks-23",NA,NA,NA,"E15","Cooks","egg","Cooks-23",23,"collected","Cooks-23_collected"
"CO_57505","CO_E18",0.268,0.635,0.097,0.415,67581,"2850-57505","Cooks","dad","Cooks-23",NA,NA,NA,"E18","Cooks","egg","Cooks-23",23,"collected","Cooks-23_collected"
"CO_57505","CO_E55",0.297,0.596,0.106,0.404,63082,"2850-57505","Cooks","dad","Cooks-23",NA,NA,NA,"E55","Cooks","egg","Cooks-27",27,"collected","Cooks-27_collected"
"CO_57538","CO_83045",0.31,0.578,0.113,0.401,51525,"2850-57538","Schaaps","dad","Schaaps-80",NA,NA,NA,"2811-83045","Schaaps","kid","Schaaps-80",80,"2","Schaaps_80_2"
"CO_57549","CO_82986",0.316,0.544,0.14,0.412,53598,"2850-57549","Cathys","dad","Cathys-03",NA,NA,NA,"2811-82986","Cathys","kid","Cathys-03",1,"1","Mary Anns_1_2"
"CO_57549","CO_82987",0.314,0.536,0.149,0.418,53331,"2850-57549","Cathys","dad","Cathys-03",NA,NA,NA,"2811-82987","Cathys","kid","Cathys-03",1,"1","Mary Anns_1_2"
"CO_57549","CO_82985",0.327,0.531,0.142,0.408,56658,"2850-57549","Cathys","dad","Cathys-03",NA,NA,NA,"2811-82985","Cathys","kid","Cathys-03",1,"1","Mary Anns_1_2"
"CO_57549","CO_82984",0.335,0.519,0.146,0.406,49975,"2850-57549","Cathys","dad","Cathys-03",NA,NA,NA,"2811-82984","Cathys","kid","Cathys-03",1,"1","Mary Anns_1_2"
"CO_57549","CO_E34",0.325,0.52,0.155,0.415,60237,"2850-57549","Cathys","dad","Cathys-03",NA,NA,NA,"E34","Cathys","egg","Cathys-03",3,"collected","Cathys-03_collected"
"CO_57549","CO_E37",0.263,0.624,0.113,0.425,57249,"2850-57549","Cathys","dad","Cathys-03",NA,NA,NA,"E37","Cathys","egg","Cathys-03",3,"collected","Cathys-03_collected"
"CO_57549","CO_E35",0.273,0.614,0.113,0.42,60132,"2850-57549","Cathys","dad","Cathys-03",NA,NA,NA,"E35","Cathys","egg","Cathys-03",3,"collected","Cathys-03_collected"
"CO_57549","CO_E36",0.306,0.548,0.146,0.42,51979,"2850-57549","Cathys","dad","Cathys-03",NA,NA,NA,"E36","Cathys","egg","Cathys-03",3,"collected","Cathys-03_collected"
"CO_57553","CO_82974",0.399,0.419,0.182,0.392,51004,"2850-57553","Schaaps","mom","Schaaps-108",NA,NA,NA,"2811-82974","Schaaps","kid","Schaaps-108",32,"1","Schaaps_32_1"
"CO_57553","CO_82976",0.419,0.397,0.184,0.382,50612,"2850-57553","Schaaps","mom","Schaaps-108",NA,NA,NA,"2811-82976","Schaaps","kid","Schaaps-108",32,"1","Schaaps_32_1"
"CO_57553","CO_83029",0.358,0.503,0.139,0.39,53944,"2850-57553","Schaaps","mom","Schaaps-108",NA,NA,NA,"2811-83029","Schaaps","kid","Schaaps-108",97,"2","Schaaps_97_2"
"CO_57553","CO_82975",0.407,0.417,0.176,0.384,54801,"2850-57553","Schaaps","mom","Schaaps-108",NA,NA,NA,"2811-82975","Schaaps","kid","Schaaps-108",32,"1","Schaaps_32_1"
"CO_57553","CO_83031",0.348,0.532,0.12,0.386,54990,"2850-57553","Schaaps","mom","Schaaps-108",NA,NA,NA,"2811-83031","Schaaps","kid","Schaaps-108",97,"2","Schaaps_97_2"
"CO_57553","CO_83032",0.345,0.521,0.133,0.394,55501,"2850-57553","Schaaps","mom","Schaaps-108",NA,NA,NA,"2811-83032","Schaaps","kid","Schaaps-108",97,"2","Schaaps_97_2"
"CO_57553","CO_83030",0.395,0.423,0.182,0.394,51294,"2850-57553","Schaaps","mom","Schaaps-108",NA,NA,NA,"2811-83030","Schaaps","kid","Schaaps-108",97,"2","Schaaps_97_2"
"CO_57553","CO_E70",0.37,0.474,0.156,0.393,56734,"2850-57553","Schaaps","mom","Schaaps-108",NA,NA,NA,"E70","Schaaps","egg","Schaaps-108",108,"collected","Schaaps-108_collected"
"CO_57553","CO_E71",0.315,0.568,0.118,0.401,59463,"2850-57553","Schaaps","mom","Schaaps-108",NA,NA,NA,"E71","Schaaps","egg","Schaaps-108",108,"collected","Schaaps-108_collected"
"CO_57553","CO_E74",0.296,0.582,0.122,0.413,63951,"2850-57553","Schaaps","mom","Schaaps-108",NA,NA,NA,"E74","Schaaps","egg","Schaaps-108",108,"collected","Schaaps-108_collected"
"CO_57553","CO_E72",0.313,0.562,0.125,0.406,54678,"2850-57553","Schaaps","mom","Schaaps-108",NA,NA,NA,"E72","Schaaps","egg","Schaaps-108",108,"collected","Schaaps-108_collected"
"CO_57553","CO_E73",0.329,0.522,0.149,0.41,54713,"2850-57553","Schaaps","mom","Schaaps-108",NA,NA,NA,"E73","Schaaps","egg","Schaaps-108",108,"collected","Schaaps-108_collected"
"CO_57555","CO_E83",0.318,0.552,0.131,0.406,57451,"2850-57555","Reinarz","mom","Reinarz-01",NA,NA,NA,"E83","Reinarz","egg","Reinarz-01",1,"collected","Reinarz-01_collected"
"CO_57555","CO_E84",0.324,0.557,0.119,0.398,58861,"2850-57555","Reinarz","mom","Reinarz-01",NA,NA,NA,"E84","Reinarz","egg","Reinarz-01",1,"collected","Reinarz-01_collected"
"CO_57555","CO_E82",0.327,0.54,0.132,0.403,60684,"2850-57555","Reinarz","mom","Reinarz-01",NA,NA,NA,"E82","Reinarz","egg","Reinarz-01",1,"collected","Reinarz-01_collected"
"CO_57555","CO_E81",0.332,0.514,0.154,0.411,59316,"2850-57555","Reinarz","mom","Reinarz-01",NA,NA,NA,"E81","Reinarz","egg","Reinarz-01",1,"collected","Reinarz-01_collected"
