"dist","near_rank","BarnName_1","BarnName_2"
6035.930785,34,"Struthers round","Ericas"
6123.930829,35,"Struthers round","Grizz est"
7100.18148,36,"Struthers round","James Ditch est"
8726.590802,37,"Struthers round","Cargill est"
9083.204192,38,"Struthers round","Cooks"
9133.874133,39,"Struthers round","Hepp awning"
9423.394954,40,"Struthers round","Reinarz Garage est"
9456.744013,41,"Struthers round","Reinarz shed est"
9573.097644,42,"Struthers round","Alishas est"
10021.34186,43,"Struthers round","Sol y Sombra est"
22.52520255,1,"Struthers back shed","Struthers main"
73.15476567,2,"Struthers back shed","Struthers round"
285.6095759,3,"Struthers back shed","Green Mill est"
480.3136516,4,"Struthers back shed","Jays est"
1023.415992,5,"Struthers back shed","Nixon est"
1084.868369,6,"Struthers back shed","Speedwell est"
1193.685977,7,"Struthers back shed","Blue Cloud wash room"
1208.80991,8,"Struthers back shed","Blue Cloud Middle Shed"
1214.410615,9,"Struthers back shed","Blue Cloud Gazebo"
1231.120148,10,"Struthers back shed","Blue Cloud pony shed"
1248.311777,11,"Struthers back shed","Blue Cloud main"
1970.620251,12,"Struthers back shed","Red Wagon porch est"
2058.423622,13,"Struthers back shed","Starlight est"
2592.037902,14,"Struthers back shed","McCauley est"
3183.906215,15,"Struthers back shed","Boyer"
3201.380908,16,"Struthers back shed","Jims Green Barn est"
3223.45915,17,"Struthers back shed","Plumbumpy est"
3344.231333,18,"Struthers back shed","Make Believe"
3383.274905,19,"Struthers back shed","Make Believe Shed"
3425.791319,20,"Struthers back shed","Mary Anns est"
3519.36266,21,"Struthers back shed","Cathys est"
3528.27161,22,"Struthers back shed","Cathys trailer est"
3627.755946,23,"Struthers back shed","Martes est"
4071.894262,24,"Struthers back shed","Brown Barn est"
4080.448058,25,"Struthers back shed","Quick est"
4123.973844,26,"Struthers back shed","Mayas est"
4137.288335,27,"Struthers back shed","Dome House est"
4231.890601,28,"Struthers back shed","Urban Farm Girlz Sheep Shed"
4270.106524,29,"Struthers back shed","Urban Farm Girlz Red Barn"
