"Ind2","genetic_fam","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest_ind2","Brood_ind2","clutch_id_ind2","k0_hat_dad","k1_hat_dad","k2_hat_dad","pi_HAT_dad","nbSNP_dad","Band_dad","Site_dad","Type_dad","FamilyID_dad","k0_hat_mom","k1_hat_mom","k2_hat_mom","pi_HAT_mom","nbSNP_mom","Band_mom","Site_mom","Type_mom","FamilyID_mom","site_cat"
"CO_82990","2811-06912_2850-57603","2811-82990","Schaaps","kid","Schaaps-54",33,"1","Schaaps_33_2",0.26,0.619,0.121,0.43,62959,"2811-06912","Schaaps","dad","Schaaps-54",0.296,0.584,0.12,0.412,61549,"2850-57603","Schaaps","mom","Schaaps-54","medium"
"CO_82970","2850-57505_2640-97370","2811-82970","Cooks","kid","Cooks-23",22,"1","Cooks_22_1",0.326,0.568,0.106,0.39,57952,"2850-57505","Cooks","dad","Cooks-23",0.338,0.536,0.126,0.394,59750,"2640-97370","Cooks","mom","Cooks-23","medium"
"CO_83018","2850-57505_2640-97370","2811-83018","Cooks","kid","Cooks-23",32,"2","Cooks_32_2",0.33,0.552,0.118,0.394,54527,"2850-57505","Cooks","dad","Cooks-23",0.334,0.542,0.124,0.395,56212,"2640-97370","Cooks","mom","Cooks-23","medium"
"CO_83020","2850-57505_2640-97370","2811-83020","Cooks","kid","Cooks-23",32,"2","Cooks_32_2",0.387,0.457,0.156,0.385,50823,"2850-57505","Cooks","dad","Cooks-23",0.361,0.481,0.159,0.399,52421,"2640-97370","Cooks","mom","Cooks-23","medium"
"CO_82977","2850-57505_2850-57558","2811-82977","Hepp (near Cook)","kid","Cooks-31",1,"1","Hepp (near Cook)_1_1",0.304,0.577,0.119,0.408,59602,"2850-57505","Cooks","dad","Cooks-23",0.362,0.489,0.149,0.394,57836,"2850-57558","Cooks","mom","Cooks-31","solitary"
"CO_83022","2850-57505_2640-97370","2811-83022","Cooks","kid","Cooks-23",32,"2","Cooks_32_2",0.336,0.532,0.132,0.398,55870,"2850-57505","Cooks","dad","Cooks-23",0.34,0.535,0.125,0.393,57619,"2640-97370","Cooks","mom","Cooks-23","medium"
"CO_83019","2850-57505_2640-97370","2811-83019","Cooks","kid","Cooks-23",32,"2","Cooks_32_2",0.348,0.509,0.143,0.397,55065,"2850-57505","Cooks","dad","Cooks-23",0.357,0.518,0.125,0.384,56810,"2640-97370","Cooks","mom","Cooks-23","medium"
"CO_E17","2850-57505_2640-97370","E17","Cooks","egg","Cooks-23",23,"collected","Cooks-23_collected",0.33,0.553,0.118,0.394,58761,"2850-57505","Cooks","dad","Cooks-23",0.325,0.571,0.104,0.389,60592,"2640-97370","Cooks","mom","Cooks-23","medium"
"CO_E16","2850-57505_2640-97370","E16","Cooks","egg","Cooks-23",23,"collected","Cooks-23_collected",0.265,0.654,0.082,0.408,70721,"2850-57505","Cooks","dad","Cooks-23",0.296,0.621,0.083,0.394,72957,"2640-97370","Cooks","mom","Cooks-23","medium"
"CO_E19","2850-57505_2640-97370","E19","Cooks","egg","Cooks-23",23,"collected","Cooks-23_collected",0.291,0.617,0.092,0.401,65211,"2850-57505","Cooks","dad","Cooks-23",0.288,0.628,0.084,0.398,67297,"2640-97370","Cooks","mom","Cooks-23","medium"
"CO_E15","2850-57505_2640-97370","E15","Cooks","egg","Cooks-23",23,"collected","Cooks-23_collected",0.298,0.605,0.096,0.399,61246,"2850-57505","Cooks","dad","Cooks-23",0.315,0.58,0.105,0.395,63172,"2640-97370","Cooks","mom","Cooks-23","medium"
"CO_E18","2850-57505_2640-97370","E18","Cooks","egg","Cooks-23",23,"collected","Cooks-23_collected",0.268,0.635,0.097,0.415,67581,"2850-57505","Cooks","dad","Cooks-23",0.257,0.678,0.066,0.405,69776,"2640-97370","Cooks","mom","Cooks-23","medium"
"CO_E55","2850-57505_2850-57853","E55","Cooks","egg","Cooks-27",27,"collected","Cooks-27_collected",0.297,0.596,0.106,0.404,63082,"2850-57505","Cooks","dad","Cooks-23",0.296,0.58,0.124,0.414,53179,"2850-57853","Cooks","mom","Cooks-27","medium"
"CO_83045","2850-57538_2850-57556","2811-83045","Schaaps","kid","Schaaps-80",80,"2","Schaaps_80_2",0.31,0.578,0.113,0.401,51525,"2850-57538","Schaaps","dad","Schaaps-80",0.27,0.627,0.104,0.417,60772,"2850-57556","Schaaps","mom","Schaaps-80","medium"
"CO_82986","2850-57549_2850-57550","2811-82986","Cathys","kid","Cathys-03",1,"1","Mary Anns_1_2",0.316,0.544,0.14,0.412,53598,"2850-57549","Cathys","dad","Cathys-03",0.357,0.469,0.174,0.409,51613,"2850-57550","Cathys","mom","Cathys-03","small"
"CO_82987","2850-57549_2850-57550","2811-82987","Cathys","kid","Cathys-03",1,"1","Mary Anns_1_2",0.314,0.536,0.149,0.418,53331,"2850-57549","Cathys","dad","Cathys-03",0.383,0.442,0.175,0.396,51218,"2850-57550","Cathys","mom","Cathys-03","small"
"CO_82985","2850-57549_2850-57550","2811-82985","Cathys","kid","Cathys-03",1,"1","Mary Anns_1_2",0.327,0.531,0.142,0.408,56658,"2850-57549","Cathys","dad","Cathys-03",0.333,0.517,0.15,0.409,54541,"2850-57550","Cathys","mom","Cathys-03","small"
"CO_82984","2850-57549_2850-57550","2811-82984","Cathys","kid","Cathys-03",1,"1","Mary Anns_1_2",0.335,0.519,0.146,0.406,49975,"2850-57549","Cathys","dad","Cathys-03",0.367,0.445,0.187,0.41,47963,"2850-57550","Cathys","mom","Cathys-03","small"
"CO_E34","2850-57549_2850-57550","E34","Cathys","egg","Cathys-03",3,"collected","Cathys-03_collected",0.325,0.52,0.155,0.415,60237,"2850-57549","Cathys","dad","Cathys-03",0.296,0.581,0.124,0.414,57704,"2850-57550","Cathys","mom","Cathys-03","small"
"CO_E37","2850-57549_2850-57550","E37","Cathys","egg","Cathys-03",3,"collected","Cathys-03_collected",0.263,0.624,0.113,0.425,57249,"2850-57549","Cathys","dad","Cathys-03",0.29,0.583,0.127,0.418,55302,"2850-57550","Cathys","mom","Cathys-03","small"
"CO_E35","2850-57549_2850-57550","E35","Cathys","egg","Cathys-03",3,"collected","Cathys-03_collected",0.273,0.614,0.113,0.42,60132,"2850-57549","Cathys","dad","Cathys-03",0.295,0.564,0.141,0.423,58058,"2850-57550","Cathys","mom","Cathys-03","small"
"CO_E36","2850-57549_2850-57550","E36","Cathys","egg","Cathys-03",3,"collected","Cathys-03_collected",0.306,0.548,0.146,0.42,51979,"2850-57549","Cathys","dad","Cathys-03",0.379,0.424,0.197,0.409,49500,"2850-57550","Cathys","mom","Cathys-03","small"
"CO_82974","2850-57607_2850-57553","2811-82974","Schaaps","kid","Schaaps-108",32,"1","Schaaps_32_1",0.311,0.573,0.116,0.402,56084,"2850-57607","Schaaps","dad","Schaaps-108",0.399,0.419,0.182,0.392,51004,"2850-57553","Schaaps","mom","Schaaps-108","medium"
"CO_82976","2850-57701_2850-57553","2811-82976","Schaaps","kid","Schaaps-108",32,"1","Schaaps_32_1",0.434,0.361,0.205,0.385,47763,"2850-57701","Schaaps","dad","Schaaps-110",0.419,0.397,0.184,0.382,50612,"2850-57553","Schaaps","mom","Schaaps-108","medium"
"CO_83029","2850-57607_2850-57553","2811-83029","Schaaps","kid","Schaaps-108",97,"2","Schaaps_97_2",0.354,0.509,0.137,0.391,59540,"2850-57607","Schaaps","dad","Schaaps-108",0.358,0.503,0.139,0.39,53944,"2850-57553","Schaaps","mom","Schaaps-108","medium"
"CO_82975","2850-57607_2850-57553","2811-82975","Schaaps","kid","Schaaps-108",32,"1","Schaaps_32_1",0.322,0.578,0.1,0.389,60233,"2850-57607","Schaaps","dad","Schaaps-108",0.407,0.417,0.176,0.384,54801,"2850-57553","Schaaps","mom","Schaaps-108","medium"
"CO_83032","2850-57607_2850-57553","2811-83032","Schaaps","kid","Schaaps-108",97,"2","Schaaps_97_2",0.337,0.551,0.112,0.387,61033,"2850-57607","Schaaps","dad","Schaaps-108",0.345,0.521,0.133,0.394,55501,"2850-57553","Schaaps","mom","Schaaps-108","medium"
"CO_83030","2850-57607_2850-57553","2811-83030","Schaaps","kid","Schaaps-108",97,"2","Schaaps_97_2",0.33,0.522,0.148,0.409,56349,"2850-57607","Schaaps","dad","Schaaps-108",0.395,0.423,0.182,0.394,51294,"2850-57553","Schaaps","mom","Schaaps-108","medium"
"CO_E70","2850-57607_2850-57553","E70","Schaaps","egg","Schaaps-108",108,"collected","Schaaps-108_collected",0.293,0.604,0.103,0.405,62533,"2850-57607","Schaaps","dad","Schaaps-108",0.37,0.474,0.156,0.393,56734,"2850-57553","Schaaps","mom","Schaaps-108","medium"
