"Ind2","genetic_fam","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest_ind2","Brood_ind2","clutch_id_ind2","k0_hat_dad","k1_hat_dad","k2_hat_dad","pi_HAT_dad","nbSNP_dad","Band_dad","Site_dad","Type_dad","FamilyID_dad","k0_hat_mom","k1_hat_mom","k2_hat_mom","pi_HAT_mom","nbSNP_mom","Band_mom","Site_mom","Type_mom","FamilyID_mom","site_cat"
"CO_E44","2850-57552_2850-57551","E44","Struthers","egg","Struthers-20",20,"collected","Struthers-20_collected",0.377,0.485,0.138,0.38,60273,"2850-57552","Struthers","dad","Struthers-20",0.421,0.411,0.168,0.374,56396,"2850-57551","Struthers","mom","Struthers-20","small"
"CO_E45","2850-57552_2850-57551","E45","Struthers","egg","Struthers-20",20,"collected","Struthers-20_collected",0.33,0.582,0.088,0.379,65105,"2850-57552","Struthers","dad","Struthers-20",0.376,0.483,0.141,0.383,60877,"2850-57551","Struthers","mom","Struthers-20","small"
"CO_E46","2850-57552_2850-57551","E46","Struthers","egg","Struthers-20",20,"collected","Struthers-20_collected",0.323,0.574,0.102,0.39,65979,"2850-57552","Struthers","dad","Struthers-20",0.379,0.492,0.129,0.375,61703,"2850-57551","Struthers","mom","Struthers-20","small"
"CO_E47","2850-57552_2850-57551","E47","Struthers","egg","Struthers-20",20,"collected","Struthers-20_collected",0.331,0.571,0.097,0.383,63303,"2850-57552","Struthers","dad","Struthers-20",0.36,0.515,0.125,0.382,59212,"2850-57551","Struthers","mom","Struthers-20","small"
"CO_E75","2850-57557_2850-57609","E75","Cooks","egg","Cooks-24",24,"collected","Cooks-24_collected",0.312,0.564,0.124,0.406,55432,"2850-57557","Cooks","dad","Cooks-24",0.353,0.524,0.123,0.385,53473,"2850-57609","Cooks","mom","Cooks-24","medium"
"CO_E76","2850-57557_2850-57609","E76","Cooks","egg","Cooks-24",24,"collected","Cooks-24_collected",0.243,0.692,0.065,0.411,61755,"2850-57557","Cooks","dad","Cooks-24",0.246,0.672,0.082,0.418,59427,"2850-57609","Cooks","mom","Cooks-24","medium"
"CO_E78","2850-57557_2850-57609","E78","Cooks","egg","Cooks-24",24,"collected","Cooks-24_collected",0.346,0.516,0.137,0.396,54447,"2850-57557","Cooks","dad","Cooks-24",0.327,0.556,0.118,0.395,52470,"2850-57609","Cooks","mom","Cooks-24","medium"
"CO_E77","2850-57557_2850-57609","E77","Cooks","egg","Cooks-24",24,"collected","Cooks-24_collected",0.345,0.526,0.129,0.392,56240,"2850-57557","Cooks","dad","Cooks-24",0.36,0.478,0.162,0.401,54192,"2850-57609","Cooks","mom","Cooks-24","medium"
"CO_E79","2850-57557_2850-57609","E79","Cooks","egg","Cooks-24",24,"collected","Cooks-24_collected",0.329,0.536,0.135,0.403,55877,"2850-57557","Cooks","dad","Cooks-24",0.373,0.452,0.174,0.4,53846,"2850-57609","Cooks","mom","Cooks-24","medium"
"CO_83001","Schaaps-71_uns1_2850-57611","2811-83001","Schaaps","kid","Schaaps-71",134,"2","Schaaps_134_2",NA,NA,NA,NA,NA,"Schaaps-71_uns1",NA,NA,NA,0.213,0.676,0.111,0.449,63162,"2850-57611","Schaaps","mom","Schaaps-71","medium"
"CO_83002","Schaaps-71_uns1_2850-57611","2811-83002","Schaaps","kid","Schaaps-71",134,"2","Schaaps_134_2",NA,NA,NA,NA,NA,"Schaaps-71_uns1",NA,NA,NA,0.184,0.761,0.056,0.436,65248,"2850-57611","Schaaps","mom","Schaaps-71","medium"
"CO_83005","Schaaps-71_uns1_2850-57611","2811-83005","Schaaps","kid","Schaaps-71",134,"2","Schaaps_134_2",NA,NA,NA,NA,NA,"Schaaps-71_uns1",NA,NA,NA,0.202,0.728,0.07,0.434,61340,"2850-57611","Schaaps","mom","Schaaps-71","medium"
"CO_83003","Schaaps-71_uns2_2850-57611","2811-83003","Schaaps","kid","Schaaps-71",134,"2","Schaaps_134_2",NA,NA,NA,NA,NA,"Schaaps-71_uns2",NA,NA,NA,0.169,0.776,0.054,0.442,64880,"2850-57611","Schaaps","mom","Schaaps-71","medium"
"CO_83004","Schaaps-24_uns1_2850-57905","2811-83004","Schaaps","kid","Schaaps-24",28,"2","Schaaps_28_2",NA,NA,NA,NA,NA,"Schaaps-24_uns1",NA,NA,NA,0.17,0.747,0.083,0.456,58718,"2850-57905","Schaaps","mom","Schaaps-24","medium"
"CO_83031","Schaaps-54_uns1_2850-57553","2811-83031","Schaaps","kid","Schaaps-108",97,"2","Schaaps_97_2",NA,NA,NA,NA,NA,"Schaaps-54_uns1",NA,NA,NA,0.348,0.532,0.12,0.386,54990,"2850-57553","Schaaps","mom","Schaaps-108","medium"
"CO_83046","Schaaps-80_uns2_2850-57556","2811-83046","Schaaps","kid","Schaaps-80",80,"2","Schaaps_80_2",NA,NA,NA,NA,NA,"Schaaps-80_uns2",NA,NA,NA,0.251,0.665,0.083,0.416,65767,"2850-57556","Schaaps","mom","Schaaps-80","medium"
"CO_83044","Schaaps-80_uns1_2850-57556","2811-83044","Schaaps","kid","Schaaps-80",80,"2","Schaaps_80_2",NA,NA,NA,NA,NA,"Schaaps-80_uns1",NA,NA,NA,0.273,0.629,0.098,0.413,64913,"2850-57556","Schaaps","mom","Schaaps-80","medium"
"CO_82978","Cooks-31_uns2_2850-57558","2811-82978","Hepp (near Cook)","kid","Cooks-31",1,"1","Hepp (near Cook)_1_1",NA,NA,NA,NA,NA,"Cooks-31_uns2",NA,NA,NA,0.387,0.429,0.184,0.398,55874,"2850-57558","Cooks","mom","Cooks-31","solitary"
"CO_E63","Cooks-31_uns1_2850-57558","E63","Cooks","egg","Cooks-31",31,"collected","Cooks-31_collected",NA,NA,NA,NA,NA,"Cooks-31_uns1",NA,NA,NA,0.335,0.524,0.141,0.403,61845,"2850-57558","Cooks","mom","Cooks-31","medium"
"CO_82989","Schaaps-54_uns2_2850-57603","2811-82989","Schaaps","kid","Schaaps-54",33,"1","Schaaps_33_2",NA,NA,NA,NA,NA,"Schaaps-54_uns2",NA,NA,NA,0.359,0.462,0.179,0.41,53332,"2850-57603","Schaaps","mom","Schaaps-54","medium"
"CO_E58","Schaaps-54_uns1_2850-57603","E58","Schaaps","egg","Schaaps-54",54,"collected","Schaaps-54_collected",NA,NA,NA,NA,NA,"Schaaps-54_uns1",NA,NA,NA,0.33,0.554,0.117,0.393,59720,"2850-57603","Schaaps","mom","Schaaps-54","medium"
"CO_E56","Schaaps-54_uns1_2850-57603","E56","Schaaps","egg","Schaaps-54",54,"collected","Schaaps-54_collected",NA,NA,NA,NA,NA,"Schaaps-54_uns1",NA,NA,NA,0.327,0.53,0.143,0.408,55307,"2850-57603","Schaaps","mom","Schaaps-54","medium"
"CO_E57","Schaaps-54_uns1_2850-57603","E57","Schaaps","egg","Schaaps-54",54,"collected","Schaaps-54_collected",NA,NA,NA,NA,NA,"Schaaps-54_uns1",NA,NA,NA,0.346,0.487,0.167,0.41,53422,"2850-57603","Schaaps","mom","Schaaps-54","medium"
"CO_E59","Schaaps-54_uns1_2850-57603","E59","Schaaps","egg","Schaaps-54",54,"collected","Schaaps-54_collected",NA,NA,NA,NA,NA,"Schaaps-54_uns1",NA,NA,NA,0.349,0.483,0.168,0.41,55473,"2850-57603","Schaaps","mom","Schaaps-54","medium"
"CO_83405","BlueCloud-09_uns1_2850-57612","2811-83405","Blue Cloud","kid","BlueCloud-09",21,"1","Blue Cloud_21_1",NA,NA,NA,NA,NA,"BlueCloud-09_uns1",NA,NA,NA,0.328,0.544,0.127,0.4,56987,"2850-57612","Blue Cloud","mom","BlueCloud-09","medium"
"CO_83407","BlueCloud-09_uns1_2850-57612","2811-83407","Blue Cloud","kid","BlueCloud-09",21,"1","Blue Cloud_21_1",NA,NA,NA,NA,NA,"BlueCloud-09_uns1",NA,NA,NA,0.298,0.612,0.09,0.396,62618,"2850-57612","Blue Cloud","mom","BlueCloud-09","medium"
"CO_83408","BlueCloud-09_uns1_2850-57612","2811-83408","Blue Cloud","kid","BlueCloud-09",21,"1","Blue Cloud_21_1",NA,NA,NA,NA,NA,"BlueCloud-09_uns1",NA,NA,NA,0.316,0.565,0.119,0.401,64802,"2850-57612","Blue Cloud","mom","BlueCloud-09","medium"
"CO_E29","BlueCloud-09_uns1_2850-57612","E29","Blue Cloud","egg","BlueCloud-09",9,"collected","BlueCloud-09_collected",NA,NA,NA,NA,NA,"BlueCloud-09_uns1",NA,NA,NA,0.343,0.535,0.121,0.389,65912,"2850-57612","Blue Cloud","mom","BlueCloud-09","medium"
"CO_E33","BlueCloud-09_uns1_2850-57612","E33","Blue Cloud","egg","BlueCloud-09",9,"collected","BlueCloud-09_collected",NA,NA,NA,NA,NA,"BlueCloud-09_uns1",NA,NA,NA,0.322,0.563,0.115,0.396,64189,"2850-57612","Blue Cloud","mom","BlueCloud-09","medium"
"CO_E30","BlueCloud-09_uns1_2850-57612","E30","Blue Cloud","egg","BlueCloud-09",9,"collected","BlueCloud-09_collected",NA,NA,NA,NA,NA,"BlueCloud-09_uns1",NA,NA,NA,0.364,0.469,0.167,0.402,56294,"2850-57612","Blue Cloud","mom","BlueCloud-09","medium"
"CO_E31","BlueCloud-09_uns1_2850-57612","E31","Blue Cloud","egg","BlueCloud-09",9,"collected","BlueCloud-09_collected",NA,NA,NA,NA,NA,"BlueCloud-09_uns1",NA,NA,NA,0.104,0.65,0.246,0.571,63193,"2850-57612","Blue Cloud","mom","BlueCloud-09","medium"
"CO_E32","BlueCloud-09_uns1_2850-57612","E32","Blue Cloud","egg","BlueCloud-09",9,"collected","BlueCloud-09_collected",NA,NA,NA,NA,NA,"BlueCloud-09_uns1",NA,NA,NA,0.315,0.548,0.137,0.411,62629,"2850-57612","Blue Cloud","mom","BlueCloud-09","medium"
"CO_83216","Cooks-27_uns2_2850-57853","2811-83216","Cooks","kid","Cooks-27",29,"2","Cooks_29_2",NA,NA,NA,NA,NA,"Cooks-27_uns2",NA,NA,NA,0.26,0.633,0.107,0.424,52198,"2850-57853","Cooks","mom","Cooks-27","medium"
"CO_83217","Cooks-27_uns2_2850-57853","2811-83217","Cooks","kid","Cooks-27",29,"2","Cooks_29_2",NA,NA,NA,NA,NA,"Cooks-27_uns2",NA,NA,NA,0.281,0.588,0.131,0.425,50777,"2850-57853","Cooks","mom","Cooks-27","medium"
"CO_83214","Cooks-27_uns2_2850-57853","2811-83214","Cooks","kid","Cooks-27",29,"2","Cooks_29_2",NA,NA,NA,NA,NA,"Cooks-27_uns2",NA,NA,NA,0.327,0.529,0.143,0.408,51756,"2850-57853","Cooks","mom","Cooks-27","medium"
"CO_E54","Cooks-27_uns1_2850-57853","E54","Cooks","egg","Cooks-27",27,"collected","Cooks-27_collected",NA,NA,NA,NA,NA,"Cooks-27_uns1",NA,NA,NA,0.315,0.561,0.125,0.405,49674,"2850-57853","Cooks","mom","Cooks-27","medium"
"CO_E53","Cooks-27_uns1_2850-57853","E53","Cooks","egg","Cooks-27",27,"collected","Cooks-27_collected",NA,NA,NA,NA,NA,"Cooks-27_uns1",NA,NA,NA,0.306,0.547,0.147,0.421,51764,"2850-57853","Cooks","mom","Cooks-27","medium"
"CO_E52","Cooks-27_uns1_2850-57853","E52","Cooks","egg","Cooks-27",27,"collected","Cooks-27_collected",NA,NA,NA,NA,NA,"Cooks-27_uns1",NA,NA,NA,0.318,0.546,0.136,0.409,52079,"2850-57853","Cooks","mom","Cooks-27","medium"
"CO_39042","UrbanFarm-02_uns1_2850-57608","2811-39042","Urban Farm Girlz","kid","UrbanFarm-02",5,"1","Urban Farm Girlz_5_1",NA,NA,NA,NA,NA,"UrbanFarm-02_uns1",NA,NA,NA,0.212,0.735,0.053,0.421,66245,"2850-57608","Urban Farm Girlz","mom","UrbanFarm-02","small"
"CO_39044","UrbanFarm-02_uns1_2850-57608","2811-39044","Urban Farm Girlz","kid","UrbanFarm-02",5,"1","Urban Farm Girlz_5_1",NA,NA,NA,NA,NA,"UrbanFarm-02_uns1",NA,NA,NA,0.203,0.735,0.061,0.429,63506,"2850-57608","Urban Farm Girlz","mom","UrbanFarm-02","small"
"CO_83014","UrbanFarm-02_uns1_2850-57608","2811-83014","Urban Farm Girlz","kid","UrbanFarm-02",2.2,"2","Urban Farm Girlz_2.2_2",NA,NA,NA,NA,NA,"UrbanFarm-02_uns1",NA,NA,NA,0.223,0.7,0.077,0.427,64771,"2850-57608","Urban Farm Girlz","mom","UrbanFarm-02","small"
"CO_83016","UrbanFarm-02_uns1_2850-57608","2811-83016","Urban Farm Girlz","kid","UrbanFarm-02",2.2,"2","Urban Farm Girlz_2.2_2",NA,NA,NA,NA,NA,"UrbanFarm-02_uns1",NA,NA,NA,0.236,0.69,0.074,0.419,59977,"2850-57608","Urban Farm Girlz","mom","UrbanFarm-02","small"
"CO_82969","Cooks-23_uns1_2640-97370","2811-82969","Cooks","kid","Cooks-23",22,"1","Cooks_22_1",NA,NA,NA,NA,NA,"Cooks-23_uns1",NA,NA,NA,0.359,0.506,0.134,0.388,59466,"2640-97370","Cooks","mom","Cooks-23","medium"
"CO_82971","Cooks-31_uns1_2640-97370","2811-82971","Cooks","kid","Cooks-23",22,"1","Cooks_22_1",NA,NA,NA,NA,NA,"Cooks-31_uns1",NA,NA,NA,0.298,0.589,0.113,0.408,61250,"2640-97370","Cooks","mom","Cooks-23","medium"
"CO_82972","Cooks-23_uns1_2640-97370","2811-82972","Cooks","kid","Cooks-23",22,"1","Cooks_22_1",NA,NA,NA,NA,NA,"Cooks-23_uns1",NA,NA,NA,0.308,0.599,0.093,0.392,63429,"2640-97370","Cooks","mom","Cooks-23","medium"
"CO_82973","Cooks-23_uns1_2640-97370","2811-82973","Cooks","kid","Cooks-23",22,"1","Cooks_22_1",NA,NA,NA,NA,NA,"Cooks-23_uns1",NA,NA,NA,0.329,0.544,0.127,0.399,57405,"2640-97370","Cooks","mom","Cooks-23","medium"
