Year,Band,Site,Sex,Type,FamilyID,Nest._1,Tissue,Seq.ID,Nest..,Brood..,clutch_id
2022,2811-83063,CHR,,kid,CHR-032,32,blood,CO-83063,32,1,CHR_32_1
2022,2811-83064,CHR,,kid,CHR-032,32,blood,CO-83064,32,1,CHR_32_1
2022,2811-83065,CHR,,kid,CHR-032,32,blood,CO-83065,32,1,CHR_32_1
2022,2811-83146,CHR,,kid,CHR-032,32,blood,CO-83146,32,3,CHR_32_3
2022,2811-83147,CHR,,kid,CHR-032,32,blood,CO-83147,32,3,CHR_32_3
2022,2850-57731,CHR,M,dad,CHR-032,32,blood,CO-57731,NA,NA,NA
2022,2811-83095,CHR,,kid,CHR-037,37,blood,CO-83095,37,1,CHR_37_1
2022,2811-83096,CHR,,kid,CHR-037,37,blood,CO-83096,37,1,CHR_37_1
2022,2811-83097,CHR,,kid,CHR-037,37,blood,CO-83097,37,1,CHR_37_1
2022,2850-57735,CHR,F,mom,CHR-037,37,blood,CO-57735,NA,NA,NA
2022,2850-57806,CHR,M,dad,CHR-037,37,blood,CO-57806,NA,NA,NA
2022,2881-33631,CHR,,kid,CHR-037,119,blood,CO-33631,119,2,CHR_119_2
2022,2881-33632,CHR,,kid,CHR-037,119,blood,CO-33632,119,2,CHR_119_2
2022,2811-83122,CHR,,kid,CHR-039,39,blood,CO-83122,39,1,CHR_39_1
2022,2811-83123,CHR,,kid,CHR-039,39,blood,CO-83123,39,1,CHR_39_1
2022,2811-83124,CHR,,kid,CHR-039,39,blood,CO-83124,39,1,CHR_39_1
2022,2811-83125,CHR,,kid,CHR-039,39,blood,CO-83125,39,1,CHR_39_1
2022,2811-83341,CHR,,kid,CHR-039,39.2,blood,CO-83341,39,2,CHR_39_2
2022,2811-83342,CHR,,kid,CHR-039,39.2,blood,CO-83342,39,2,CHR_39_2
2022,2811-83343,CHR,,kid,CHR-039,39.2,blood,CO-83343,39,2,CHR_39_2
2022,2811-83344,CHR,,kid,CHR-039,39.2,blood,CO-83344,39,2,CHR_39_2
2022,2850-57620,CHR,M,dad,CHR-039,39,blood,CO-57620,NA,NA,NA
2022,2850-57649,CHR,F,mom,CHR-039,39,blood,CO-57649,NA,NA,NA
2022,2811-83262,CHR,,kid,CHR-043,43,blood,CO-83262,43,1,CHR_43_1
2022,2811-83263,CHR,,kid,CHR-043,43,blood,CO-83263,43,1,CHR_43_1
2022,2811-83264,CHR,,kid,CHR-043,43,blood,CO-83264,43,1,CHR_43_1
2022,2811-83265,CHR,,kid,CHR-043,43,blood,CO-83265,43,1,CHR_43_1
2022,2850-57567,CHR,M,dad,CHR-043,43,blood,CO-57567,NA,NA,NA
2022,2850-57736,CHR,F,mom,CHR-043,43,blood,CO-57736,NA,NA,NA
2022,T011,CHR,,kid,CHR-043,43,tissue,CO-T011,43,1,CHR_43_1
2022,2850-57588,CHR,F,mom,CHR-045,45,blood,CO-57588,NA,NA,NA
2022,2850-57653,CHR,M,dad,CHR-045,45,blood,CO-57653,NA,NA,NA
2022,2881-34082,CHR,,kid,CHR-045,45,blood,CO-34082,45,2,CHR_45_2
2022,2881-34083,CHR,,kid,CHR-045,45,blood,CO-34083,45,2,CHR_45_2
2022,2881-34084,CHR,,kid,CHR-045,45,blood,CO-34084,45,2,CHR_45_2
2022,T008,CHR,,kid,CHR-045,45,tissue,CO-T008,45,2,CHR_45_2
2022,2850-57646,CHR,M,dad,CHR-054,#N/A,blood,CO-57646,NA,NA,NA
2022,2850-57571,CHR,F,mom,CHR-058,58,blood,CO-57571,NA,NA,NA
2022,2850-57579,CHR,M,dad,CHR-058,58,blood,CO-57579,NA,NA,NA
2022,2881-34022,CHR,,kid,CHR-058,58,blood,CO-34022,58,1,CHR_58_1
2022,2881-34023,CHR,,kid,CHR-058,58,blood,CO-34023,58,1,CHR_58_1
2022,2881-34024,CHR,,kid,CHR-058,58,blood,CO-34024,58,1,CHR_58_1
2022,T010,CHR,,kid,CHR-058,58,tissue,CO-T010,58,1,CHR_58_1
2022,2811-83323,CHR,,kid,CHR-066,16,blood,CO-83323,16,2,CHR_16_2
2022,2811-83324,CHR,,kid,CHR-066,16,blood,CO-83324,16,2,CHR_16_2
2022,2811-83325,CHR,,kid,CHR-066,16,blood,CO-83325,16,2,CHR_16_2
2022,2811-83326,CHR,,kid,CHR-066,16,blood,CO-83326,16,2,CHR_16_2
2022,2850-57581,CHR,M,dad,CHR-066,16,blood,CO-57581,NA,NA,NA
2022,2850-57652,CHR,F,mom,CHR-066,16,blood,CO-57652,NA,NA,NA
2022,2881-34014,CHR,,kid,CHR-066,66,blood,CO-34014,66,1,CHR_66_1
2022,2881-34015,CHR,,kid,CHR-066,66,blood,CO-34015,66,1,CHR_66_1
2022,2850-57670,CHR,F,mom,CHR-073,73,blood,CO-57670,NA,NA,NA
2022,2850-57671,CHR,M,dad,CHR-073,73,blood,CO-57671,NA,NA,NA
2022,2881-34029,CHR,,kid,CHR-073,73,blood,CO-34029,73,1,CHR_73_1
2022,2881-34030,CHR,,kid,CHR-073,73,blood,CO-34030,73,1,CHR_73_1
2022,2881-34031,CHR,,kid,CHR-073,73,blood,CO-34031,73,1,CHR_73_1
2022,2881-34032,CHR,,kid,CHR-073,73,blood,CO-34032,73,1,CHR_73_1
2022,T002,CHR,,kid,CHR-073,73,tissue,CO-T002,73,1,CHR_73_1
2022,2811-83274,CHR,,kid,CHR-074,74,blood,CO-83274,74,1,CHR_74_1
2022,2811-83275,CHR,,kid,CHR-074,74,blood,CO-83275,74,1,CHR_74_1
2022,2811-83276,CHR,,kid,CHR-074,74,blood,CO-83276,74,1,CHR_74_1
2022,2850-57582,CHR,M,dad,CHR-074,74,blood,CO-57582,NA,NA,NA
2022,2850-57746,CHR,F,mom,CHR-074,74,blood,CO-57746,NA,NA,NA
2022,2881-33677,CHR,,kid,CHR-074,6,blood,CO-33677,6,2,CHR_6_2
2022,2881-33678,CHR,,kid,CHR-074,6,blood,CO-33678,6,2,CHR_6_2
2022,2881-33679,CHR,,kid,CHR-074,6,blood,CO-33679,6,2,CHR_6_2
2022,2881-33680,CHR,,kid,CHR-074,6,blood,CO-33680,6,2,CHR_6_2
2022,2811-83427,CHR,,kid,CHR-078,78,blood,CO-83427,78,1,CHR_78_1
2022,2811-83428,CHR,,kid,CHR-078,78,blood,CO-83428,78,1,CHR_78_1
2022,2811-83429,CHR,,kid,CHR-078,78,blood,CO-83429,78,1,CHR_78_1
2022,2811-83430,CHR,,kid,CHR-078,78,blood,CO-83430,78,1,CHR_78_1
2022,2811-83431,CHR,,kid,CHR-078,78,blood,CO-83431,78,1,CHR_78_1
2022,2850-57656,CHR,F,mom,CHR-078,78,blood,CO-57656,NA,NA,NA
2022,2850-57744,CHR,M,dad,CHR-078,78,blood,CO-57744,NA,NA,NA
2022,2811-83118,CHR,,kid,CHR-080,80,blood,CO-83118,80,1,CHR_80_1
2022,2811-83119,CHR,,kid,CHR-080,80,blood,CO-83119,80,1,CHR_80_1
2022,2811-83120,CHR,,kid,CHR-080,80,blood,CO-83120,80,1,CHR_80_1
2022,2811-83121,CHR,,kid,CHR-080,80,blood,CO-83121,80,1,CHR_80_1
2022,2850-57580,CHR,M,dad,CHR-080,80,blood,CO-57580,NA,NA,NA
2022,2850-57654,CHR,F,mom,CHR-080,80,blood,CO-57654,NA,NA,NA
2022,2850-57745,CHR,M,dad,CHR-082,#N/A,blood,CO-57745,NA,NA,NA
2022,2811-82969,CHR,M,dad,CHR-085,#N/A,blood,CO-82969,NA,NA,NA
2022,2640-97588,CHR,M,dad,CHR-093,93,blood,CO-97588,NA,NA,NA
2022,2811-83074,CHR,,kid,CHR-093,93,blood,CO-83074,93,1,CHR_93_1
2022,2811-83075,CHR,,kid,CHR-093,93,blood,CO-83075,93,1,CHR_93_1
2022,2811-83076,CHR,,kid,CHR-093,93,blood,CO-83076,93,1,CHR_93_1
2022,2811-83077,CHR,,kid,CHR-093,93,blood,CO-83077,93,1,CHR_93_1
2022,2811-83078,CHR,,kid,CHR-093,93,blood,CO-83078,93,1,CHR_93_1
2022,2850-57730,CHR,F,mom,CHR-093,93,blood,CO-57730,NA,NA,NA
2022,2881-34071,CHR,,kid,CHR-093,93,blood,CO-34071,93,2,CHR_93_2
2022,2881-34072,CHR,,kid,CHR-093,93,blood,CO-34072,93,2,CHR_93_2
2022,2881-34073,CHR,,kid,CHR-093,93,blood,CO-34073,93,2,CHR_93_2
2022,2881-34074,CHR,,kid,CHR-093,93,blood,CO-34074,93,2,CHR_93_2
2022,2811-83301,CHR,,kid,CHR-096,96,blood,CO-83301,96,1,CHR_96_1
2022,2811-83302,CHR,,kid,CHR-096,96,blood,CO-83302,96,1,CHR_96_1
2022,2811-83304,CHR,,kid,CHR-096,96,blood,CO-83304,96,1,CHR_96_1
2022,2811-83320,CHR,,kid,CHR-096,96.2,blood,CO-83320,96,2,CHR_96_2
2022,2811-83321,CHR,,kid,CHR-096,96.2,blood,CO-83321,96,2,CHR_96_2
2022,2811-83322,CHR,,kid,CHR-096,96.2,blood,CO-83322,96,2,CHR_96_2
2022,2850-57568,CHR,F,mom,CHR-096,96.2,blood,CO-57568,NA,NA,NA
2022,2850-57806,CHR,M,dad,CHR-096,,,CO-57806,NA,NA,NA
2022,T001,CHR,,kid,CHR-096,96,tissue,CO-T001,96,1,CHR_96_1
2022,2850-57583,CHR,F,mom,CHR-097,97,blood,CO-57583,NA,NA,NA
2022,2850-57589,CHR,M,dad,CHR-097,97,blood,CO-57589,NA,NA,NA
2022,2881-33681,CHR,,kid,CHR-097,19,blood,CO-33681,19,2,CHR_19_2
2022,2881-33682,CHR,,kid,CHR-097,19,blood,CO-33682,19,2,CHR_19_2
2022,2881-33683,CHR,,kid,CHR-097,19,blood,CO-33683,19,2,CHR_19_2
2022,2881-34017,CHR,,kid,CHR-097,97,blood,CO-34017,97,1,CHR_97_1
2022,2881-34018,CHR,,kid,CHR-097,97,blood,CO-34018,97,1,CHR_97_1
2022,2881-34019,CHR,,kid,CHR-097,97,blood,CO-34019,97,1,CHR_97_1
2022,2881-34020,CHR,,kid,CHR-097,97,blood,CO-34020,97,1,CHR_97_1
2022,T003,CHR,,kid,CHR-097,19,tissue,CO-T003,19,2,CHR_19_2
2022,2811-83306,CHR,,kid,CHR-099,99,blood,CO-83306,99,1,CHR_99_1
2022,2811-83307,CHR,,kid,CHR-099,99,blood,CO-83307,99,1,CHR_99_1
2022,2811-83308,CHR,,kid,CHR-099,99,blood,CO-83308,99,1,CHR_99_1
2022,2811-83309,CHR,,kid,CHR-099,99,blood,CO-83309,99,1,CHR_99_1
2022,2811-83439,CHR,,kid,CHR-099,99,blood,CO-83439,99,2,CHR_99_2
2022,2811-83440,CHR,,kid,CHR-099,99,blood,CO-83440,99,2,CHR_99_2
