"location1","location2","mom1","dad2","attempt1","attempt2","rest.SI","pairwise"
"CHR-32","CHR-27","2640-97358","2850-57808","1","2",0.151612903225806,"2640-97358_2850-57808"
"CHR-32","CHR-109","2640-97358","2850-57731","1","2",0.170967741935484,"2640-97358_2850-57731"
"CHR-32","CHR-102","2640-97358","2640-97589","1","2",0.145161290322581,"2640-97358_2640-97589"
"CHR-32","CHR-96","2640-97358","2850-57806","1","2",0.151612903225806,"2640-97358_2850-57806"
"CHR-32","CHR-139","2640-97358","2850-57579","1","2",0.170967741935484,"2640-97358_2850-57579"
"CHR-32","CHR-19","2640-97358","2850-57589","1","2",0.170967741935484,"2640-97358_2850-57589"
"CHR-32","CHR-9","2640-97358","unb-CHR-7and9","1","2",0.170967741935484,"2640-97358_unb-CHR-7and9"
"CHR-32","CHR-4","2640-97358","2811-83208","1","2",0.170967741935484,"2640-97358_2811-83208"
"CHR-32","CHR-33","2640-97358","2850-57669","1","2",0.170967741935484,"2640-97358_2850-57669"
"CHR-32","CHR-45","2640-97358","2850-57653","1","2",0.170967741935484,"2640-97358_2850-57653"
"CHR-32","CHR-151","2640-97358","2850-57570","1","2",0.170967741935484,"2640-97358_2850-57570"
"CHR-32","CHR-39","2640-97358","2850-57620","1","2",0.170967741935484,"2640-97358_2850-57620"
"CHR-32","CHR-95","2640-97358","2850-57881","1","2",0.167741935483871,"2640-97358_2850-57881"
"CHR-32","CHR-16","2640-97358","2850-57581","1","2",0.164516129032258,"2640-97358_2850-57581"
"CHR-32","CHR-115","2640-97358","2850-57745","1","2",0.170967741935484,"2640-97358_2850-57745"
"CHR-32","CHR-78","2640-97358","2850-57744","1","2",0.170967741935484,"2640-97358_2850-57744"
"CHR-32","CHR-77","2640-97358","unb-CHR-77","1","2",0.135483870967742,"2640-97358_unb-CHR-77"
"CHR-32","CHR-93","2640-97358","2640-97588","1","2",0.138709677419355,"2640-97358_2640-97588"
"CHR-32","CHR-119","2640-97358","2850-57806","1","2",0.151612903225806,"2640-97358_2850-57806"
"CHR-32","CHR-12","2640-97358","unb-CHR-76and12","1","2",0.170967741935484,"2640-97358_unb-CHR-76and12"
"CHR-32","CHR-6","2640-97358","2850-57582","1","2",0.170967741935484,"2640-97358_2850-57582"
"CHR-32","CHR-52","2640-97358","2850-57742","1","2",0.161290322580645,"2640-97358_2850-57742"
"CHR-32","CHR-112","2640-97358","2850-57647","1","2",0.170967741935484,"2640-97358_2850-57647"
"CHR-32","CHR-99","2640-97358","2850-57578","1","2",0.170967741935484,"2640-97358_2850-57578"
"CHR-32","CHR-101","2640-97358","2850-57733","1","2",0.170967741935484,"2640-97358_2850-57733"
"CHR-32","CHR-150","2640-97358","2850-57577","1","2",0.170967741935484,"2640-97358_2850-57577"
"CHR-32","CHR-32","2640-97358","2850-57731","1","3",0.170967741935484,"2640-97358_2850-57731"
"CHR-32","CHR-149","2640-97358","2850-57669","1","3",0.170967741935484,"2640-97358_2850-57669"
"CHR-102","CHR-29","2811-38984","2850-57808","1","1",0.2,"2811-38984_2850-57808"
"CHR-102","CHR-32","2811-38984","2850-57731","1","1",0.203225806451613,"2811-38984_2850-57731"
"CHR-102","CHR-102","2811-38984","2640-97589","1","1",0.229032258064516,"2811-38984_2640-97589"
"CHR-102","CHR-96","2811-38984","2850-57806","1","1",0.2,"2811-38984_2850-57806"
"CHR-102","CHR-58","2811-38984","2850-57579","1","1",0.219354838709677,"2811-38984_2850-57579"
