"female","male","pairwise","attempt1","barn","nest","location1","soc.pair","total.dur","process.dist.m","dur.fertile","ci.diff","rest.SI.chr","clutch_id_merge","clutch_match","fert_type","shared_fert","pat.clutch.size","bin_fert","fem_mass_1","fem_throat_avg_bright","fem_breast_avg_bright","fem_TS","fem_TS_scaled","fem_throat_avg_bright_scaled","fem_breast_avg_bright_scaled","male_mass_1","male_throat_avg_bright","male_breast_avg_bright","male_TS","male_TS_scaled","male_throat_avg_bright_scaled","male_breast_avg_bright_scaled","dist.scale","dur.scale","bin_num_fert","size.cat","attempt2","dist.cat","dist.cat2","dist.cat3","prop.fert","rest.SI.scale","soc.male_TS_scaled","soc.male_throat_avg_bright_scaled","soc.male_breast_avg_bright_scaled","soc.fem_TS_scaled","soc.fem_throat_avg_bright_scaled","soc.fem_breast_avg_bright_scaled"
"2850-57730","2850-57653","2850-57730_2850-57653",2,"CHR",93,"CHR-93","0",11,2.99603000936364,9,2,0.290322580645161,"CHR_93_2",1,"ep_same",1,4,"yes",19.1,15.70236623,12.82672316,78.5,0.224690642671068,-0.0934822025987468,-1.95280566010936,16.37,8.467490861,27.15053506,78,-1.39510816701437,-1.34521287106915,0.897405470214174,-1.14245950343629,1.6643004221014,1,"large","second","dist.05","dist.05","dist.10",0.25,0.661540797592348,-0.319841925842042,-0.476208334764261,-1.69766351362466,0.182274551131745,-1.12841701146077,0.110874711490428
"2850-57730","2850-57653","2850-57730_2850-57653",1,"CHR",93,"CHR-93","0",0,1.870428532,0,17,0.193548387096774,"CHR_93_1",1,NA,0,5,"no",19.1,15.70236623,12.82672316,78.5,0.224690642671068,-0.0934822025987468,-1.95280566010936,16.37,8.467490861,27.15053506,78,-1.39510816701437,-1.34521287106915,0.897405470214174,-1.30344599305171,-0.75378628983068,0,"large","first","dist.05","dist.05","dist.10",0,-0.530142952049302,-0.319841925842042,-0.476208334764261,-1.69766351362466,0.182274551131745,-1.12841701146077,0.110874711490428
"2850-57730","2850-57669","2850-57730_2850-57669",2,"CHR",93,"CHR-93","0",11,9.771915537,6,5,0.3,"CHR_93_2",1,NA,0,4,"no",19.1,15.70236623,12.82672316,78.5,0.224690642671068,-0.0934822025987468,-1.95280566010936,17.82,14.07982054,27.72719176,89.66666667,-0.0012445206519955,0.0965768275416075,1.01528917653778,-0.173354498630318,0.858271518124042,0,"large","second","dist.10","dist.10","dist.10",0,0.780709172556517,-0.319841925842042,-0.476208334764261,-1.69766351362466,NA,NA,NA
"2850-57730","2850-57669","2850-57730_2850-57669",1,"CHR",93,"CHR-93","0",0,9.771915537,0,17,0.193548387096774,"CHR_93_1",1,NA,0,5,"no",19.1,15.70236623,12.82672316,78.5,0.224690642671068,-0.0934822025987468,-1.95280566010936,17.82,14.07982054,27.72719176,89.66666667,-0.0012445206519955,0.0965768275416075,1.01528917653778,-0.173354498630318,-0.75378628983068,0,"large","first","dist.10","dist.10","dist.10",0,-0.530142952049302,-0.319841925842042,-0.476208334764261,-1.69766351362466,NA,NA,NA
"2850-57730","2850-57671","2850-57730_2850-57671",2,"CHR",93,"CHR-93","0",11,28.19081952,0,-27,0.319354838709677,"CHR_93_2",1,NA,0,4,"no",19.1,15.70236623,12.82672316,78.5,0.224690642671068,-0.0934822025987468,-1.95280566010936,17.53,16.28350449,28.84180791,75.83333333,-1.65396855880595,0.662696246718346,1.24314585953504,2.46096568876998,-0.75378628983068,0,"large","second","dist.20+","dist.20+","dist.20+",0,1.01904592248484,-0.319841925842042,-0.476208334764261,-1.69766351362466,0.606435458890079,1.16785270969026,0.187430780520441
"2850-57730","2850-57671","2850-57730_2850-57671",1,"CHR",93,"CHR-93","0",0,28.19081952,0,21,0.193548387096774,"CHR_93_1",1,NA,0,5,"no",19.1,15.70236623,12.82672316,78.5,0.224690642671068,-0.0934822025987468,-1.95280566010936,17.53,16.28350449,28.84180791,75.83333333,-1.65396855880595,0.662696246718346,1.24314585953504,2.46096568876998,-0.75378628983068,0,"large","first","dist.20+","dist.20+","dist.20+",0,-0.530142952049302,-0.319841925842042,-0.476208334764261,-1.69766351362466,0.606435458890079,1.16785270969026,0.187430780520441
"2850-57730","2850-57731","2850-57730_2850-57731",1,"CHR",93,"CHR-93","0",11,12.6552842,10,-1,0.161290322580645,"CHR_93_1",1,NA,0,5,"no",19.1,15.70236623,12.82672316,78.5,0.224690642671068,-0.0934822025987468,-1.95280566010936,15.9,10.9634214,23.24545364,91,0.158054181345658,-0.704016229851986,0.0991047285683272,0.239032486158184,1.93297672342719,0,"large","first","dist.20","dist.20","dist.20",0,-0.927370868596519,-0.319841925842042,-0.476208334764261,-1.69766351362466,-1.17504035013197,-0.720064302121302,-0.918055636034195
"2850-57730","2850-57731","2850-57730_2850-57731",2,"CHR",93,"CHR-93","0",11,9.455109905,11,0,0.287096774193548,"CHR_93_2",1,NA,0,4,"no",19.1,15.70236623,12.82672316,78.5,0.224690642671068,-0.0934822025987468,-1.95280566010936,15.9,10.9634214,23.24545364,91,0.158054181345658,-0.704016229851986,0.0991047285683272,-0.21866487500396,2.20165302475298,0,"large","second","dist.10","dist.10","dist.10",0,0.621818005937626,-0.319841925842042,-0.476208334764261,-1.69766351362466,-1.17504035013197,-0.720064302121302,-0.918055636034195
"2850-57730","2850-57733","2850-57730_2850-57733",2,"CHR",93,"CHR-93","0",11,20.60946097,4,-6,0.306451612903226,"CHR_93_2",1,NA,0,4,"no",19.1,15.70236623,12.82672316,78.5,0.224690642671068,-0.0934822025987468,-1.95280566010936,15.66,14.84394317,20.45213858,102,1.47226847611183,0.292877508261001,-0.471921901664779,1.3766598096244,0.320918915472468,0,"large","second","dist.20+","dist.20+","dist.20+",0,0.860154755865963,-0.319841925842042,-0.476208334764261,-1.69766351362466,0.606435458890079,-1.12204057333336,-0.450386497816471
"2850-57730","2850-57733","2850-57730_2850-57733",1,"CHR",93,"CHR-93","0",0,20.60946097,0,42,0.193548387096774,"CHR_93_1",1,NA,0,5,"no",19.1,15.70236623,12.82672316,78.5,0.224690642671068,-0.0934822025987468,-1.95280566010936,15.66,14.84394317,20.45213858,102,1.47226847611183,0.292877508261001,-0.471921901664779,1.3766598096244,-0.75378628983068,0,"large","first","dist.20+","dist.20+","dist.20+",0,-0.530142952049302,-0.319841925842042,-0.476208334764261,-1.69766351362466,0.606435458890079,-1.12204057333336,-0.450386497816471
