"Year","Band","Site","Sex","Type","FamilyID","Tissue","Seq.ID","Nest","Brood","clutch_id","New2023","Notes"
2021,"E25","Blue Cloud","","egg","BlueCloud-18","egg","CO-E25",18,"collected","Blue Cloud_18_collected","Yes",""
2021,"E26","Blue Cloud","","egg","BlueCloud-18","egg","CO-E26",18,"collected","Blue Cloud_18_collected","Yes",""
2021,"E27","Blue Cloud","","egg","BlueCloud-18","egg","CO-E27",18,"collected","Blue Cloud_18_collected","Yes",""
2021,"E28","Blue Cloud","","egg","BlueCloud-18","egg","CO-E28",18,"collected","Blue Cloud_18_collected","Yes",""
2021,"2640-97548","Blue Cloud","M","dad","BlueCloud-18","blood","CO-97548",NA,NA,NA,"No",""
2021,"2811-82991","Blue Cloud","","kid","BlueCloud-19","blood","CO-82991",24,"2","Blue Cloud_24_2","Yes",""
2021,"2811-82992","Blue Cloud","","kid","BlueCloud-19","blood","CO-82992",24,"2","Blue Cloud_24_2","Yes",""
2021,"2811-82993","Blue Cloud","","kid","BlueCloud-19","blood","CO-82993",24,"2","Blue Cloud_24_2","Yes",""
2021,"2811-82994","Blue Cloud","","kid","BlueCloud-19","blood","CO-82994",24,"2","Blue Cloud_24_2","Yes",""
2021,"2850-57565","Blue Cloud","M","dad","BlueCloud-19","blood","CO-57565",NA,NA,NA,"No",""
2021,"2850-57613","Blue Cloud","","mom","BlueCloud-19","blood","CO-57613",NA,"","","Yes",""
2021,"2850-57636","Blue Cloud","M","dad","none","blood","CO-57636",NA,NA,NA,"No",""
2021,"2811-38691","Cathys","","mom","Cathys-02","blood","CO-38691",2,"1","","Yes",""
2021,"2811-82960","Cathys","","kid","Cathys-02","blood","CO-82960",2,"1","Cathys_2_1","Yes",""
2021,"2811-82961","Cathys","","kid","Cathys-02","blood","CO-82961",2,"1","Cathys_2_1","Yes",""
2021,"2811-82962","Cathys","","kid","Cathys-02","blood","CO-82962",2,"1","Cathys_2_1","Yes",""
2021,"2850-57599","Cathys","M","dad","Cathys-02","blood","CO-57599",NA,NA,NA,"No",""
2021,"2811-82984","Cathys","","kid","Cathys-03","blood","CO-82984",1,"1","Mary Anns_1_2","No",""
2021,"2811-82985","Cathys","","kid","Cathys-03","blood","CO-82985",1,"1","Mary Anns_1_2","No",""
2021,"2811-82986","Cathys","","kid","Cathys-03","blood","CO-82986",1,"1","Mary Anns_1_2","No",""
2021,"2811-82987","Cathys","","kid","Cathys-03","blood","CO-82987",1,"1","Mary Anns_1_2","No",""
2021,"E34","Cathys","","egg","Cathys-03","egg","CO-E34",3,"collected","Cathys-03_collected","No",""
2021,"E35","Cathys","","egg","Cathys-03","egg","CO-E35",3,"collected","Cathys-03_collected","No",""
2021,"E36","Cathys","","egg","Cathys-03","egg","CO-E36",3,"collected","Cathys-03_collected","No",""
2021,"E37","Cathys","","egg","Cathys-03","egg","CO-E37",3,"collected","Cathys-03_collected","No",""
2021,"2850-57549","Cathys","M","dad","Cathys-03","blood","CO-57549",NA,NA,NA,"No",""
2021,"2850-57550","Cathys","F","mom","Cathys-03","blood","CO-57550",NA,NA,NA,"No",""
2021,"2811-83023","Cooks","","kid","Cooks-18","blood","CO-83023",1,"2","Cooks_1_2","Yes",""
2021,"2811-83024","Cooks","","kid","Cooks-18","blood","CO-83024",1,"2","Cooks_1_2","Yes",""
2021,"2811-83025","Cooks","","kid","Cooks-18","blood","CO-83025",1,"2","Cooks_1_2","Yes",""
2021,"2811-39190","Cooks","","kid","Cooks-18","blood","CO-39190",18,"1","Cooks_18_1","Yes",""
2021,"2811-39191","Cooks","","kid","Cooks-18","blood","CO-39191",18,"1","Cooks_18_1","Yes",""
2021,"2811-39192","Cooks","","kid","Cooks-18","blood","CO-39192",18,"1","Cooks_18_1","Yes",""
2021,"2811-39193","Cooks","","kid","Cooks-18","blood","CO-39193",18,"1","Cooks_18_1","Yes",""
2021,"2850-57602","Cooks","M","dad","Cooks-18","blood","CO-57602",NA,NA,NA,"No",""
2021,"2850-57854","Cooks","","mom","Cooks-18","blood","CO-57854",NA,"","","Yes",""
2021,"2811-82969","Cooks","","kid","Cooks-23","blood","CO-82969",22,"1","Cooks_22_1","No",""
2021,"2811-82970","Cooks","","kid","Cooks-23","blood","CO-82970",22,"1","Cooks_22_1","No",""
2021,"2811-82971","Cooks","","kid","Cooks-23","blood","CO-82971",22,"1","Cooks_22_1","No",""
2021,"2811-82972","Cooks","","kid","Cooks-23","blood","CO-82972",22,"1","Cooks_22_1","No",""
2021,"2811-82973","Cooks","","kid","Cooks-23","blood","CO-82973",22,"1","Cooks_22_1","No",""
2021,"2811-83018","Cooks","","kid","Cooks-23","blood","CO-83018",32,"2","Cooks_32_2","No",""
2021,"2811-83019","Cooks","","kid","Cooks-23","blood","CO-83019",32,"2","Cooks_32_2","No",""
2021,"2811-83020","Cooks","","kid","Cooks-23","blood","CO-83020",32,"2","Cooks_32_2","No",""
2021,"2811-83022","Cooks","","kid","Cooks-23","blood","CO-83022",32,"2","Cooks_32_2","No",""
2021,"E15","Cooks","","egg","Cooks-23","egg","CO-E15",23,"collected","Cooks-23_collected","No",""
2021,"E16","Cooks","","egg","Cooks-23","egg","CO-E16",23,"collected","Cooks-23_collected","No",""
