"female","male","pairwise","attempt1","barn","nest","location1","soc.pair","total.dur","process.dist.m","clutch_id_merge","clutch_match","fert_type","shared_fert","pat.clutch.size","bin_fert","fem_mass_1","fem_throat_avg_bright","fem_throat_chroma","fem_throat_hue","fem_throat_total_bright","fem_breast_avg_bright","fem_breast_chroma","fem_breast_hue","fem_breast_total_bright","fem_belly_avg_bright","fem_belly_chroma","fem_belly_hue","fem_belly_total_bright","fem_vent_avg_bright","fem_vent_chroma","fem_vent_hue","fem_vent_total_bright","fem_mean_rwl","fem_mean_rts","fem_mean_lts","fem_TS","fem_TS_scaled","fem_throat_avg_bright_scaled","fem_breast_avg_bright_scaled","fem_belly_avg_bright_scaled","fem_vent_avg_bright_scaled","male_mass_1","male_throat_avg_bright","male_throat_chroma","male_throat_hue","male_throat_total_bright","male_breast_avg_bright","male_breast_chroma","male_breast_hue","male_breast_total_bright","male_belly_avg_bright","male_belly_chroma","male_belly_hue","male_belly_total_bright","male_vent_avg_bright","male_vent_chroma","male_vent_hue","male_vent_total_bright","male_mean_rwl","male_mean_rts","male_mean_lts","male_TS","male_TS_scaled","male_throat_avg_bright_scaled","male_breast_avg_bright_scaled","male_belly_avg_bright_scaled","male_vent_avg_bright_scaled"
"2850-57879","2850-57570","2850-57879_2850-57570",2,"CHR",112,"CHR-112",0,11,8.326762193,"CHR_112_2",1,NA,0,4,"no",19.28,14.99234629,0.534344994,627.3723333,30074.64667,31.94793453,0.424935289,643.0996667,64087.55667,31.93524427,0.409605816,627.052,64062.1,34.53678132,0.43009849,610.6836667,69280.78333,124.8333333,NA,86.66666667,86.66666667,2.30307908737845,-0.324477446700752,0.908946604529733,1.43053386611959,1.12238309801751,16.51,16.84077767,0.501161039,611.004,33782.6,23.06811898,0.49586693,611.004,46274.64667,25.67366733,0.443766873,611.004,51501.37667,19.07592556,0.494641169,627.6863333,38266.30667,121.5,90,NA,90,0.038580154548733,0.805857959623855,0.0628528876022267,0.95505100493699,-0.400464277668821
"2850-57879","2850-57577","2850-57879_2850-57577",1,"CHR",112,"CHR-112",0,6,13.3869908,"CHR_112_1",1,NA,0,4,"no",19.28,14.99234629,0.534344994,627.3723333,30074.64667,31.94793453,0.424935289,643.0996667,64087.55667,31.93524427,0.409605816,627.052,64062.1,34.53678132,0.43009849,610.6836667,69280.78333,124.8333333,NA,86.66666667,86.66666667,2.30307908737845,-0.324477446700752,0.908946604529733,1.43053386611959,1.12238309801751,18.2,20.92472416,0.512057073,676.164,41974.99667,28.83623131,0.475799583,625.399,57845.48,28.80829345,0.443602398,627.1216667,57789.43667,29.54534563,0.455136562,636.0576667,59267.96333,119,90.83333333,91.16666667,90.83333333,0.138141843147924,1.85501086327307,1.24200585669334,1.77130653487355,1.66962834429855
"2850-57879","2850-57577","2850-57879_2850-57577",2,"CHR",112,"CHR-112",0,11,14.0212532,"CHR_112_2",1,NA,0,4,"no",19.28,14.99234629,0.534344994,627.3723333,30074.64667,31.94793453,0.424935289,643.0996667,64087.55667,31.93524427,0.409605816,627.052,64062.1,34.53678132,0.43009849,610.6836667,69280.78333,124.8333333,NA,86.66666667,86.66666667,2.30307908737845,-0.324477446700752,0.908946604529733,1.43053386611959,1.12238309801751,18.2,20.92472416,0.512057073,676.164,41974.99667,28.83623131,0.475799583,625.399,57845.48,28.80829345,0.443602398,627.1216667,57789.43667,29.54534563,0.455136562,636.0576667,59267.96333,119,90.83333333,91.16666667,90.83333333,0.138141843147924,1.85501086327307,1.24200585669334,1.77130653487355,1.66962834429855
"2850-57879","2850-57578","2850-57879_2850-57578",1,"CHR",112,"CHR-112",0,10,2.683141701,"CHR_112_1",1,NA,0,4,"no",19.28,14.99234629,0.534344994,627.3723333,30074.64667,31.94793453,0.424935289,643.0996667,64087.55667,31.93524427,0.409605816,627.052,64062.1,34.53678132,0.43009849,610.6836667,69280.78333,124.8333333,NA,86.66666667,86.66666667,2.30307908737845,-0.324477446700752,0.908946604529733,1.43053386611959,1.12238309801751,17.2,10.81633932,0.556799001,678.4426667,21697.57667,15.67680791,0.517385329,657.4626667,31447.67667,20.72179628,0.496782872,642.7923333,41567.92333,11.67128448,0.547842632,659.167,23412.59667,119,91.5,91.5,91.5,0.217791194744121,-0.741801149826969,-1.44812434290995,-0.334414460276221,-1.86456570501985
"2850-57879","2850-57578","2850-57879_2850-57578",2,"CHR",112,"CHR-112",0,11,2.683141701,"CHR_112_2",1,NA,0,4,"no",19.28,14.99234629,0.534344994,627.3723333,30074.64667,31.94793453,0.424935289,643.0996667,64087.55667,31.93524427,0.409605816,627.052,64062.1,34.53678132,0.43009849,610.6836667,69280.78333,124.8333333,NA,86.66666667,86.66666667,2.30307908737845,-0.324477446700752,0.908946604529733,1.43053386611959,1.12238309801751,17.2,10.81633932,0.556799001,678.4426667,21697.57667,15.67680791,0.517385329,657.4626667,31447.67667,20.72179628,0.496782872,642.7923333,41567.92333,11.67128448,0.547842632,659.167,23412.59667,119,91.5,91.5,91.5,0.217791194744121,-0.741801149826969,-1.44812434290995,-0.334414460276221,-1.86456570501985
"2850-57879","2850-57579","2850-57879_2850-57579",1,"CHR",112,"CHR-112",0,11,5.907321837,"CHR_112_1",1,NA,0,4,"no",19.28,14.99234629,0.534344994,627.3723333,30074.64667,31.94793453,0.424935289,643.0996667,64087.55667,31.93524427,0.409605816,627.052,64062.1,34.53678132,0.43009849,610.6836667,69280.78333,124.8333333,NA,86.66666667,86.66666667,2.30307908737845,-0.324477446700752,0.908946604529733,1.43053386611959,1.12238309801751,16.3,11.31949153,0.533256519,660.737,22706.9,24.77905949,0.48852106,617.005,49706.79333,18.07848455,0.49353373,627.3723333,36265.44,24.4043104,0.499147361,611.004,48955.04667,118.5,93.5,92,93.5,0.456739248337971,-0.612542942504321,0.412613860843324,-1.02273189730399,0.653104121587014
"2850-57879","2850-57579","2850-57879_2850-57579",2,"CHR",112,"CHR-112",0,1,7.47180793,"CHR_112_2",1,NA,0,4,"no",19.28,14.99234629,0.534344994,627.3723333,30074.64667,31.94793453,0.424935289,643.0996667,64087.55667,31.93524427,0.409605816,627.052,64062.1,34.53678132,0.43009849,610.6836667,69280.78333,124.8333333,NA,86.66666667,86.66666667,2.30307908737845,-0.324477446700752,0.908946604529733,1.43053386611959,1.12238309801751,16.3,11.31949153,0.533256519,660.737,22706.9,24.77905949,0.48852106,617.005,49706.79333,18.07848455,0.49353373,627.3723333,36265.44,24.4043104,0.499147361,611.004,48955.04667,118.5,93.5,92,93.5,0.456739248337971,-0.612542942504321,0.412613860843324,-1.02273189730399,0.653104121587014
"2850-57879","2850-57580","2850-57879_2850-57580",1,"CHR",112,"CHR-112",0,11,11.57698308,"CHR_112_1",1,NA,0,4,"no",19.28,14.99234629,0.534344994,627.3723333,30074.64667,31.94793453,0.424935289,643.0996667,64087.55667,31.93524427,0.409605816,627.052,64062.1,34.53678132,0.43009849,610.6836667,69280.78333,124.8333333,NA,86.66666667,86.66666667,2.30307908737845,-0.324477446700752,0.908946604529733,1.43053386611959,1.12238309801751,16.2,9.142844799,0.560214832,667.427,18340.54667,27.48113161,0.465556814,625.399,55127.15,22.9424111,0.468469624,647.108,46022.47667,30.74621137,0.465611781,608.7603333,61676.9,117.5,87.83333333,NA,87.83333333,-0.220280237242851,-1.17171658585126,0.964988048569367,0.243832851299199,1.90707256677948
"2850-57879","2850-57580","2850-57879_2850-57580",2,"CHR",112,"CHR-112",0,0,11.57698308,"CHR_112_2",1,NA,0,4,"no",19.28,14.99234629,0.534344994,627.3723333,30074.64667,31.94793453,0.424935289,643.0996667,64087.55667,31.93524427,0.409605816,627.052,64062.1,34.53678132,0.43009849,610.6836667,69280.78333,124.8333333,NA,86.66666667,86.66666667,2.30307908737845,-0.324477446700752,0.908946604529733,1.43053386611959,1.12238309801751,16.2,9.142844799,0.560214832,667.427,18340.54667,27.48113161,0.465556814,625.399,55127.15,22.9424111,0.468469624,647.108,46022.47667,30.74621137,0.465611781,608.7603333,61676.9,117.5,87.83333333,NA,87.83333333,-0.220280237242851,-1.17171658585126,0.964988048569367,0.243832851299199,1.90707256677948
"2850-57879","2850-57581","2850-57879_2850-57581",1,"CHR",112,"CHR-112",0,11,10.67389294,"CHR_112_1",1,NA,0,4,"no",19.28,14.99234629,0.534344994,627.3723333,30074.64667,31.94793453,0.424935289,643.0996667,64087.55667,31.93524427,0.409605816,627.052,64062.1,34.53678132,0.43009849,610.6836667,69280.78333,124.8333333,NA,86.66666667,86.66666667,2.30307908737845,-0.324477446700752,0.908946604529733,1.43053386611959,1.12238309801751,15.5,12.5018158,0.557442636,674.1035,25078.6425,18.94245264,0.521103483,641.0916667,37998.56,27.0381655,0.472765016,616.0483333,54238.56,19.62838485,0.524143762,664.102,39374.54,116,82.5,83,82.5,-0.857475046428205,-0.308807586528723,-0.780541178943333,1.31036584447863,-0.29122786414068
