"female","male","fem_mass_1","fem_throat_avg_bright","fem_throat_chroma","fem_throat_hue","fem_throat_total_bright","fem_breast_avg_bright","fem_breast_chroma","fem_breast_hue","fem_breast_total_bright","fem_belly_avg_bright","fem_belly_chroma","fem_belly_hue","fem_belly_total_bright","fem_vent_avg_bright","fem_vent_chroma","fem_vent_hue","fem_vent_total_bright","fem_mean_rwl","fem_mean_rts","fem_mean_lts","fem_TS","fem_TS_scaled","fem_throat_avg_bright_scaled","fem_breast_avg_bright_scaled","fem_belly_avg_bright_scaled","fem_vent_avg_bright_scaled","male_mass_1","male_throat_avg_bright","male_throat_chroma","male_throat_hue","male_throat_total_bright","male_breast_avg_bright","male_breast_chroma","male_breast_hue","male_breast_total_bright","male_belly_avg_bright","male_belly_chroma","male_belly_hue","male_belly_total_bright","male_vent_avg_bright","male_vent_chroma","male_vent_hue","male_vent_total_bright","male_mean_rwl","male_mean_rts","male_mean_lts","male_TS","male_TS_scaled","male_throat_avg_bright_scaled","male_breast_avg_bright_scaled","male_belly_avg_bright_scaled","male_vent_avg_bright_scaled","pat.clutch.size"
"2850-57853","2850-57638",20.9,23.24357926,0.451449368,642.4716667,46626.62,29.95942921,0.437023235,609.32125,60098.615,19.03226155,0.467757851,631.6946667,38178.71667,29.00649718,0.49314031,610.6836667,58187.03333,114,78.5,80.33333333,78.5,0.493393655352081,1.74602485819862,0.247515841124204,-1.26759088717357,0.337198942187068,16.53,10.19052011,0.487622013,670.0956667,20442.18333,18.05735626,0.481711047,627.6863333,36223.05667,18.27628946,0.486914464,611.004,36662.23667,23.08476072,0.442975542,644.3686667,46308.03,122,99,105,99,1.42691022377843,-1.04932411265918,-1.08854943548773,-0.804224968537921,0.0862973952561187,5
"2850-57869","2850-57659",19.21,15.75369724,0.505702199,644.3686667,31601.91667,27.30900964,0.433936999,627.6863333,54781.87333,29.34528913,0.432122245,627.366,58866.65,21.68236956,0.487990041,644.3686667,43494.83333,117,78,78.33333333,78,0.363008587042119,-0.403751277532956,-0.188955992531705,0.546270438754509,-0.883523000720837,18.87,11.84195912,0.556138857,670.81,23754.97,21.67765038,0.502116285,616.7863333,43485.36667,25.05338485,0.45743907,627.1573333,50257.09,24.84697906,0.488799595,625.7763333,49843.04,120.3333333,NA,89.33333333,89.33333333,0.0132724605540037,-0.610078601773799,-0.475162998393141,0.385720728082273,0.466285831027572,2
"2850-57871","2850-57614",17.56,22.26922067,0.436473614,643.7406667,44672.05667,29.5426886,0.474684483,611.004,59262.63333,27.10740778,0.442110828,611.004,54377.46,28.97539216,0.457669119,611.3883333,58124.63667,118.1666667,81,79.16666667,81,1.14531899690189,1.46636052719397,0.178886881292919,0.152670557313998,0.332014627765114,18.3,13.30648222,0.524842311,674.1076667,26692.80333,31.01010136,0.478070016,618.34,62206.26333,23.45964274,0.480179557,610.7476667,47060.04333,26.01526421,0.457140549,611.004,52186.62,116.1666667,92.5,92.16666667,92.5,0.476360693662194,-0.220548505071683,1.10603418234368,0.105886011853365,0.718204016536593,2
"2850-57872","2850-57873",19.12,19.89401296,0.471892932,611.004,39907.39,27.50672981,0.445895967,611.004,55178.5,25.50669159,0.428613955,611.004,51166.42333,31.53123629,0.456420879,611.004,63251.66,120.3333333,80,79.5,80,0.884548860281968,0.784618833702827,-0.156395379816845,-0.128864342918272,0.758000516326593,17.78,14.19395646,0.523433174,611.004,28473.07667,25.92409605,0.488596319,611.004,52003.73667,17.52426554,0.486432213,611.004,35153.67667,23.12273347,0.46271403,611.004,46384.20333,121.6666667,91.5,93.83333333,91.5,0.330122304413543,0.0154996163460246,0.244312296569091,-0.936267912581453,0.0944854872461505,4
"2850-57874","2850-57875",20.24,15.6378232,0.51782844,611.004,31369.47333,25.01960784,0.440377046,611.004,50189.33333,27.4267215,0.394388609,611.004,55018.00333,22.21683117,0.462104707,631.6946667,44566.96333,117.1666667,75,74,75,-0.419301822817655,-0.437009911684686,-0.565975319181614,0.20883164124918,-0.794443584192472,18.35,10.47729977,0.47401193,669.7853333,21017.46333,18.82554005,0.501831056,611.004,37764.03333,18.80828847,0.487568807,611.004,37729.42667,20.39057162,0.464260504,627.3723333,40903.48667,120,85.16666667,78.16666667,85.16666667,-0.596054160340455,-0.97304719446513,-0.958396055026497,-0.710814754260901,-0.494652580432762,2
"2850-57878","2850-57877",19.77,13.84048106,0.485086258,611.004,27764.005,25.90715022,0.456736591,611.004,51969.74333,15.86279827,0.468919551,627.3723333,31820.77333,23.12566301,0.467087764,611.004,46390.08,118.1666667,69,69.83333333,69,-1.9839226425372,-0.952890299386269,-0.419814592619393,-1.82503794362187,-0.642967391113607,17.41,16.51858757,0.525460668,643.7406667,33136.28667,21.75545862,0.485404041,611.004,43641.45,23.0853988,0.486452342,627.3723333,46309.31,26.05510967,0.469183949,611.004,52266.55,120.3333333,80.83333333,NA,80.83333333,-1.22975384805953,0.633799034822283,-0.461979948196601,0.040174974858623,0.726795922360246,3
"2850-57879","2850-57647",19.28,14.99234629,0.534344994,627.3723333,30074.64667,31.94793453,0.424935289,643.0996667,64087.55667,31.93524427,0.409605816,627.052,64062.1,34.53678132,0.43009849,610.6836667,69280.78333,124.8333333,NA,86.66666667,86.66666667,2.62301643861737,-0.622277296882264,0.57498345156557,1.00179326441291,1.2589386428688,15.8,12.89783981,0.543297932,643.7406667,25873.06667,28.1838767,0.473800388,617.439,56536.85667,25.45478232,0.436115595,638.1653333,51062.29333,20.55910934,0.502370676,626.097,41241.57333,122.1666667,85.83333333,87.33333333,85.83333333,-0.498561901816276,-0.329238164855052,0.627186934809475,0.456199475181733,-0.458310668004767,4
"2850-57883","2850-57578",16.69,20.88361083,0.477014322,659.167,41892.52333,25.27007145,0.443795535,598.4333333,50691.76333,28.1415786,0.420426057,606.3786667,56452.00667,31.36723164,0.437279716,632.7336667,62922.66667,118,77.83333333,NA,77.83333333,0.319546896736232,1.06865720429612,-0.524728902064049,0.334561126329748,0.730665646512578,17.2,10.81633932,0.556799001,678.4426667,21697.57667,15.67680791,0.517385329,657.4626667,31447.67667,20.72179628,0.496782872,642.7923333,41567.92333,11.67128448,0.547842632,659.167,23412.59667,119,91.5,91.5,91.5,0.330122304413543,-0.882870324808829,-1.49188574528399,-0.374834477619313,-2.37479887454678,4
"2870-64908","2850-57733",18.58,12.54084247,0.56145742,675.4463333,25156.93,22.86535394,0.47117742,633.8136667,45867.9,24.19610003,0.477382231,641.3963333,48537.37667,23.69351944,0.475188692,649.4783333,47529.2,123.1666667,80,81.83333333,80,0.884548860281968,-1.32591780748283,-0.92073845198379,-0.359371953445941,-0.548322016198315,15.66,14.84394317,0.488091858,680.0823333,29776.95,20.45213858,0.480742509,611.004,41026.99,22.3788767,0.481773003,627.3723333,44892.02667,18.61630941,0.474711747,611.004,37344.31667,121.6666667,NA,102,102,1.86562539152438,0.188381413841325,-0.682801464137293,-0.0838786032720019,-0.877238044743787,5
"2870-64909","2850-57582",17.46,13.53066633,0.536423157,673.7936667,27142.51667,38.09591392,0.402625511,609.081,76420.40333,27.94449319,0.41560494,614.7323333,56056.65333,30.02785311,0.437260381,597.723,60235.87333,117.6666667,72,73.16666667,72,-1.20161223267743,-1.04181457232857,1.58743441140814,0.299897629085064,0.507429672720147,15.9,NA,NA,NA,NA,28.49882187,0.467628455,626.7313333,57168.63667,24.79582419,0.471185748,627.0583333,49740.42333,10.86734629,0.526212895,643.7406667,21799.89667,118,88.5,86,88.5,-0.108592863332411,NA,0.68054809534039,0.340497342347155,-2.54815265729939,4
"2870-65003","2850-57577",16.1,16.80360253,0.508698732,639.3743333,33708.02667,22.7877451,0.460682544,610.6836667,45712.21667,28.35118976,0.447607161,611.3883333,56872.48667,25.32722832,0.473120529,611.068,50806.42,114,75,75,75,-0.419301822817655,-0.102403228098615,-0.933519097390324,0.37142765981447,-0.276029617484009,18.2,20.92472416,0.512057073,676.164,41974.99667,28.83623131,0.475799583,625.399,57845.48,28.80829345,0.443602398,627.1216667,57789.43667,29.54534563,0.455136562,636.0576667,59267.96333,119,90.83333333,91.16666667,90.83333333,0.232630044426981,1.80573194047972,0.737715377164354,1.04502048301344,1.47939806751422,4
