"female","male","pairwise","attempt1","barn","nest","location1","soc.pair","total.dur","process.dist.m","dur.fertile","ci.diff","clutch_id_merge","clutch_match","fert_type","shared_fert","pat.clutch.size","bin_fert","fem_mass_1","fem_throat_avg_bright","fem_throat_chroma","fem_throat_hue","fem_throat_total_bright","fem_breast_avg_bright","fem_breast_chroma","fem_breast_hue","fem_breast_total_bright","fem_belly_avg_bright","fem_belly_chroma","fem_belly_hue","fem_belly_total_bright","fem_vent_avg_bright","fem_vent_chroma","fem_vent_hue","fem_vent_total_bright","fem_mean_rwl","fem_mean_rts","fem_mean_lts","fem_TS","fem_TS_scaled","fem_throat_avg_bright_scaled","fem_breast_avg_bright_scaled","fem_belly_avg_bright_scaled","fem_vent_avg_bright_scaled","male_mass_1","male_throat_avg_bright","male_throat_chroma","male_throat_hue","male_throat_total_bright","male_breast_avg_bright","male_breast_chroma","male_breast_hue","male_breast_total_bright","male_belly_avg_bright","male_belly_chroma","male_belly_hue","male_belly_total_bright","male_vent_avg_bright","male_vent_chroma","male_vent_hue","male_vent_total_bright","male_mean_rwl","male_mean_rts","male_mean_lts","male_TS","male_TS_scaled","male_throat_avg_bright_scaled","male_breast_avg_bright_scaled","male_belly_avg_bright_scaled","male_vent_avg_bright_scaled"
"2640-97331","2850-57582","2640-97331_2850-57582",2,"CHR",27,"CHR-27",0,10,12.09954678,0,16,"CHR_27_2",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,15.9,NA,NA,NA,NA,28.49882187,0.467628455,626.7313333,57168.63667,24.79582419,0.471185748,627.0583333,49740.42333,10.86734629,0.526212895,643.7406667,21799.89667,118,88.5,86,88.5,-0.108592863332411,NA,0.68054809534039,0.340497342347155,-2.54815265729939
"2640-97331","2850-57582","2640-97331_2850-57582",1,"CHR",29,"CHR-29",0,0,13.16811811,0,12,"CHR_29_1",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,15.9,NA,NA,NA,NA,28.49882187,0.467628455,626.7313333,57168.63667,24.79582419,0.471185748,627.0583333,49740.42333,10.86734629,0.526212895,643.7406667,21799.89667,118,88.5,86,88.5,-0.108592863332411,NA,0.68054809534039,0.340497342347155,-2.54815265729939
"2640-97331","2850-57589","2640-97331_2850-57589",1,"CHR",29,"CHR-29",0,1,7.023837135,1,10,"CHR_29_1",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,17.5,12.65077601,0.531237153,675.7903333,25377.45667,16.92662014,0.501144529,627.3723333,33954.8,19.27879528,0.490091496,643.7406667,38673.26333,19.52571951,0.519492939,627.6863333,39168.59333,119.8333333,97,96.5,97,1.13443344528112,-0.394951560502818,-1.28013005765578,-0.628201551764721,-0.681141276522795
"2640-97331","2850-57589","2640-97331_2850-57589",2,"CHR",27,"CHR-27",0,10,6.234389011,0,15,"CHR_27_2",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,17.5,12.65077601,0.531237153,675.7903333,25377.45667,16.92662014,0.501144529,627.3723333,33954.8,19.27879528,0.490091496,643.7406667,38673.26333,19.52571951,0.519492939,627.6863333,39168.59333,119.8333333,97,96.5,97,1.13443344528112,-0.394951560502818,-1.28013005765578,-0.628201551764721,-0.681141276522795
"2640-97331","2850-57620","2640-97331_2850-57620",2,"CHR",27,"CHR-27",0,10,6.422664264,0,14,"CHR_27_2",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,18.2,8.903889997,0.510576941,627.6863333,17861.20333,21.60838485,0.492100236,611.004,43346.42,22.72290794,0.464821292,611.004,45582.15333,21.84048023,0.466018925,627.6863333,43812.00333,121,87,84,87,-0.327950447205388,-1.39153868908802,-0.486898657224134,-0.0234724159627646,-0.182007721268793
"2640-97331","2850-57620","2640-97331_2850-57620",1,"CHR",29,"CHR-29",0,0,5.45933273,0,13,"CHR_29_1",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,18.2,8.903889997,0.510576941,627.6863333,17861.20333,21.60838485,0.492100236,611.004,43346.42,22.72290794,0.464821292,611.004,45582.15333,21.84048023,0.466018925,627.6863333,43812.00333,121,87,84,87,-0.327950447205388,-1.39153868908802,-0.486898657224134,-0.0234724159627646,-0.182007721268793
"2640-97331","2850-57647","2640-97331_2850-57647",2,"CHR",27,"CHR-27",0,10,3.77388294,0,24,"CHR_27_2",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,15.8,12.89783981,0.543297932,643.7406667,25873.06667,28.1838767,0.473800388,617.439,56536.85667,25.45478232,0.436115595,638.1653333,51062.29333,20.55910934,0.502370676,626.097,41241.57333,122.1666667,85.83333333,87.33333333,85.83333333,-0.498561901816276,-0.329238164855052,0.627186934809475,0.456199475181733,-0.458310668004767
"2640-97331","2850-57647","2640-97331_2850-57647",1,"CHR",29,"CHR-29",0,0,3.546625264,0,18,"CHR_29_1",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,15.8,12.89783981,0.543297932,643.7406667,25873.06667,28.1838767,0.473800388,617.439,56536.85667,25.45478232,0.436115595,638.1653333,51062.29333,20.55910934,0.502370676,626.097,41241.57333,122.1666667,85.83333333,87.33333333,85.83333333,-0.498561901816276,-0.329238164855052,0.627186934809475,0.456199475181733,-0.458310668004767
"2640-97331","2850-57653","2640-97331_2850-57653",2,"CHR",27,"CHR-27",0,10,16.54801295,9,-2,"CHR_27_2",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,16.37,8.467490861,0.535457505,660.1716667,16985.78667,27.15053506,0.465647634,659.167,54463.97333,21.8547225,0.470898637,665.8,43840.57333,15.40861914,0.497215455,659.167,30909.69,119.3333333,78,76.33333333,78,-1.64409595044325,-1.50761101163916,0.452107859504655,-0.175911398852204,-1.56891465511013
"2640-97331","2850-57653","2640-97331_2850-57653",1,"CHR",29,"CHR-29",0,0,13.22996489,0,13,"CHR_29_1",1,NA,0,4,"no",16.76,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,119,79.83333333,79,79.83333333,0.841087169976081,-2.1023325983426,-1.58701740214741,-1.17487569171357,-1.36053335402883,16.37,8.467490861,0.535457505,660.1716667,16985.78667,27.15053506,0.465647634,659.167,54463.97333,21.8547225,0.470898637,665.8,43840.57333,15.40861914,0.497215455,659.167,30909.69,119.3333333,78,76.33333333,78,-1.64409595044325,-1.50761101163916,0.452107859504655,-0.175911398852204,-1.56891465511013
