Send.,Year,Band,Site,Sex,Type,FamilyID,Rep.by.x,GPS_tag.,Nest._1,Tissue,DNA.ID,DNA.Concentration..ng.µL.,DNA.storage.location,X,Re.extract.,Seq.ID,Rep.by.y,Nest..,Brood..,clutch_id
Y,2022,2870-64906,Boyer,M,dad,Boyer-11,564,,11,blood,564,21.543,CO 2022 Field Box 3,,,CO-64906,564,NA,NA,NA
Y,2022,2811-83141,Cathy's,,kid,Cathys-02,643,,2,blood,643,86.443,CO 2022 Field Box 4,,,CO-83141,643,2,2,Cathy's_2_2
Y,2022,2850-57666,Cathy's,M,dad,Cathys-02,377,,#N/A,blood,377,38.113,Colorado Field Blood 2022 Box 1,,,CO-57666,377,NA,NA,NA
Y,2022,2850-57667,Cathy's,F,mom,Cathys-02,677,,2,blood,677,37.243,CO 2022 Field Box 5,,,CO-57667,677,NA,NA,NA
N,2022,2811-83208,CHR,M,dad,CHR-004,202,,4.2,blood,364,32.058,Colorado Field Blood 2022 Box 1,,,CO-83208,202,NA,NA,NA
N,2022,2811-83277,CHR,,kid,CHR-004,820,,4,blood,798,12.082,CO 2022 Field Box 7,,,CO-83277,820,4,1,CHR_4_1
Y,2022,2811-83278,CHR,,kid,CHR-004,799,,4,blood,799,53.775,CO 2022 Field Box 7,,,CO-83278,799,4,1,CHR_4_1
N,2022,2811-83279,CHR,,kid,CHR-004,821,,4,blood,800,12.057,CO 2022 Field Box 7,,,CO-83279,821,4,1,CHR_4_1
Y,2022,2811-83437,CHR,,kid,CHR-004,660,,4.2,blood,660,166.046,CO 2022 Field Box 5,,,CO-83437,660,4,2,CHR_4_2
Y,2022,2811-83438,CHR,,kid,CHR-004,661,,4.2,blood,661,64.329,CO 2022 Field Box 5,,,CO-83438,661,4,2,CHR_4_2
Y,2022,2850-57585,CHR,F,mom,CHR-004,671,,4,blood,671,155.004,CO 2022 Field Box 5,,,CO-57585,671,NA,NA,NA
Y,2022,2811-83142,CHR,,kid,CHR-011,644,,101,blood,644,179.274,CO 2022 Field Box 4,,,CO-83142,644,101,2,CHR_101_2
