"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","band_ind1","site_ind1","nest_ind1","type_ind1","FamilyID_ind1","brood_ind1","clutchID_ind1","band_ind2","site_ind2","nest_ind2","type_ind2","FamilyID_ind2","brood_ind2","clutchID_ind2","mom.assign3","dad.assign3"
"CO_57686","CO_E123",0.24,0.706,0.054,0.407,61505,"2850-57686","Boyer",13,"dad","Boyer-13",NA,"Boyer_13_","E123","Boyer",13,"egg","Boyer-13","collected","Boyer_13_collected",1,1
"CO_57686","CO_E126",0.166,0.805,0.029,0.431,78456,"2850-57686","Boyer",13,"dad","Boyer-13",NA,"Boyer_13_","E126","Boyer",13,"egg","Boyer-13","collected","Boyer_13_collected",1,1
"CO_57686","CO_E124",0.174,0.797,0.03,0.428,79110,"2850-57686","Boyer",13,"dad","Boyer-13",NA,"Boyer_13_","E124","Boyer",13,"egg","Boyer-13","collected","Boyer_13_collected",1,1
"CO_57686","CO_E155",0.206,0.739,0.055,0.425,61437,"2850-57686","Boyer",13,"dad","Boyer-05",NA,"Boyer_13_","E155","Boyer",5,"egg","Boyer-05","collected","Boyer_5_collected",1,1
"CO_57686","CO_E148",0.171,0.786,0.043,0.436,78069,"2850-57686","Boyer",13,"dad","Boyer-13",NA,"Boyer_13_","E148","Boyer",2,"egg","Boyer-02","collected","Boyer_2_collected",1,1
"CO_57686","CO_E125",0.254,0.657,0.089,0.418,58487,"2850-57686","Boyer",13,"dad","Boyer-13",NA,"Boyer_13_","E125","Boyer",13,"egg","Boyer-13","collected","Boyer_13_collected",1,1
"CO_57686","CO_E154",0.238,0.676,0.086,0.424,58625,"2850-57686","Boyer",13,"dad","Boyer-05",NA,"Boyer_13_","E154","Boyer",5,"egg","Boyer-05","collected","Boyer_5_collected",1,1
"CO_57686","CO_E150",0.173,0.789,0.038,0.432,78688,"2850-57686","Boyer",13,"dad","Boyer-13",NA,"Boyer_13_","E150","Boyer",2,"egg","Boyer-02","collected","Boyer_2_collected",1,1
"CO_57686","CO_E153",0.224,0.695,0.081,0.429,58975,"2850-57686","Boyer",13,"dad","Boyer-05",NA,"Boyer_13_","E153","Boyer",5,"egg","Boyer-05","collected","Boyer_5_collected",1,1
"CO_57686","CO_E152",0.237,0.686,0.076,0.42,63041,"2850-57686","Boyer",13,"dad","Boyer-05",NA,"Boyer_13_","E152","Boyer",5,"egg","Boyer-05","collected","Boyer_5_collected",1,1
"CO_57686","CO_E156",0.18,0.777,0.043,0.431,77389,"2850-57686","Boyer",13,"dad","Boyer-05",NA,"Boyer_13_","E156","Boyer",5,"egg","Boyer-05","collected","Boyer_5_collected",1,1
"CO_57686","CO_34138",0.21,0.742,0.047,0.418,75512,"2850-57686","Boyer",13,"dad","Boyer-13",NA,"Boyer_13_","2881-34138","Boyer",15,"kid","Boyer-13","1","Boyer_15_1",1,1
"CO_57853","CO_E101",0.522,0.158,0.32,0.399,14367,"2850-57853","Cooks",29,"mom","Cooks-29",NA,"Cooks_29_","E101","Cooks",29,"egg","Cooks-29","collected","Cooks_29_collected",1,0
"CO_57853","CO_E103",0.153,0.788,0.059,0.453,63749,"2850-57853","Cooks",29,"mom","Cooks-29",NA,"Cooks_29_","E103","Cooks",29,"egg","Cooks-29","collected","Cooks_29_collected",1,1
"CO_57853","CO_E104",0.266,0.605,0.129,0.431,51101,"2850-57853","Cooks",29,"mom","Cooks-29",NA,"Cooks_29_","E104","Cooks",29,"egg","Cooks-29","collected","Cooks_29_collected",1,1
"CO_57853","CO_E102",0.164,0.782,0.054,0.445,63380,"2850-57853","Cooks",29,"mom","Cooks-29",NA,"Cooks_29_","E102","Cooks",29,"egg","Cooks-29","collected","Cooks_29_collected",1,1
"CO_83229","CO_33811",0.215,0.677,0.108,0.446,53910,"2811-83229","Jays",1,"dad","Jays-01",NA,"Jays_1_","2881-33811","Jays",1.2,"kid","Jays-01","2","Jays_1.2_2",1,1
"CO_83229","CO_33809",0.247,0.627,0.125,0.439,53024,"2811-83229","Jays",1,"dad","Jays-01",NA,"Jays_1_","2881-33809","Jays",1.2,"kid","Jays-01","2","Jays_1.2_2",1,1
"CO_83229","CO_33810",0.26,0.622,0.118,0.429,57156,"2811-83229","Jays",1,"dad","Jays-01",NA,"Jays_1_","2881-33810","Jays",1.2,"kid","Jays-01","2","Jays_1.2_2",1,1
"CO_83229","CO_83166",0.202,0.734,0.064,0.431,56413,"2811-83229","Jays",1,"dad","Jays-01",NA,"Jays_1_","2811-83166","Jays",1,"kid","Jays-01","1","Jays_1_1",1,1
"CO_83229","CO_83169",0.211,0.707,0.082,0.435,58346,"2811-83229","Jays",1,"dad","Jays-01",NA,"Jays_1_","2811-83169","Jays",1,"kid","Jays-01","1","Jays_1_1",1,1
"CO_57677","CO_33935",0.221,0.7,0.08,0.43,63957,"2850-57677","Karens",1,"dad","Karens-01",NA,"Karens_1_","2881-33935","Karens",1,"kid","Karens-01","1","Karens_1_1",1,1
"CO_57677","CO_33932",0.18,0.758,0.061,0.44,69276,"2850-57677","Karens",1,"dad","Karens-01",NA,"Karens_1_","2881-33932","Karens",1,"kid","Karens-01","1","Karens_1_1",1,1
