"Ind2","genetic_fam","band_ind2","site_ind2","nest_ind2","type_ind2","FamilyID_ind2","brood_ind2","clutchID_ind2","mom.assign3","dad.assign3","k0_hat_dad","k1_hat_dad","k2_hat_dad","pi_HAT_dad","nbSNP_dad","band_dad","site_dad","nest_dad","type_dad","FamilyID_dad","k0_hat_mom","k1_hat_mom","k2_hat_mom","pi_HAT_mom","nbSNP_mom","band_mom","site_mom","nest_mom","type_mom","FamilyID_mom","site_type"
"CO_E108","2870-64906_2811-06861","E108","Boyer",9,"egg","Boyer-09","collected","Boyer_9_collected",1,1,0.266,0.638,0.096,0.415,51421,"2870-64906","Boyer",9,"dad","Boyer-09",0.207,0.737,0.056,0.424,58553,"2811-06861","Boyer",9,"mom","Boyer-09","medium"
"CO_83172","2870-64906_2850-57685","2811-83172","Boyer",13.2,"kid","Boyer-05","1","Boyer_13.2_1",1,1,0.265,0.634,0.101,0.418,66628,"2870-64906","Boyer",9,"dad","Boyer-09",0.234,0.695,0.071,0.418,74188,"2850-57685","Boyer",13,"mom","Boyer-05","medium"
"CO_83180","2870-64906_2811-06861","2811-83180","Boyer",9.2,"kid","Boyer-09","1","Boyer_9.2_1",1,1,0.289,0.617,0.094,0.403,64350,"2870-64906","Boyer",9,"dad","Boyer-09",0.237,0.7,0.063,0.413,73461,"2811-06861","Boyer",9,"mom","Boyer-09","medium"
"CO_33820","2850-57686_2850-57685","2881-33820","Boyer",16,"kid","Boyer-05","2","Boyer_16_2",1,1,0.225,0.702,0.073,0.424,72782,"2850-57686","Boyer",13,"dad","Boyer-05",0.177,0.771,0.052,0.437,72264,"2850-57685","Boyer",13,"mom","Boyer-05","medium"
"CO_33819","2850-57686_2850-57685","2881-33819","Boyer",16,"kid","Boyer-05","2","Boyer_16_2",1,1,0.216,0.733,0.051,0.418,73132,"2850-57686","Boyer",13,"dad","Boyer-05",0.198,0.743,0.058,0.43,72591,"2850-57685","Boyer",13,"mom","Boyer-05","medium"
"CO_E155","2850-57686_2850-57685","E155","Boyer",5,"egg","Boyer-05","collected","Boyer_5_collected",1,1,0.206,0.739,0.055,0.425,61437,"2850-57686","Boyer",13,"dad","Boyer-05",0.207,0.75,0.043,0.418,60969,"2850-57685","Boyer",13,"mom","Boyer-05","medium"
"CO_E148","2850-57686_2850-57687","E148","Boyer",2,"egg","Boyer-02","collected","Boyer_2_collected",1,1,0.171,0.786,0.043,0.436,78069,"2850-57686","Boyer",13,"dad","Boyer-13",0.166,0.808,0.026,0.43,83798,"2850-57687","Boyer",2,"mom","Boyer-02","medium"
"CO_E154","2850-57686_2850-57685","E154","Boyer",5,"egg","Boyer-05","collected","Boyer_5_collected",1,1,0.238,0.676,0.086,0.424,58625,"2850-57686","Boyer",13,"dad","Boyer-05",0.188,0.747,0.065,0.439,58147,"2850-57685","Boyer",13,"mom","Boyer-05","medium"
"CO_E150","2850-57686_2850-57687","E150","Boyer",2,"egg","Boyer-02","collected","Boyer_2_collected",1,1,0.173,0.789,0.038,0.432,78688,"2850-57686","Boyer",13,"dad","Boyer-13",0.162,0.804,0.033,0.436,84458,"2850-57687","Boyer",2,"mom","Boyer-02","medium"
"CO_E153","2850-57686_2850-57685","E153","Boyer",5,"egg","Boyer-05","collected","Boyer_5_collected",1,1,0.224,0.695,0.081,0.429,58975,"2850-57686","Boyer",13,"dad","Boyer-05",0.181,0.754,0.064,0.442,58560,"2850-57685","Boyer",13,"mom","Boyer-05","medium"
