"band","site","sex","nest","mate_band","ci","eggs","hatched","day_12","success","nest_fate","notes","nest_attempt"
"2850-57869","Blue Cloud","F","17","2850-57659","2022-07-06","4","4","4","Y","fledged","",2
"2850-57572","Blue Cloud","F","5","2850-57901","2022-05-30","4","1","1","Y","fledged","ibutton nest",2
"2850-57612","Blue Cloud","F","21","2640-97548","2022-06-27","5","5","5","Y","fledged","",2
"2850-57870","Blue Cloud","F","24","2850-57565","2022-06-22","5","5","5","Y","fledged","",2
"2850-57871","Blue Cloud","F","14","2850-57614","2022-06-27","4","4","4","Y","fledged","",2
"2850-57885","Blue Cloud","F","26.2","2870-64905","2022-07-09","4","0","0","N","unhatched","",2
"2850-57667","Cathy's","F","1.2","2850-57666","2022-07-13","4","0","0","N","unhatched","",2
"2850-57585","CHR","F","4.2","2811-83208","2022-07-19","4","4","2","Y","fledged","",2
"2850-57584","CHR","F","9","UNB","2022-06-23","4","4","4","Y","fledged","",2
"2870-64908","CHR","F","101","2850-57733","2022-08-10","4","4","4","Y","fledged","",2
"2850-57650","CHR","F","95","2850-57881","2022-07-19","4","3","3","Y","fledged","",2
"2640-97331","CHR","F?","27","2850-57808","2022-07-05","4","4","4","Y","fledged","",2
"2640-97358","CHR","F","109","2850-57731","2022-07-01","4","0","0","N","unhatched","",2
"2850-57586","CHR","F","33.2","2850-57669","2022-07-06","1","0","0","N","unhatched","estimated CI",2
"2850-57735","CHR","F","119","2850-57806","2022-07-09","4","2","2","Y","fledged","",2
"2850-57649","CHR","F","39.2","2850-57620","2022-07-19","4","4","4","Y","fledged","",2
"2850-57571","CHR","F","139","2850-57880","2022-06-18","4","3","1?",NA,NA,"no nestlings banded because they either were predated or got too old. Unsure what happened only 1N seen on D13",2
"2850-57652","CHR","F","16","2850-57581","2022-07-10","4","4","4","Y","fledged","",2
"2850-57746","CHR","F","6","2850-57582","2022-07-21","5","4","4","Y","fledged","",2
"2850-57737","CHR","F","12","UNB","2022-07-03","4","3","3","Y","fledged","",2
"2850-57696","CHR","F","77.2","UNB","2022-07-03","4","4","4","Y","fledged","2N dead in nest so 2N fledged",2
"2850-57656","CHR","F","78.2","UNB","2022-07-30","4","4","4","Y","fledged","",2
"2850-57655","CHR","F","115","2850-57745","2022-06-30","3","0","0","N","unhatched","",2
"2850-57588","CHR","F","45","2850-57653","2022-07-03","5","4","3","Y","fledged","",2
"2850-57730","CHR","F","93.2","2640-97588","2022-07-01","5","4","4","Y","fledged","",2
"2850-57568","CHR","F","96.2","2850-57806","2022-07-10","5","4","3","Y","fledged","",2
"2850-57583","CHR","F","19","2850-57589","2022-07-20","4","4","4","Y","fledged","",2
"2850-57883","CHR","F","99.2","2850-57578","2022-07-26","4","4","4","Y","fledged","",2
"2811-38984","CHR","F","102.2","2640-97589","2022-07-04","5","4","4","Y","fledged","",2
"2850-57846","CHR","F","52","2850-57742","2022-07-06","5","5","4","Y","fledged","",2
"2850-57879","CHR","F","112.2","2850-57647","2022-07-29","5","4","4","Y","fledged","",2
"2870-65003","CHR","F","150","2850-57577","2022-07-29","5","5","1","Y","fledged","",2
"2850-57648","CHR","F","151","2850-57570","2022-06-30","4","3","3","N","failed","3N found dead in nest after day 12",2
"2850-57637","Cooks","F","22","2850-57633","2022-07-06","3","0","0","N","predated","",2
"2850-57672","Cooks","F","7","2850-57673","2022-07-29","1","0","0","N","predated","",2
"2850-57853","Cooks","F","8","2850-57638","2022-07-02","5","5","5","N","failed","all 5N found dead day 17 covered in mites",2
"2850-57663","Cooks","F","14","2850-57573","2022-07-19","4","4","4","Y","fledged","",2
"2811-83207","Dome House","F","2","2850-57643","2022-07-17","5","4","4","N","failed","4N found dead D14",2
"2850-57741","Erica's","F","2","2811-00632","2022-06-23","4","4","0","N","failed","CI estimated; chicks likely died from heat",2
"2850-57660","Jays","F","1","2850-57751","2022-07-23","4","0","0","N","predated","",2
"2850-57661","Karen's","F","1.2","2850-57662","2022-07-05","5","3","3","Y","fledged","",2
"2850-57874","Make Believe","F","8.2","2850-57875","2022-07-16","5","0","0","N","unhatched","",2
"2850-57576","Make Believe","F","69","2850-57518","2022-07-14","4","2","2","N","failed ","dead in nest D18",2
"2850-57872","Make Believe","F","48","2850-57873","2022-07-19","4","4","4","Y","fledged","2N found dead, 2N fledged",2
"2850-57635","Make Believe","F","38","2850-57668","2022-07-18","5","4","4","Y","fledged","",2
"2850-57876","Make Believe","F","62.2","2850-57750","2022-07-14","3","0","0","N","unhatched","",2
"2640-97596","Make Believe","F","73.2","2350-21085","2022-07-05","5","5","5","Y","fledged","",2
"2850-57692","Marte's","F","2","2850-57691","unknown","3","3","3","Y","fledged","nestlings banded, nest monitored by site owner",2
"2850-57640","McCauley","F","2","2850-57639","2022-07-07","5","4","4","Y","fledged","",2
"2850-57698","Speedwell","F","1","2850-57699",NA,"4","4","4","Y","fledged","only checked for hatch and fledge date, not full monitoring",2
"2850-57551","Struthers","F","20","2850-57552","2022-06-26","6","5","5","Y","fledged","one N found dead on day 18",2
"2850-57645","Struthers","F","3","2850-57674","2022-07-31","4","4","4","Y","fledged","",2
"2850-57629","Urban Farm Girlz","F","8.2","2850-57868","2022-07-26","5","4","4","Y ","fledged","",2
"2850-57572","Blue Cloud","F","5.2","2850-57901","2022-07-10","4","4","4","Y","fledged","",3
"2850-57667","Cathy's","F","2","2850-57666","2022-08-01","4","1","1","N","failed","1N found dead day 23",3
"2640-97358","CHR","F","32.2","2850-57731","2022-08-11","3","3","2","Y","fledged","",3
"2850-57586","CHR","F","149","2850-57669","2022-07-24","5","4",NA,NA,NA,"2N seen but nestlings were never banded ",3
"2850-57637","Cooks","F","22.2","2850-57633","2022-07-23","4","0","0","N","unhatched","",3
"2850-57741","Erica's","F","3","2811-00632","2022-07-24","5","2","0","N","predated","",3
