"female","male","pairwise","attempt1","barn","nest","location1","soc.pair","total.dur","process.dist.m","dur.fertile","ci.diff","rest.SI.chr","clutch_id_merge","clutch_match","fert_type","shared_fert","pat.clutch.size","bin_fert"
"2640-97331","unb-CHR-76and12","2640-97331_unb-CHR-76and12","1","CHR","29","CHR-29",0,0,9.863121172,0,20,0.258064516129032,"CHR_29_1",1,NA,0,4,"no"
"2640-97331","unb-CHR-77","2640-97331_unb-CHR-77","1","CHR","29","CHR-29",0,11,10.25037497,6,-5,0.238709677419355,"CHR_29_1",1,NA,0,4,"no"
"2640-97331","unb-CHR-77","2640-97331_unb-CHR-77","2","CHR","27","CHR-27",0,10,11.20864481,8,-2,0.293906810035842,"CHR_27_2",1,NA,0,4,"no"
"2640-97331","unb-CHR-7and9","2640-97331_unb-CHR-7and9","2","CHR","27","CHR-27",0,10,8.165346447,0,-12,0.32258064516129,"CHR_27_2",1,NA,0,4,"no"
"2640-97331","unb-CHR-7and9","2640-97331_unb-CHR-7and9","1","CHR","29","CHR-29",0,0,10.66913165,0,17,0.258064516129032,"CHR_29_1",1,NA,0,4,"no"
"2640-97358","2640-97588","2640-97358_2640-97588","1","CHR","32","CHR-32",0,10,12.6552842,10,1,0.138709677419355,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","2640-97588","2640-97358_2640-97588","3","CHR","32","CHR-32",0,2,12.6552842,0,-41,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97358","2640-97589","2640-97358_2640-97589","1","CHR","32","CHR-32",0,8,1.577070176,8,3,0.145161290322581,"CHR_32_1",1,NA,0,5,"no"
"2640-97358","2640-97589","2640-97358_2640-97589","3","CHR","32","CHR-32",0,5,1.577070176,0,-38,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
"2640-97358","2811-83208","2640-97358_2811-83208","3","CHR","32","CHR-32",0,9,15.89371749,0,-23,0.0362903225806452,"CHR_32_3",1,NA,0,2,"no"
