band,site,sex,date_captured,rwl1,rwl2,rwl3,intact_lts,intact_rts,lts1,lts2,lts3,rts1,rts2,rts3,mass_1,mass_2,mass_2_date,mass_3,mass_3_date,nest_1,mate_band_1,ci_1,eggs_1,nest_2,mate_band_2,ci_2,eggs_2,nest_3,mate_band_3,ci_3,eggs_3,nest_4,mate_band_4,ci_4,eggs_4,throat_avg_bright,throat_chroma,throat_hue,throat_total_bright,breast_avg_bright,breast_chroma,breast_hue,breast_total_bright,belly_avg_bright,belly_chroma,belly_hue,belly_total_bright,vent_avg_bright,vent_chroma,vent_hue,vent_total_bright,bird_notes,year,julian_ci_1,julian_ci_2,julian_ci_3,julian_ci_4,mean_rwl,mean_rts,mean_lts
2850-57570,Colorado Horse Rescue,M,2022-06-17,121.5,121.5,121.5,N,Y,NA,NA,NA,90,90,90,16.51,NA,NA,NA,NA,133,2850-57648,2022-06-10,3,151,2850-57648,2022-06-30,4,NA,,NA,NA,NA,,NA,NA,16.84077767,0.501161039,611.004,33782.6,23.06811898,0.49586693,611.004,46274.64667,25.67366733,0.443766873,611.004,51501.37667,19.07592556,0.494641169,627.6863333,38266.30667,no lts; ; ,2022,161,181,NA,NA,121.5,90,NA
2850-57571,Colorado Horse Rescue,F,2022-06-17,119,119.5,119,Y,N,86,86,85.5,79.5,79,79,20.23,NA,NA,NA,NA,58,2850-57579,2022-05-24,4,139,2850-57880,2022-06-18,4,NA,,NA,NA,NA,,NA,NA,16.76718677,0.503477031,659.167,33634.97667,24.15598039,0.482387459,642.4716667,48456.89667,22.57087571,0.47703029,625.7763333,45277.17667,14.77255068,0.53662753,666.1736667,29633.73667,; ; two different mates,2022,144,169,NA,NA,119.1666667,79.16666667,85.83333333
2850-57577,Colorado Horse Rescue,M,2022-06-17,119,119,119,Y,Y,91,91.5,91,90.5,91,91,18.2,NA,NA,NA,NA,128,2870-65003,2022-06-10,4,150,2870-65003,2022-07-29,5,NA,,NA,NA,NA,,NA,NA,20.92472416,0.512057073,676.164,41974.99667,28.83623131,0.475799583,625.399,57845.48,28.80829345,0.443602398,627.1216667,57789.43667,29.54534563,0.455136562,636.0576667,59267.96333,; ; ,2022,161,210,NA,NA,119,90.83333333,91.16666667
2850-57578,Colorado Horse Rescue,M,2022-06-17,119,119,119,Y,Y,91.5,91.5,91.5,91.5,91.5,91.5,17.2,NA,NA,NA,NA,99,2850-57883,2022-06-06,5,99.2,2850-57883,2022-07-26,4,NA,,NA,NA,NA,,NA,NA,10.81633932,0.556799001,678.4426667,21697.57667,15.67680791,0.517385329,657.4626667,31447.67667,20.72179628,0.496782872,642.7923333,41567.92333,11.67128448,0.547842632,659.167,23412.59667,; ; ,2022,157,207,NA,NA,119,91.5,91.5
2850-57579,Colorado Horse Rescue,M,2022-06-17,118.5,118.5,118.5,Y,Y,92,92,92,93.5,93.5,93.5,16.3,NA,NA,NA,NA,58,2850-57571,2022-05-24,4,,,NA,NA,NA,,NA,NA,NA,,NA,NA,11.31949153,0.533256519,660.737,22706.9,24.77905949,0.48852106,617.005,49706.79333,18.07848455,0.49353373,627.3723333,36265.44,24.4043104,0.499147361,611.004,48955.04667,; ; divorced after 1st brood,2022,144,NA,NA,NA,118.5,93.5,92
2850-57580,Colorado Horse Rescue,M,2022-06-17,117.5,117.5,117.5,N,Y,NA,NA,NA,87.5,88,88,16.2,NA,NA,NA,NA,80,2850-57654,2022-06-01,4,,,NA,NA,NA,,NA,NA,NA,,NA,NA,9.142844799,0.560214832,667.427,18340.54667,27.48113161,0.465556814,625.399,55127.15,22.9424111,0.468469624,647.108,46022.47667,30.74621137,0.465611781,608.7603333,61676.9,LTS missing; ; ,2022,152,NA,NA,NA,117.5,87.83333333,NA
2850-57581,Colorado Horse Rescue,M,2022-06-17,116,116,116,Y,Y,83,83,83,82.5,82.5,82.5,15.5,NA,NA,NA,NA,66,2850-57652,2022-05-22,3,16,2850-57652,2022-06-10,4,NA,,NA,NA,NA,,NA,NA,12.5018158,0.557442636,674.1035,25078.6425,18.94245264,0.521103483,641.0916667,37998.56,27.0381655,0.472765016,616.0483333,54238.56,19.62838485,0.524143762,664.102,39374.54,curly LTS; ; ,2022,142,161,NA,NA,116,82.5,83
2850-57582,Colorado Horse Rescue,M,2022-06-17,118,118,118,Y,Y,86,86,86,88.5,88.5,88.5,15.9,NA,NA,NA,NA,74,2850-57746,2022-05-30,4,148,2870-64909,2022-07-30,5,6,2850-57746,2022-07-21,5,NA,,NA,NA,NA,NA,NA,NA,28.49882187,0.467628455,626.7313333,57168.63667,24.79582419,0.471185748,627.0583333,49740.42333,10.86734629,0.526212895,643.7406667,21799.89667,; ; attending two nests for 2nd broods!,2022,150,211,202,NA,118,88.5,86
2850-57583,Colorado Horse Rescue,F,2022-06-17,114.5,114,114.5,Y,Y,79,79,79,79,79.5,79,17.7,NA,NA,NA,NA,97,2850-57589,2022-05-28,5,19,2850-57589,2022-06-20,4,NA,,NA,NA,NA,,NA,NA,15.31283815,0.525054732,667.7976667,30717.55333,21.03828348,0.492798435,600.0436667,42202.79667,20.55429379,0.481698876,611.004,41231.91333,27.90630608,0.467220258,622.747,55980.05,"TS curled, frayed; ; ",2022,148,171,NA,NA,114.3333333,79.16666667,79
2850-57584,Colorado Horse Rescue,F,2022-06-17,113,113,113,Y,Y,73.5,74,74,74,74.5,74,17.9,NA,NA,NA,NA,7,unknown,2022-06-04,5,9,UNB,2022-06-23,4,NA,,NA,NA,NA,,NA,NA,21.23281489,0.505151263,626.7313333,42593.02667,37.2640545,0.421697613,610.363,74751.69333,37.56075607,0.391313514,609.7216667,75346.87667,35.84068794,0.457763047,625.7763333,71896.42,very pale and small; ; ,2022,155,174,NA,NA,113,74.16666667,73.83333333
2850-57585,Colorado Horse Rescue,F,2022-06-17,121,121,121,Y,Y,76,76,76,76,76,76,15.5,NA,NA,NA,NA,4,2811-83208,2022-05-31,4,4.2,2811-83208,2022-07-19,4,NA,,NA,NA,NA,,NA,NA,15.49893652,0.532900141,628.063,31090.86667,38.8499435,0.434593729,588.369,77932.98667,25.59709704,0.444705538,599.3946667,51347.77667,38.00804752,0.431624901,610.0426667,76244.14333,"short, curled TS; ; ",2022,151,200,NA,NA,121,76,76
2850-57586,Colorado Horse Rescue,F,2022-06-20,116.5,116.5,116.5,Y,Y,78.5,79,79,79,79,78.5,19.4,20.15,2022-07-21,NA,NA,33,2850-57669,2022-05-31,5,33.2,2850-57669,2022-07-06,1,149,2850-57669,2022-07-24,5,NA,,NA,NA,17.96382021,0.500664057,660.109,36035.42333,26.27044201,0.422343167,626.7316667,52698.50667,21.9191675,0.402461873,653.417,43969.85,27.17472416,0.452700011,632.7803333,54512.49667,; ; ,2022,151,187,205,NA,116.5,78.83333333,78.83333333
2850-57587,Colorado Horse Rescue,M,2022-06-20,NA,NA,NA,N,Y,NA,NA,NA,111,111,111,19.2,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,10.28251246,0.510329457,679.4616667,20626.72,16.08896145,0.520874934,688.7656667,32274.45667,10.15140744,0.544031824,669.7853333,20363.72333,15.96963277,0.514558242,647.369,32035.08333,LTS + 9th primary broken; ; not assigned to any nest as of 8/3/22,2022,NA,NA,NA,NA,NA,111,NA
2850-57588,Colorado Horse Rescue,F,2022-06-20,120,120,119.5,Y,Y,77,77,76.5,79,78,78,18.1,NA,NA,NA,NA,86,2850-57653,2022-05-31,4,45,2850-57653,2022-07-03,5,NA,,NA,NA,NA,,NA,NA,12.52124294,0.529217393,669.7853333,25117.61333,26.61550183,0.468672327,627.7566667,53390.69667,22.60458126,0.444473503,616.0873333,45344.79,19.09416916,0.481473446,627.3723333,38302.90333,; ; ,2022,151,184,NA,NA,119.8333333,78.33333333,76.83333333
2850-57589,Colorado Horse Rescue,M,2022-06-20,119.5,120,120,Y,Y,96.5,96.5,96.5,97,97,97,17.5,NA,NA,NA,NA,97,2850-57583,2022-05-28,5,19,2850-57583,2022-06-20,4,NA,,NA,NA,NA,,NA,NA,12.65077601,0.531237153,675.7903333,25377.45667,16.92662014,0.501144529,627.3723333,33954.8,19.27879528,0.490091496,643.7406667,38673.26333,19.52571951,0.519492939,627.6863333,39168.59333,; ; ,2022,148,171,NA,NA,119.8333333,97,96.5
2850-57620,Colorado Horse Rescue,M,2022-06-17,121,121,121,Y,Y,84,84,84,87,87,87,18.2,NA,NA,NA,NA,39,2850-57649,2022-05-31,4,39.2,2850-57649,2022-07-19,4,NA,,NA,NA,NA,,NA,NA,8.903889997,0.510576941,627.6863333,17861.20333,21.60838485,0.492100236,611.004,43346.42,22.72290794,0.464821292,611.004,45582.15333,21.84048023,0.466018925,627.6863333,43812.00333,"tip of bill bent, dark breast color; ; ",2022,151,200,NA,NA,121,87,84
2850-57646,Colorado Horse Rescue,M,2022-06-17,118,118,118,Y,Y,92,92,92,93,93,92.5,16.25,NA,NA,NA,NA,54,UNB,2022-05-30,4,54.2,UNB,2022-07-05,4,NA,,NA,NA,NA,,NA,NA,13.03330675,0.528831228,643.4266667,26144.81333,26.90904786,0.469821451,644.3686667,53979.55,19.32819043,0.479649254,644.0546667,38772.35,18.83622466,0.47315671,660.423,37785.46667,; ; ,2022,150,186,NA,NA,118,92.83333333,92
2850-57647,Colorado Horse Rescue,M,2022-06-17,122,122,122.5,Y,Y,87.5,87.5,87,86,85.5,86,15.8,NA,NA,NA,NA,112,2850-57879,2022-06-05,5,112.2,2850-57879,2022-07-29,5,NA,,NA,NA,NA,,NA,NA,12.89783981,0.543297932,643.7406667,25873.06667,28.1838767,0.473800388,617.439,56536.85667,25.45478232,0.436115595,638.1653333,51062.29333,20.55910934,0.502370676,626.097,41241.57333,; ; ,2022,156,210,NA,NA,122.1666667,85.83333333,87.33333333
2850-57648,Colorado Horse Rescue,F,2022-06-17,120,119.5,120,Y,Y,76,76,76,77,77,77,17.74,NA,NA,NA,NA,133,2850-57570,2022-06-10,3,151,2850-57570,2022-06-30,4,NA,,NA,NA,NA,,NA,NA,11.60741442,0.494800711,627.6863333,23284.47333,18.61403456,0.491184052,627.6863333,37339.75333,20.95208873,0.466379984,610.6836667,42029.89,24.50020273,0.465461665,611.004,49147.40667,; ; ,2022,161,181,NA,NA,119.8333333,77,76
2850-57649,Colorado Horse Rescue,F,2022-06-17,116,116,116,N,Y,NA,NA,NA,73.5,73.5,73.5,17.01,NA,NA,NA,NA,39,2850-57620,2022-05-31,4,39.2,2850-57620,2022-07-19,4,NA,,NA,NA,NA,,NA,NA,14.39168328,0.51971022,680.086,28869.71667,23.55332004,0.457667002,627.3723333,47247.96,22.86421569,0.440671477,653.731,45865.61667,16.04356098,0.508434104,644.425,32183.38333,missing whole left half of tail; ; ,2022,151,200,NA,NA,116,73.5,NA
2850-57650,Colorado Horse Rescue,F,2022-06-17,116,116.5,116.5,Y,Y,74,74.5,74,74,74.5,74.5,16.49,NA,NA,NA,NA,25,2850-57881,2022-05-23,6,95,2850-57881,2022-07-19,4,NA,,NA,NA,NA,,NA,NA,17.68973745,0.527524421,637.359,35485.61333,37.8482436,0.422268626,611.004,75923.57667,25.65847624,0.39658214,610.6836667,51470.90333,24.74415088,0.447231158,610.6836667,49636.76667,; ; ,2022,143,200,NA,NA,116.3333333,74.33333333,74.16666667
2850-57651,Colorado Horse Rescue,F,2022-06-17,121,121,121,Y,N,76,76,75.5,NA,NA,NA,17.17,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,16.18503822,0.519100265,660.737,32467.18667,21.70552841,0.460032078,666.8016667,43541.29,20.43598372,0.446840986,643.1126667,40994.58333,26.99720837,0.480978815,637.0486667,54156.4,not assigned to any nest as of 8/3/22; ; not assigned to any nest on 8/3/22,2022,NA,NA,NA,NA,121,NA,75.83333333
2850-57652,Colorado Horse Rescue,F,2022-06-17,110.5,110.5,110.5,Y,Y,72,72,72,74,74,74,15.44,NA,NA,NA,NA,66,2850-57581,2022-05-22,3,16,2850-57581,2022-06-10,4,NA,,NA,NA,NA,,NA,NA,16.27360253,0.547521478,687.0273333,32644.84667,25.43874875,0.469492898,616.7976667,51030.13,25.62919242,0.427143999,665.8,51412.16,26.1985211,0.446364335,648.784,52554.23333,; ; ,2022,142,161,NA,NA,110.5,74,72
2850-57653,Colorado Horse Rescue,M,2022-06-17,119.5,119,119.5,Y,Y,76,76,77,78,78,78,16.37,NA,NA,NA,NA,86,2850-57588,2022-05-31,4,45,2850-57588,2022-07-03,5,NA,,NA,NA,NA,,NA,NA,8.467490861,0.535457505,660.1716667,16985.78667,27.15053506,0.465647634,659.167,54463.97333,21.8547225,0.470898637,665.8,43840.57333,15.40861914,0.497215455,659.167,30909.69,; ; ,2022,151,184,NA,NA,119.3333333,78,76.33333333
2850-57654,Colorado Horse Rescue,F,2022-06-17,117,116.5,116.5,Y,Y,81,81,81,80,80,79.5,16.58,NA,NA,NA,NA,80,2850-57580,2022-06-01,4,,,NA,NA,NA,,NA,NA,NA,,NA,NA,17.81852775,0.491470518,642.7856667,35743.96667,29.97126288,0.455286658,625.7763333,60122.35333,23.62500332,0.464684502,625.7763333,47391.75667,21.69604187,0.468765781,642.4716667,43522.26,; ; ,2022,152,NA,NA,NA,116.6666667,79.83333333,81
2850-57655,Colorado Horse Rescue,F,2022-06-17,118,117.5,117.5,N,Y,NA,NA,NA,76,76,76,15.59,NA,NA,NA,NA,82,2850-57745,2022-05-26,5,115,2850-57745,2022-06-30,3,NA,,NA,NA,NA,,NA,NA,11.33997175,0.546257008,669.7853333,22747.98333,15.49942173,0.490220386,643.7406667,31091.84,21.35829013,0.494332316,633.0553333,42844.73,23.00777168,0.502907703,611.004,46153.59,; ; ,2022,146,181,NA,NA,117.6666667,76,NA
2850-57656,Colorado Horse Rescue,F,2022-06-17,116,116,115.5,Y,Y,76,76,75.5,76,76,76,17.54,NA,NA,NA,NA,78,2850-57744,2022-06-08,5,78.2,UNB,2022-07-30,4,NA,,NA,NA,NA,,NA,NA,19.51600199,0.471636446,627.6863333,39149.1,27.59028249,0.438703207,611.004,55346.10667,21.03005151,0.436138594,610.6836667,42186.28333,27.85981057,0.44920838,611.004,55886.78,; ; original mate died or she decided to switch for 2nd brood,2022,159,211,NA,NA,115.8333333,76,75.83333333
2850-57657,Colorado Horse Rescue,M,2022-06-17,117,117,117.5,Y,Y,81,81,81,81,81.5,81.5,16.32,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,18.2992456,0.481478866,659.167,36708.28667,28.51057827,0.488325244,659.167,57192.22,21.68293287,0.481288685,659.167,43495.96333,17.9373679,0.488218746,659.167,35982.36,not assigned to any nest as of 8/3/22; ; not assigned to any nest as of 8/3/22,2022,NA,NA,NA,NA,117.1666667,81.33333333,81
2850-57658,Colorado Horse Rescue,F,2022-06-17,115.5,116,115.5,Y,Y,72,72,72,71.5,71,71.5,15.3,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,16.68229977,0.519858866,627.0583333,33464.69333,27.62050017,0.461133195,637.0486667,55406.72333,29.91909106,0.429060449,627.0583333,60017.69667,51.49893154,0.36817999,611.004,103306.8567,not assigned to any nest as of 8/3/22; ; not assigned to any nest as of 10/10/22,2022,NA,NA,NA,NA,115.6666667,71.33333333,72
2850-57669,Colorado Horse Rescue,M,2022-06-28,124,123.5,124,Y,Y,90,90,90,89.5,89.5,90,17.82,NA,NA,NA,NA,33,2850-57586,2022-05-31,5,33.2,2850-57586,2022-07-06,1,149,2850-57586,2022-07-24,5,NA,,NA,NA,14.07982054,0.504204618,611.004,28244.12,27.72719176,0.47617904,611.004,55620.74667,17.24374875,0.494612283,611.004,34590.96,18.57412762,0.508699718,611.004,37259.7,; ; ,2022,151,187,205,NA,123.8333333,89.66666667,90
2850-57670,Colorado Horse Rescue,F,2022-06-28,119,119,118.5,Y,N,80,80,80,NA,NA,NA,18.2,NA,NA,NA,NA,73,2850-57671,2022-06-04,5,,,NA,NA,NA,,NA,NA,NA,,NA,NA,19.57938518,0.470545396,598.0346667,39276.24667,27.12702227,0.458456098,634.4516667,54416.80667,24.27453971,0.4589917,618.3906667,48694.72667,21.16678132,0.479551687,604.4223333,42460.56333,; ; caught off nest #73,2022,155,NA,NA,NA,118.8333333,NA,80
2850-57671,Colorado Horse Rescue,M,2022-06-28,118,118,117.5,Y,N,83.5,83,83,75.5,76,76,17.53,NA,NA,NA,NA,73,2850-57670,2022-06-04,5,,,NA,NA,NA,,NA,NA,NA,,NA,NA,16.28350449,0.48181303,667.733,32664.71,28.84180791,0.479499655,593.4133333,57856.66667,23.68146062,0.459973843,641.034,47505.01,25.7482569,0.475226128,607.0326667,51651.00333,RTS regrowing; mud on bill; ; ,2022,155,NA,NA,NA,117.8333333,75.83333333,83.16666667
2850-57696,Colorado Horse Rescue,F,2022-07-11,114,114,114,Y,Y,73,73.5,73,70,69.5,70,17.85,17.32,2022-07-21,NA,NA,77,UNB,2022-05-13,5,77.2,UNB,2022-07-03,4,NA,,NA,NA,NA,,NA,NA,22.74684945,0.461438748,627.0583333,45630.18,28.90854935,0.40376654,611.004,57990.55,32.75738451,0.404861417,611.004,65711.31333,34.00616484,0.420886958,611.004,68216.36667,; ; caught off nest #77,2022,133,184,NA,NA,114,69.83333333,73.16666667
2850-57730,Colorado Horse Rescue,F,2022-07-11,117,117,117,Y,Y,79,79,79,78.5,78.5,78.5,19.1,17.47,2022-07-21,NA,NA,93,2640-97588,2022-05-14,5,93.2,2640-97588,2022-07-01,5,NA,,NA,NA,NA,,NA,NA,15.70236623,0.531579294,611.004,31498.94667,12.82672316,0.51832543,611.004,25730.40667,23.21604354,0.47011436,611.004,46571.38333,25.31275341,0.478724512,611.004,50777.38333,bands switched from mb L cb R of last year to mb R cb L this year; ; ,2022,134,182,NA,NA,117,78.5,79
2850-57731,Colorado Horse Rescue,M,2022-06-17,119,119,119,Y,Y,92,92,93,91,91,91,15.9,NA,NA,NA,NA,32,2640-97358,2022-05-13,5,109,2640-97358,2022-07-01,4,32.2,2640-97358,2022-08-11,3,NA,,NA,NA,10.9634214,0.500436597,689.138,21992.62333,23.24545364,0.49159359,611.004,46630.38,18.5751562,0.456752009,611.004,37261.76333,24.60593387,0.474122334,611.004,49359.50333,; ; ,2022,133,182,223,NA,119,91,92.33333333
2850-57733,Colorado Horse Rescue,M,2022-06-17,121.5,121.5,122,Y,N,102,102,102,NA,NA,NA,15.66,NA,NA,NA,NA,11,UNB,2022-06-25,4,101,2870-64908,2022-08-10,4,NA,,NA,NA,NA,,NA,NA,14.84394317,0.488091858,680.0823333,29776.95,20.45213858,0.480742509,611.004,41026.99,22.3788767,0.481773003,627.3723333,44892.02667,18.61630941,0.474711747,611.004,37344.31667,; ; ,2022,176,222,NA,NA,121.6666667,NA,102
2850-57735,Colorado Horse Rescue,F,2022-06-17,116,116,116,Y,Y,79,80,80,78.5,78.5,78.5,17.4,NA,NA,NA,NA,37,2850-57806,2022-05-18,5,119,2850-57806,2022-07-09,4,NA,,NA,NA,NA,,NA,NA,15.02817049,0.511186426,611.004,30146.51,30.99803589,0.422869341,611.004,62182.06,33.99968096,0.416986865,611.004,68203.36,30.60939349,0.449029891,611.004,61402.44333,"Recaptured 7/11/22, leg is crooked but not hecrotic, seems like she will survive; ; ",2022,138,190,NA,NA,116,78.5,79.66666667
2850-57736,Colorado Horse Rescue,F,2022-06-17,117,117,117.5,Y,Y,75,75,74.5,73,73,73,18.71,NA,NA,NA,NA,43,2850-57567,2022-05-29,5,,,NA,NA,NA,,NA,NA,NA,,NA,NA,18.82615819,0.485608418,674.418,37765.27333,20.40757062,0.477924978,611.3883333,40937.58667,19.58981555,0.466811049,627.366,39297.17,26.68112828,0.478086775,621.0033333,53522.34333,; ; ,2022,149,NA,NA,NA,117.1666667,73,74.83333333
2850-57737,Colorado Horse Rescue,F,2022-06-17,120,120,120,Y,Y,83,83,83,83,83,83,17.59,18.54,2022-07-21,NA,NA,76,UNB,2022-06-07,5,12,UNB,2022-07-03,4,NA,,NA,NA,NA,,NA,NA,12.84813227,0.530188079,659.1583333,25773.35333,22.34719674,0.511582733,617.4356667,44828.47667,19.98023928,0.478579748,642.4716667,40080.36,22.67249585,0.483526089,621.47,45481.02667,; ; ,2022,158,184,NA,NA,120,83,83
2850-57742,Colorado Horse Rescue,M,2022-06-17,118,118,118,Y,Y,92,92,92,93,93,93,16.98,18.49,2022-07-21,NA,NA,110,2850-57846,2022-05-21,4,52,2850-57846,2022-07-06,5,NA,,NA,NA,NA,,NA,NA,13.00562645,0.511030769,671.763,26089.28667,26.1463443,0.49002744,625.0783333,52449.56667,26.30566135,0.456120566,609.081,52769.15667,22.8044882,0.51172569,659.167,45745.80333,; ; ,2022,141,187,NA,NA,118,93,92
2850-57743,Colorado Horse Rescue,M,2022-06-17,117.5,117.5,117,Y,Y,86,86,86,84,84,84,16.44,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,10.59569791,0.535140524,675.6973333,21254.97,22.84660186,0.475908452,646.0376667,45830.28333,19.9272549,0.460795053,621.471,39974.07333,18.60491858,0.482220206,672.433,37321.46667,not assigned to any nest as of 8/3/22; ; not assigned to any nest as of 10/10/22,2022,NA,NA,NA,NA,117.3333333,84,86
2850-57744,Colorado Horse Rescue,M,2022-06-17,116,116,116,N,Y,NA,NA,NA,84.5,84.5,84.5,14.77,NA,NA,NA,NA,78,2850-57656,2022-06-08,5,,,NA,NA,NA,,NA,NA,NA,,NA,NA,24.63866733,0.441897015,611.004,49425.16667,20.45419575,0.491736389,610.6836667,41031.11667,20.25567464,0.470934773,627.6863333,40632.88333,16.45550847,0.489979153,643.7406667,33009.75,no LTS; ; female he was paired with had a new UNB mate for her second brood,2022,159,NA,NA,NA,116,84.5,NA
