"clutch_id_ind2","Band_dad","Band_mom","Site_dad","Site_mom","FamilyID_dad","FamilyID_mom","brood","site_type","fert","fert_type","clutch_size","site_size_dad","site_size_mom"
"CHR_4_1","2850-57806","2850-57585","CHR","CHR","CHR-037","CHR-004",1,"large",1,"ep_same",3,32,32
"CHR_4_2","2811-83208","2850-57585","CHR","CHR","CHR-004","CHR-004",2,"large",1,"wp",2,32,32
"CHR_4_2","2850-57581","2850-57585","CHR","CHR","CHR-066","CHR-004",2,"large",1,"ep_same",2,32,32
"CHR_52_2","2850-57742","2850-57846","CHR","CHR","CHR-110","CHR-110",2,"large",1,"wp",2,32,32
"CHR_52_2",NA,"2850-57846",NA,"CHR",NA,"CHR-110",2,"large",1,"dad_unk",2,NA,32
"CHR_58_1","2850-57808","2850-57571","CHR","CHR","CHR-029","CHR-058",1,"large",3,"ep_same",4,32,32
"CHR_58_1","2850-57880","2850-57571","CHR","CHR","CHR-139","CHR-058",1,"large",1,"ep_same",4,32,32
"CHR_66_1","2850-57733","2850-57652","CHR","CHR","CHR-011","CHR-066",1,"large",2,"ep_same",2,32,32
"CHR_6_2","2850-57581","2850-57746","CHR","CHR","CHR-066","CHR-074",2,"large",2,"ep_same",4,32,32
"CHR_6_2","2850-57582","2850-57746","CHR","CHR","CHR-074","CHR-074",2,"large",1,"wp",4,32,32
"CHR_6_2",NA,"2850-57746",NA,"CHR",NA,"CHR-074",2,"large",1,"dad_unk",4,NA,32
"CHR_73_1","2850-57577","2850-57670","CHR","CHR","CHR-128","CHR-073",1,"large",1,"ep_same",5,32,32
"CHR_73_1","2850-57671","2850-57670","CHR","CHR","CHR-073","CHR-073",1,"large",4,"wp",5,32,32
"CHR_74_1","2850-57582","2850-57746","CHR","CHR","CHR-074","CHR-074",1,"large",2,"wp",3,32,32
"CHR_74_1",NA,"2850-57746",NA,"CHR",NA,"CHR-074",1,"large",1,"dad_unk",3,NA,32
"CHR_78_1","2640-97589","2850-57656","CHR","CHR","CHR-102","CHR-078",1,"large",3,"ep_same",5,32,32
"CHR_78_1","2850-57744","2850-57656","CHR","CHR","CHR-078","CHR-078",1,"large",2,"wp",5,32,32
"CHR_80_1","2850-57580","2850-57654","CHR","CHR","CHR-080","CHR-080",1,"large",2,"wp",4,32,32
"CHR_80_1","2850-57589","2850-57654","CHR","CHR","CHR-097","CHR-080",1,"large",1,"ep_same",4,32,32
"CHR_80_1","2850-57733","2850-57654","CHR","CHR","CHR-011","CHR-080",1,"large",1,"ep_same",4,32,32
"CHR_93_1","2640-97588","2850-57730","CHR","CHR","CHR-093","CHR-093",1,"large",5,"wp",5,32,32
