"clutch_id_ind2","Band_dad","Band_mom","Site_dad","Site_mom","FamilyID_dad","FamilyID_mom","Brood_ind2","site_cat","fert","fert_type","year"
"McCauley_4_1","2850-57752","2850-57753","McCauley","McCauley","McCauley-04","McCauley-04","1","small",4,"wp",2022
"Speedwell_1_1","2850-57699","2850-57698","Speedwell","Speedwell","Speedwell-01","Speedwell-01","1","solitary",2,"wp",2022
"Speedwell_1_1","Speedwell-01_uns1","2850-57698",NA,"Speedwell",NA,"Speedwell-01","1","solitary",2,"ep_diff",2022
"Struther's_10_1","2850-57552","2850-57551","Struthers","Struthers","Struthers-10","Struthers-10","1","small",4,"wp",2022
"Struther's_10_1","Struthers-10_uns1","2850-57551",NA,"Struthers",NA,"Struthers-10","1","small",1,"ep_diff",2022
"Struther's_20_2","2850-57552","2850-57551","Struthers","Struthers","Struthers-10","Struthers-10","2","small",4,"wp",2022
"Struther's_20_2","Struthers-10_uns1","2850-57551",NA,"Struthers",NA,"Struthers-10","2","small",1,"ep_diff",2022
"Struther's_3_2","Struthers-03_uns1","2850-57645",NA,"Struthers",NA,"Struthers-03","2","small",4,"ep_diff",2022
"Urban Farm_2_1","2850-57643","2850-57608","Dome House","Urban Farm Girlz","DomeHouse-01","UrbanFarm-02","1","small",1,"ep_diff",2022
"Urban Farm_2_1","2850-57899","2850-57608","Urban Farm Girlz","Urban Farm Girlz","UrbanFarm-02","UrbanFarm-02","1","small",2,"wp",2022
"Urban Farm_8_1","2850-57868","2850-57629","Urban Farm Girlz","Urban Farm Girlz","UrbanFarm-08","UrbanFarm-08","1","small",3,"wp",2022
