band,site,sex,date_captured,rwl1,rwl2,rwl3,intact_lts,intact_rts,lts1,lts2,lts3,rts1,rts2,rts3,mass_1,mass_2,mass_2_date,mass_3,mass_3_date,nest_1,mate_band_1,ci_1,eggs_1,nest_2,mate_band_2,ci_2,eggs_2,nest_3,mate_band_3,ci_3,eggs_3,nest_4,mate_band_4,ci_4,eggs_4,throat_avg_bright,throat_chroma,throat_hue,throat_total_bright,breast_avg_bright,breast_chroma,breast_hue,breast_total_bright,belly_avg_bright,belly_chroma,belly_hue,belly_total_bright,vent_avg_bright,vent_chroma,vent_hue,vent_total_bright,year,julian_ci_1,julian_ci_2,julian_ci_3,julian_ci_4,mean_rwl,mean_rts,mean_lts,TS,TS_scaled,throat_avg_bright_scaled,breast_avg_bright_scaled,belly_avg_bright_scaled,vent_avg_bright_scaled
2850-57588,Colorado Horse Rescue,F,2022-06-20,120,120,119.5,Y,Y,77,77,76.5,79,78,78,18.1,NA,NA,NA,NA,86,2850-57653,2022-05-31,4,45,2850-57653,2022-07-03,5,NA,,NA,NA,NA,,NA,NA,12.52124294,0.529217393,669.7853333,25117.61333,26.61550183,0.468672327,627.7566667,53390.69667,22.60458126,0.444473503,616.0873333,45344.79,19.09416916,0.481473446,627.3723333,38302.90333,2022,151,184,NA,NA,119.8333333,78.33333333,76.83333333,78.33333333,0.182274551,-1.128417011,0.110874711,-0.546191152,-1.127136054
2850-57648,Colorado Horse Rescue,F,2022-06-17,120,119.5,120,Y,Y,76,76,76,77,77,77,17.74,NA,NA,NA,NA,133,2850-57570,2022-06-10,3,151,2850-57570,2022-06-30,4,NA,,NA,NA,NA,,NA,NA,11.60741442,0.494800711,627.6863333,23284.47333,18.61403456,0.491184052,627.6863333,37339.75333,20.95208873,0.466379984,610.6836667,42029.89,24.50020273,0.465461665,611.004,49147.40667,2022,161,181,NA,NA,119.8333333,77,76,77,-0.157054174,-1.42571858,-1.086654913,-0.896275955,-0.339641301
2850-57649,Colorado Horse Rescue,F,2022-06-17,116,116,116,N,Y,NA,NA,NA,73.5,73.5,73.5,17.01,NA,NA,NA,NA,39,2850-57620,2022-05-31,4,39.2,2850-57620,2022-07-19,4,NA,,NA,NA,NA,,NA,NA,14.39168328,0.51971022,680.086,28869.71667,23.55332004,0.457667002,627.3723333,47247.96,22.86421569,0.440671477,653.731,45865.61667,16.04356098,0.508434104,644.425,32183.38333,2022,151,200,NA,NA,116,73.5,NA,73.5,-1.047792078,-0.519894914,-0.347422909,-0.491186928,-1.571516931
2850-57650,Colorado Horse Rescue,F,2022-06-17,116,116.5,116.5,Y,Y,74,74.5,74,74,74.5,74.5,16.49,NA,NA,NA,NA,25,2850-57881,2022-05-23,6,95,2850-57881,2022-07-19,4,NA,,NA,NA,NA,,NA,NA,17.68973745,0.527524421,637.359,35485.61333,37.8482436,0.422268626,611.004,75923.57667,25.65847624,0.39658214,610.6836667,51470.90333,24.74415088,0.447231158,610.6836667,49636.76667,2022,143,200,NA,NA,116.3333333,74.33333333,74.16666667,74.33333333,-0.835711625,0.553081752,1.792009007,0.100784374,-0.304105471
2850-57651,Colorado Horse Rescue,F,2022-06-17,121,121,121,Y,N,76,76,75.5,NA,NA,NA,17.17,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,16.18503822,0.519100265,660.737,32467.18667,21.70552841,0.460032078,666.8016667,43541.29,20.43598372,0.446840986,643.1126667,40994.58333,26.99720837,0.480978815,637.0486667,54156.4,2022,NA,NA,NA,NA,121,NA,75.83333333,75.83333333,-0.453966809,0.063548506,-0.62397034,-1.005614132,0.024096514
2850-57652,Colorado Horse Rescue,F,2022-06-17,110.5,110.5,110.5,Y,Y,72,72,72,74,74,74,15.44,NA,NA,NA,NA,66,2850-57581,2022-05-22,3,16,2850-57581,2022-06-10,4,NA,,NA,NA,NA,,NA,NA,16.27360253,0.547521478,687.0273333,32644.84667,25.43874875,0.469492898,616.7976667,51030.13,25.62919242,0.427143999,665.8,51412.16,26.1985211,0.446364335,648.784,52554.23333,2022,142,161,NA,NA,110.5,74,72,74,-0.920543806,0.092361689,-0.065242571,0.094580522,-0.092247942
2850-57654,Colorado Horse Rescue,F,2022-06-17,117,116.5,116.5,Y,Y,81,81,81,80,80,79.5,16.58,NA,NA,NA,NA,80,2850-57580,2022-06-01,4,,,NA,NA,NA,,NA,NA,NA,,NA,NA,17.81852775,0.491470518,642.7856667,35743.96667,29.97126288,0.455286658,625.7763333,60122.35333,23.62500332,0.464684502,625.7763333,47391.75667,21.69604187,0.468765781,642.4716667,43522.26,2022,152,NA,NA,NA,116.6666667,79.83333333,81,79.83333333,0.564019367,0.594981909,0.613110506,-0.330012107,-0.748122295
2850-57655,Colorado Horse Rescue,F,2022-06-17,118,117.5,117.5,N,Y,NA,NA,NA,76,76,76,15.59,NA,NA,NA,NA,82,2850-57745,2022-05-26,5,115,2850-57745,2022-06-30,3,NA,,NA,NA,NA,,NA,NA,11.33997175,0.546257008,669.7853333,22747.98333,15.49942173,0.490220386,643.7406667,31091.84,21.35829013,0.494332316,633.0553333,42844.73,23.00777168,0.502907703,611.004,46153.59,2022,146,181,NA,NA,117.6666667,76,NA,76,-0.411550718,-1.512727383,-1.55279956,-0.810221141,-0.557043137
2850-57656,Colorado Horse Rescue,F,2022-06-17,116,116,115.5,Y,Y,76,76,75.5,76,76,76,17.54,NA,NA,NA,NA,78,2850-57744,2022-06-08,5,78.2,UNB,2022-07-30,4,NA,,NA,NA,NA,,NA,NA,19.51600199,0.471636446,627.6863333,39149.1,27.59028249,0.438703207,611.004,55346.10667,21.03005151,0.436138594,610.6836667,42186.28333,27.85981057,0.44920838,611.004,55886.78,2022,159,211,NA,NA,115.8333333,76,75.83333333,76,-0.411550718,1.147231859,0.256764044,-0.879759339,0.149751433
2850-57658,Colorado Horse Rescue,F,2022-06-17,115.5,116,115.5,Y,Y,72,72,72,71.5,71,71.5,15.3,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,16.68229977,0.519858866,627.0583333,33464.69333,27.62050017,0.461133195,637.0486667,55406.72333,29.91909106,0.429060449,627.0583333,60017.69667,51.49893154,0.36817999,611.004,103306.8567,2022,NA,NA,NA,NA,115.6666667,71.33333333,72,71.33333333,-1.599201258,0.225325727,0.261286535,1.00340661,3.593252753
2850-57670,Colorado Horse Rescue,F,2022-06-28,119,119,118.5,Y,N,80,80,80,NA,NA,NA,18.2,NA,NA,NA,NA,73,2850-57671,2022-06-04,5,,,NA,NA,NA,,NA,NA,NA,,NA,NA,19.57938518,0.470545396,598.0346667,39276.24667,27.12702227,0.458456098,634.4516667,54416.80667,24.27453971,0.4589917,618.3906667,48694.72667,21.16678132,0.479551687,604.4223333,42460.56333,2022,155,NA,NA,NA,118.8333333,NA,80,80,0.606435459,1.16785271,0.187430781,-0.192406148,-0.825219468
2850-57696,Colorado Horse Rescue,F,2022-07-11,114,114,114,Y,Y,73,73.5,73,70,69.5,70,17.85,17.32,2022-07-21,NA,NA,77,UNB,2022-05-13,5,77.2,UNB,2022-07-03,4,NA,,NA,NA,NA,,NA,NA,22.74684945,0.461438748,627.0583333,45630.18,28.90854935,0.40376654,611.004,57990.55,32.75738451,0.404861417,611.004,65711.31333,34.00616484,0.420886958,611.004,68216.36667,2022,133,184,NA,NA,114,69.83333333,73.16666667,69.83333333,-1.980946074,2.198343744,0.45406081,1.604706396,1.045088407
2850-57730,Colorado Horse Rescue,F,2022-07-11,117,117,117,Y,Y,79,79,79,78.5,78.5,78.5,19.1,17.47,2022-07-21,NA,NA,93,2640-97588,2022-05-14,5,93.2,2640-97588,2022-07-01,5,NA,,NA,NA,NA,,NA,NA,15.70236623,0.531579294,611.004,31498.94667,12.82672316,0.51832543,611.004,25730.40667,23.21604354,0.47011436,611.004,46571.38333,25.31275341,0.478724512,611.004,50777.38333,2022,134,182,NA,NA,117,78.5,79,78.5,0.224690643,-0.093482203,-1.95280566,-0.416651291,-0.221277368
2850-57735,Colorado Horse Rescue,F,2022-06-17,116,116,116,Y,Y,79,80,80,78.5,78.5,78.5,17.4,NA,NA,NA,NA,37,2850-57806,2022-05-18,5,119,2850-57806,2022-07-09,4,NA,,NA,NA,NA,,NA,NA,15.02817049,0.511186426,611.004,30146.51,30.99803589,0.422869341,611.004,62182.06,33.99968096,0.416986865,611.004,68203.36,30.60939349,0.449029891,611.004,61402.44333,2022,138,190,NA,NA,116,78.5,79.66666667,78.5,0.224690643,-0.312822535,0.766781209,1.867890102,0.55028208
2850-57736,Colorado Horse Rescue,F,2022-06-17,117,117,117.5,Y,Y,75,75,74.5,73,73,73,18.71,NA,NA,NA,NA,43,2850-57567,2022-05-29,5,,,NA,NA,NA,,NA,NA,NA,,NA,NA,18.82615819,0.485608418,674.418,37765.27333,20.40757062,0.477924978,611.3883333,40937.58667,19.58981555,0.466811049,627.366,39297.17,26.68112828,0.478086775,621.0033333,53522.34333,2022,149,NA,NA,NA,117.1666667,73,74.83333333,73,-1.17504035,0.922800645,-0.818227575,-1.184877041,-0.021946746
2850-57737,Colorado Horse Rescue,F,2022-06-17,120,120,120,Y,Y,83,83,83,83,83,83,17.59,18.54,2022-07-21,NA,NA,76,UNB,2022-06-07,5,12,UNB,2022-07-03,4,NA,,NA,NA,NA,,NA,NA,12.84813227,0.530188079,659.1583333,25773.35333,22.34719674,0.511582733,617.4356667,44828.47667,19.98023928,0.478579748,642.4716667,40080.36,22.67249585,0.483526089,621.47,45481.02667,2022,158,184,NA,NA,120,83,83,83,1.369925091,-1.022068054,-0.527935849,-1.102164767,-0.605882633
2850-57746,Colorado Horse Rescue,F,2022-06-17,116,116,115.5,N,Y,NA,NA,NA,78,78,78,16.91,NA,NA,NA,NA,74,2850-57582,2022-05-30,4,6,2850-57582,2022-07-21,5,NA,,NA,NA,NA,,NA,NA,16.74286308,0.495003601,658.0916667,33586.18333,19.18283317,0.480290485,642.151,38480.76333,22.0371552,0.479027413,665.8,44206.53333,18.33031073,0.470432651,665.8,36770.60333,2022,150,202,NA,NA,115.8333333,78,NA,78,0.097442371,0.245029169,-1.001526379,-0.666401826,-1.238407007
2850-57846,Colorado Horse Rescue,F,2022-06-17,118,118.5,118,Y,Y,80,80,80,79.5,80,80,17.29,NA,NA,NA,NA,110,2850-57742,2022-05-21,4,52,2850-57742,2022-07-06,5,NA,,NA,NA,NA,,NA,NA,13.03171486,0.551398233,659.167,26141.62,21.79884679,0.448054925,642.4716667,43728.48667,24.82876869,0.459428468,642.151,49806.51,29.76354271,0.472972655,659.167,59705.66667,2022,141,187,NA,NA,118.1666667,79.83333333,80,79.83333333,0.564019367,-0.962341977,-0.610003961,-0.07499131,0.427067334
2850-57879,Colorado Horse Rescue,F,2022-06-17,125,124.5,125,Y,N,86.5,86.5,87,NA,NA,NA,19.28,NA,NA,NA,NA,112,2850-57647,2022-06-05,5,112.2,2850-57647,2022-07-29,5,NA,,NA,NA,NA,,NA,NA,14.99234629,0.534344994,627.3723333,30074.64667,31.94793453,0.424935289,643.0996667,64087.55667,31.93524427,0.409605816,627.052,64062.1,34.53678132,0.43009849,610.6836667,69280.78333,2022,156,210,NA,NA,124.8333333,NA,86.66666667,86.66666667,2.303079087,-0.324477447,0.908946605,1.430533866,1.122383098
2850-57882,Colorado Horse Rescue,F,2022-06-17,119,119,119,Y,Y,84,84,84.5,86.5,86.5,87,18.54,NA,NA,NA,NA,85,2811-82969,2022-05-30,NA,,,NA,NA,NA,,NA,NA,NA,,NA,NA,17.07547856,0.488105377,631.6946667,34253.41,17.87328847,0.508522162,611.004,35853.81667,21.0287122,0.489084543,610.6836667,42183.59667,20.56727152,0.49776258,611.004,41257.94667,2022,150,NA,NA,NA,119,86.66666667,84.16666667,86.66666667,2.303079087,0.353241051,-1.197517754,-0.880043075,-0.912549821
2850-57883,Colorado Horse Rescue,F,2022-06-17,118,118,118,N,Y,NA,NA,NA,78,78,77.5,16.69,NA,NA,NA,NA,99,2850-57578,2022-06-06,5,99.2,2850-57578,2022-07-26,4,NA,,NA,NA,NA,,NA,NA,20.88361083,0.477014322,659.167,41892.52333,25.27007145,0.443795535,598.4333333,50691.76333,28.1415786,0.420426057,606.3786667,56452.00667,31.36723164,0.437279716,632.7336667,62922.66667,2022,157,207,NA,NA,118,77.83333333,NA,77.83333333,0.055026279,1.592164627,-0.090487449,0.626836012,0.660676061
2850-57884,Colorado Horse Rescue,F,2022-06-17,122,122,122,Y,N,78,78,78.5,NA,NA,NA,19.01,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,22.82153373,0.465819561,627.3723333,45779.99667,33.81840146,0.407879042,635.715,67839.71333,25.5678099,0.415762874,626.0903333,51289.02667,32.8096228,0.436573531,621.47,65816.10333,2022,NA,NA,NA,NA,122,NA,78.16666667,78.16666667,0.139858462,2.222641249,1.188887706,0.081576476,0.870788605
2870-64908,Colorado Horse Rescue,F,2022-08-07,123,123.5,123,Y,Y,81.5,82,82,80,80,80,18.58,NA,NA,NA,NA,11,2850-57733,2022-06-25,4,101,2850-57733,2022-08-10,4,NA,,NA,NA,NA,,NA,NA,12.54084247,0.56145742,675.4463333,25156.93,22.86535394,0.47117742,633.8136667,45867.9,24.19610003,0.477382231,641.3963333,48537.37667,23.69351944,0.475188692,649.4783333,47529.2,2022,176,222,NA,NA,123.1666667,80,81.83333333,80,0.606435459,-1.122040573,-0.450386498,-0.209023797,-0.457150534
2870-64909,Colorado Horse Rescue,F,2022-08-07,117.5,117.5,118,Y,Y,73.5,73,73,72,72,72,17.46,NA,NA,NA,NA,148,2850-57582,2022-07-30,5,,,NA,NA,NA,,NA,NA,NA,,NA,NA,13.53066633,0.536423157,673.7936667,27142.51667,38.09591392,0.402625511,609.081,76420.40333,27.94449319,0.41560494,614.7323333,56056.65333,30.02785311,0.437260381,597.723,60235.87333,2022,211,NA,NA,NA,117.6666667,72,73.16666667,72,-1.429536894,-0.800014964,1.829076276,0.58508296,0.465569325
2870-64910,Colorado Horse Rescue,F,2022-08-07,118,118,118,Y,Y,81,81,81,82,82,82.5,14.74,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,15.97631938,0.492516709,659.795,32048.49667,24.92539216,0.407912532,642.7856667,50000.33667,27.31371552,0.384323022,659.481,54791.31333,29.38580758,0.417812128,609.081,58947.93,2022,NA,NA,NA,NA,118,82.16666667,81,82.16666667,1.157844639,-0.004355305,-0.142073446,0.451451084,0.372042808
2870-65003,Colorado Horse Rescue,F,2022-07-11,114,114,114,Y,Y,75,75,75,75,75,75,16.1,NA,NA,NA,NA,128,2850-57577,2022-06-10,4,150,2850-57577,2022-07-29,5,NA,,NA,NA,NA,,NA,NA,16.80360253,0.508698732,639.3743333,33708.02667,22.7877451,0.460682544,610.6836667,45712.21667,28.35118976,0.447607161,611.3883333,56872.48667,25.32722832,0.473120529,611.068,50806.42,2022,161,210,NA,NA,114,75,75,75,-0.666047262,0.264789916,-0.462001728,0.671242677,-0.219168813
2870-65004,Colorado Horse Rescue,F,2022-07-11,117,117.5,117,Y,Y,80,80.5,80.5,82,82.5,82.5,18.3,NA,NA,NA,NA,145,UNB,2022-06-27,3,,,NA,NA,NA,,NA,NA,NA,,NA,NA,15.34924061,0.485158378,643.4266667,30790.57667,34.92050515,0.408986638,608.4396667,70050.53333,30.44009139,0.408319557,625.7763333,61062.82333,30.66229644,0.404929236,605.0953333,61508.56667,2022,178,NA,NA,NA,117.1666667,82.33333333,80.33333333,82.33333333,1.200260728,-0.208366777,1.353832681,1.113781873,0.557988431
2640-97588,Colorado Horse Rescue,M,2022-07-11,119,119,119,Y,Y,85,85,85,87,87,87,18.7,18.94,2022-07-21,NA,NA,93,2850-57730,2022-05-14,5,93.2,2850-57730,2022-07-01,5,NA,,NA,NA,NA,,NA,NA,11.85018943,0.544837496,653.7273333,23771.48,14.45612662,0.507893605,610.6836667,28998.99,21.21705716,0.471668493,610.6836667,42561.41667,27.50362745,0.462396686,637.0386667,55172.27667,2022,134,182,NA,NA,119,87,85,87,-0.319841926,-0.476208335,-1.697663514,-0.205448703,1.265924442
2640-97589,Colorado Horse Rescue,M,2022-06-17,119,119,119,Y,Y,98,98,98,99.5,99.5,100,16.1,NA,NA,NA,NA,102,2811-38984,2022-05-16,5,102.2,2811-38984,2022-07-04,5,NA,,NA,NA,NA,,NA,NA,11.8153556,0.523609389,681.183,23701.60333,16.91354271,0.528785659,657.7393333,33928.56667,18.6526321,0.480672665,627.3723333,37417.18,20.65218677,0.48363622,650.113,41428.28667,2022,136,185,NA,NA,119,99.66666667,98,99.66666667,1.193495747,-0.485157035,-1.195303415,-0.873224079,-0.088794034
2811-82969,Colorado Horse Rescue,M,2022-06-17,122,122,122,Y,N,71.5,71.5,71.5,NA,NA,NA,17.85,NA,NA,NA,NA,85,2850-57882,2022-05-30,NA,,,NA,NA,NA,,NA,NA,NA,,NA,NA,17.64881024,0.498102494,611.004,35403.51333,26.15807079,0.471993495,611.004,52473.09,22.53324859,0.491848923,611.004,45201.69667,23.19092223,0.473580392,611.004,46520.99,2022,150,NA,NA,NA,122,NA,71.5,71.5,-2.171689341,1.013438965,0.694519825,0.137287079,0.41318387
2811-83208,Colorado Horse Rescue,M,2022-06-20,118,118,118,Y,Y,89.5,89.5,89.5,87,87,87,16.9,NA,NA,NA,NA,4,2850-57585,2022-05-31,4,4.2,2850-57585,2022-07-19,4,NA,,NA,NA,NA,,NA,NA,18.73416916,0.484585352,611.004,37580.74333,21.00459455,0.486882121,610.6836667,42135.21667,26.39878531,0.450512144,610.6836667,52955.96333,23.23742606,0.475660646,611.004,46614.27667,2022,151,200,NA,NA,118,87,89.5,87,-0.319841926,1.29226423,-0.358985457,1.14387147,0.422378958
2850-57567,Colorado Horse Rescue,M,2022-06-17,121.5,121.5,121.5,Y,Y,102.5,102.5,102.5,102,102.5,102,16.6,NA,NA,NA,NA,43,2850-57736,2022-05-29,5,,,NA,NA,NA,,NA,NA,NA,,NA,NA,10.56012296,0.52180729,667.1156667,21183.60667,26.35612994,0.49271154,611.3883333,52870.39667,22.28285809,0.48721335,606.0566667,44699.41333,16.73888169,0.511359264,628.0706667,33578.19667,2022,149,NA,NA,NA,121.5,102.1666667,102.5,102.1666667,1.492180818,-0.80762232,0.735008294,0.072085481,-0.862562201
2850-57570,Colorado Horse Rescue,M,2022-06-17,121.5,121.5,121.5,N,Y,NA,NA,NA,90,90,90,16.51,NA,NA,NA,NA,133,2850-57648,2022-06-10,3,151,2850-57648,2022-06-30,4,NA,,NA,NA,NA,,NA,NA,16.84077767,0.501161039,611.004,33782.6,23.06811898,0.49586693,611.004,46274.64667,25.67366733,0.443766873,611.004,51501.37667,19.07592556,0.494641169,627.6863333,38266.30667,2022,161,181,NA,NA,121.5,90,NA,90,0.038580155,0.80585796,0.062852888,0.955051005,-0.400464278
2850-57577,Colorado Horse Rescue,M,2022-06-17,119,119,119,Y,Y,91,91.5,91,90.5,91,91,18.2,NA,NA,NA,NA,128,2870-65003,2022-06-10,4,150,2870-65003,2022-07-29,5,NA,,NA,NA,NA,,NA,NA,20.92472416,0.512057073,676.164,41974.99667,28.83623131,0.475799583,625.399,57845.48,28.80829345,0.443602398,627.1216667,57789.43667,29.54534563,0.455136562,636.0576667,59267.96333,2022,161,210,NA,NA,119,90.83333333,91.16666667,90.83333333,0.138141843,1.855010863,1.242005857,1.771306535,1.669628344
2850-57578,Colorado Horse Rescue,M,2022-06-17,119,119,119,Y,Y,91.5,91.5,91.5,91.5,91.5,91.5,17.2,NA,NA,NA,NA,99,2850-57883,2022-06-06,5,99.2,2850-57883,2022-07-26,4,NA,,NA,NA,NA,,NA,NA,10.81633932,0.556799001,678.4426667,21697.57667,15.67680791,0.517385329,657.4626667,31447.67667,20.72179628,0.496782872,642.7923333,41567.92333,11.67128448,0.547842632,659.167,23412.59667,2022,157,207,NA,NA,119,91.5,91.5,91.5,0.217791195,-0.74180115,-1.448124343,-0.33441446,-1.864565705
2850-57579,Colorado Horse Rescue,M,2022-06-17,118.5,118.5,118.5,Y,Y,92,92,92,93.5,93.5,93.5,16.3,NA,NA,NA,NA,58,2850-57571,2022-05-24,4,,,NA,NA,NA,,NA,NA,NA,,NA,NA,11.31949153,0.533256519,660.737,22706.9,24.77905949,0.48852106,617.005,49706.79333,18.07848455,0.49353373,627.3723333,36265.44,24.4043104,0.499147361,611.004,48955.04667,2022,144,NA,NA,NA,118.5,93.5,92,93.5,0.456739248,-0.612542943,0.412613861,-1.022731897,0.653104122
2850-57580,Colorado Horse Rescue,M,2022-06-17,117.5,117.5,117.5,N,Y,NA,NA,NA,87.5,88,88,16.2,NA,NA,NA,NA,80,2850-57654,2022-06-01,4,,,NA,NA,NA,,NA,NA,NA,,NA,NA,9.142844799,0.560214832,667.427,18340.54667,27.48113161,0.465556814,625.399,55127.15,22.9424111,0.468469624,647.108,46022.47667,30.74621137,0.465611781,608.7603333,61676.9,2022,152,NA,NA,NA,117.5,87.83333333,NA,87.83333333,-0.220280237,-1.171716586,0.964988049,0.243832851,1.907072567
