"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest.._ind1","Brood.._ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest.._ind2","Brood.._ind2","clutch_id_ind2"
"CO_57659","CO_83065",0.98,0.012,0.008,0.014,52263,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83065","CHR","kid","CHR-032",32,1,"CHR_32_1"
"CO_57659","CO_83063",0.973,0.018,0.009,0.018,55002,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83063","CHR","kid","CHR-032",32,1,"CHR_32_1"
"CO_57659","CO_83062",0.978,0.021,0.001,0.012,60923,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83062","CHR","kid","CHR-032",32,1,"CHR_32_1"
"CO_57659","CO_83095",0.981,0.012,0.007,0.013,55614,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83095","CHR","kid","CHR-037",37,1,"CHR_37_1"
"CO_57659","CO_83064",0.987,0.013,0,0.007,55237,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83064","CHR","kid","CHR-032",32,1,"CHR_32_1"
"CO_57659","CO_83096",0.992,0.007,0,0.004,56692,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83096","CHR","kid","CHR-037",37,1,"CHR_37_1"
"CO_57659","CO_83147",0.982,0.016,0.002,0.01,58135,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83147","CHR","kid","CHR-032",32,3,"CHR_32_3"
"CO_57659","CO_83146",0.98,0.019,0.001,0.011,60221,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83146","CHR","kid","CHR-032",32,3,"CHR_32_3"
"CO_57659","CO_83097",0.99,0.01,0,0.005,54974,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83097","CHR","kid","CHR-037",37,1,"CHR_37_1"
"CO_57659","CO_33631",0.984,0.015,0.001,0.009,60651,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33631","CHR","kid","CHR-037",119,2,"CHR_119_2"
"CO_57659","CO_83341",0.975,0.006,0.02,0.023,54866,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83341","CHR","kid","CHR-039",39,2,"CHR_39_2"
