"SeqID","Band","Site","Type","FamilyID","Nest","Brood","clutchID"
"CO_83344","2811-83344","CHR","kid","CHR-039",39,2,"CHR_39_2"
"CO_83262","2811-83262","CHR","kid","CHR-043",43,1,"CHR_43_1"
"CO_83263","2811-83263","CHR","kid","CHR-043",43,1,"CHR_43_1"
"CO_83264","2811-83264","CHR","kid","CHR-043",43,1,"CHR_43_1"
"CO_83265","2811-83265","CHR","kid","CHR-043",43,1,"CHR_43_1"
"CO_T011","T011","CHR","kid","CHR-043",43,1,"CHR_43_1"
"CO_34082","2881-34082","CHR","kid","CHR-045",45,2,"CHR_45_2"
"CO_34083","2881-34083","CHR","kid","CHR-045",45,2,"CHR_45_2"
"CO_34084","2881-34084","CHR","kid","CHR-045",45,2,"CHR_45_2"
"CO_T008","T008","CHR","kid","CHR-045",45,2,"CHR_45_2"
"CO_34022","2881-34022","CHR","kid","CHR-058",58,1,"CHR_58_1"
"CO_34023","2881-34023","CHR","kid","CHR-058",58,1,"CHR_58_1"
"CO_34024","2881-34024","CHR","kid","CHR-058",58,1,"CHR_58_1"
"CO_T010","T010","CHR","kid","CHR-058",58,1,"CHR_58_1"
"CO_83323","2811-83323","CHR","kid","CHR-066",16,2,"CHR_16_2"
"CO_83324","2811-83324","CHR","kid","CHR-066",16,2,"CHR_16_2"
"CO_83325","2811-83325","CHR","kid","CHR-066",16,2,"CHR_16_2"
"CO_83326","2811-83326","CHR","kid","CHR-066",16,2,"CHR_16_2"
"CO_34014","2881-34014","CHR","kid","CHR-066",66,1,"CHR_66_1"
"CO_34015","2881-34015","CHR","kid","CHR-066",66,1,"CHR_66_1"
"CO_34029","2881-34029","CHR","kid","CHR-073",73,1,"CHR_73_1"
"CO_34030","2881-34030","CHR","kid","CHR-073",73,1,"CHR_73_1"
"CO_34031","2881-34031","CHR","kid","CHR-073",73,1,"CHR_73_1"
"CO_34032","2881-34032","CHR","kid","CHR-073",73,1,"CHR_73_1"
"CO_T002","T002","CHR","kid","CHR-073",73,1,"CHR_73_1"
"CO_83274","2811-83274","CHR","kid","CHR-074",74,1,"CHR_74_1"
"CO_83275","2811-83275","CHR","kid","CHR-074",74,1,"CHR_74_1"
"CO_83276","2811-83276","CHR","kid","CHR-074",74,1,"CHR_74_1"
"CO_33677","2881-33677","CHR","kid","CHR-074",6,2,"CHR_6_2"
"CO_33678","2881-33678","CHR","kid","CHR-074",6,2,"CHR_6_2"
"CO_33679","2881-33679","CHR","kid","CHR-074",6,2,"CHR_6_2"
"CO_33680","2881-33680","CHR","kid","CHR-074",6,2,"CHR_6_2"
"CO_83427","2811-83427","CHR","kid","CHR-078",78,1,"CHR_78_1"
"CO_83428","2811-83428","CHR","kid","CHR-078",78,1,"CHR_78_1"
"CO_83429","2811-83429","CHR","kid","CHR-078",78,1,"CHR_78_1"
