"","Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest.._ind1","Brood.._ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest.._ind2","Brood.._ind2","clutch_id_ind2"
"5227","CO_83208","CO_33648",0.589,0.325,0.086,0.249,60643,"2811-83208","CHR","dad","CHR-004",NA,NA,NA,"2881-33648","Dome House","kid","DomeHouse-01",2,2,"Dome House_2_2"
"5237","CO_83208","CO_83254",0.69,0.216,0.094,0.202,57421,"2811-83208","CHR","dad","CHR-004",NA,NA,NA,"2811-83254","Make Believe","kid","MakeBelieve-14",14,1,"Make Believe_14_1"
"5238","CO_83208","CO_83281",0.523,0.386,0.091,0.284,63997,"2811-83208","CHR","dad","CHR-004",NA,NA,NA,"2811-83281","Dome House","kid","DomeHouse-01",1,1,"Dome House_1_1"
"5241","CO_83208","CO_33650",0.704,0.195,0.101,0.199,61901,"2811-83208","CHR","dad","CHR-004",NA,NA,NA,"2881-33650","Dome House","kid","DomeHouse-01",2,2,"Dome House_2_2"
"5245","CO_83208","CO_83285",0.566,0.387,0.048,0.241,65381,"2811-83208","CHR","dad","CHR-004",NA,NA,NA,"2811-83285","Make Believe","kid","MakeBelieve-26",26,1,"Make Believe_26_1"
"5250","CO_83208","CO_33646",0.619,0.314,0.067,0.224,63900,"2811-83208","CHR","dad","CHR-004",NA,NA,NA,"2881-33646","Make Believe","kid","MakeBelieve-14",69,2,"Make Believe_69_2"
"5253","CO_83208","CO_83292",0.631,0.283,0.086,0.228,57544,"2811-83208","CHR","dad","CHR-004",NA,NA,NA,"2811-83292","Make Believe","kid","MakeBelieve-38",34,1,"Make Believe_34_1"
"5255","CO_83208","CO_83256",0.734,0.209,0.057,0.162,58649,"2811-83208","CHR","dad","CHR-004",NA,NA,NA,"2811-83256","Make Believe","kid","MakeBelieve-14",14,1,"Make Believe_14_1"
"5260","CO_83208","CO_83282",0.575,0.324,0.101,0.263,53559,"2811-83208","CHR","dad","CHR-004",NA,NA,NA,"2811-83282","Dome House","kid","DomeHouse-01",1,1,"Dome House_1_1"
"5264","CO_83208","CO_83257",0.637,0.281,0.082,0.223,58566,"2811-83208","CHR","dad","CHR-004",NA,NA,NA,"2811-83257","Make Believe","kid","MakeBelieve-14",14,1,"Make Believe_14_1"
"5265","CO_83208","CO_33647",0.726,0.173,0.101,0.188,58332,"2811-83208","CHR","dad","CHR-004",NA,NA,NA,"2881-33647","Make Believe","kid","MakeBelieve-14",69,2,"Make Believe_69_2"
"5521","CO_57733","CO_83142",0.251,0.655,0.094,0.421,61464,"2850-57733","CHR","dad","CHR-011",NA,NA,NA,"2811-83142","CHR","kid","CHR-011",101,2,"CHR_101_2"
"5528","CO_57733","CO_83145",0.284,0.601,0.115,0.416,58490,"2850-57733","CHR","dad","CHR-011",NA,NA,NA,"2811-83145","CHR","kid","CHR-011",101,2,"CHR_101_2"
"5529","CO_57733","CO_83143",0.272,0.601,0.127,0.428,60210,"2850-57733","CHR","dad","CHR-011",NA,NA,NA,"2811-83143","CHR","kid","CHR-011",101,2,"CHR_101_2"
"5530","CO_57733","CO_83144",0.238,0.666,0.096,0.429,67283,"2850-57733","CHR","dad","CHR-011",NA,NA,NA,"2811-83144","CHR","kid","CHR-011",101,2,"CHR_101_2"
"5536","CO_57733","CO_83242",0.303,0.565,0.133,0.415,61909,"2850-57733","CHR","dad","CHR-011",NA,NA,NA,"2811-83242","CHR","kid","CHR-025",25,1,"CHR_25_1"
"5586","CO_57733","CO_34014",0.275,0.608,0.118,0.421,57757,"2850-57733","CHR","dad","CHR-011",NA,NA,NA,"2881-34014","CHR","kid","CHR-066",66,1,"CHR_66_1"
"5594","CO_57733","CO_34015",0.288,0.594,0.117,0.415,56755,"2850-57733","CHR","dad","CHR-011",NA,NA,NA,"2881-34015","CHR","kid","CHR-066",66,1,"CHR_66_1"
"5603","CO_57733","CO_83304",0.658,0.212,0.13,0.236,59732,"2850-57733","CHR","dad","CHR-011",NA,NA,NA,"2811-83304","CHR","kid","CHR-096",96,1,"CHR_96_1"
"5607","CO_57733","CO_83301",0.623,0.286,0.092,0.235,54302,"2850-57733","CHR","dad","CHR-011",NA,NA,NA,"2811-83301","CHR","kid","CHR-096",96,1,"CHR_96_1"
"5611","CO_57733","CO_83121",0.322,0.514,0.164,0.421,49965,"2850-57733","CHR","dad","CHR-011",NA,NA,NA,"2811-83121","CHR","kid","CHR-080",80,1,"CHR_80_1"
"5612","CO_57733","CO_83320",0.585,0.341,0.074,0.245,57099,"2850-57733","CHR","dad","CHR-011",NA,NA,NA,"2811-83320","CHR","kid","CHR-096",96,2,"CHR_96_2"
"5623","CO_57733","CO_83302",0.622,0.292,0.086,0.232,61905,"2850-57733","CHR","dad","CHR-011",NA,NA,NA,"2811-83302","CHR","kid","CHR-096",96,1,"CHR_96_1"
"5624","CO_57733","CO_83322",0.603,0.295,0.102,0.25,63325,"2850-57733","CHR","dad","CHR-011",NA,NA,NA,"2811-83322","CHR","kid","CHR-096",96,2,"CHR_96_2"
"5632","CO_57733","CO_T001",0.647,0.262,0.091,0.222,56561,"2850-57733","CHR","dad","CHR-011",NA,NA,NA,"T001","CHR","kid","CHR-096",96,1,"CHR_96_1"
"5633","CO_57733","CO_83321",0.607,0.314,0.079,0.236,58496,"2850-57733","CHR","dad","CHR-011",NA,NA,NA,"2811-83321","CHR","kid","CHR-096",96,2,"CHR_96_2"
"6013","CO_57881","CO_33656",0.293,0.582,0.126,0.417,57620,"2850-57881","CHR","dad","CHR-025",NA,NA,NA,"2881-33656","CHR","kid","CHR-025",95,2,"CHR_95_2"
"6018","CO_57881","CO_33657",0.273,0.61,0.117,0.422,54781,"2850-57881","CHR","dad","CHR-025",NA,NA,NA,"2881-33657","CHR","kid","CHR-025",95,2,"CHR_95_2"
