"Ind2","Ind1","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest.._ind1","Brood.._ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest.._ind2","Brood.._ind2","clutch_id_ind2"
"CO_33626","CO_97596",0.311,0.552,0.137,0.413,54729,"2640-97596","Make Believe","mom","MakeBelieve-73",NA,NA,NA,"2881-33626","Make Believe","kid","MakeBelieve-73",73,2,"Make Believe_73_2"
"CO_33627","CO_57679",0.294,0.576,0.13,0.418,62500,"2850-57679","Starlight","dad","none",NA,NA,NA,"2881-33627","Blue Cloud","kid","BlueCloud-04",17,2,"Blue Cloud_17_2"
"CO_33627","CO_57869",0.259,0.657,0.084,0.412,57361,"2850-57869","Blue Cloud","mom","BlueCloud-04",NA,NA,NA,"2881-33627","Blue Cloud","kid","BlueCloud-04",17,2,"Blue Cloud_17_2"
"CO_33628","CO_57901",0.3,0.568,0.132,0.416,53147,"2850-57901","Blue Cloud","dad","BlueCloud-05",NA,NA,NA,"2881-33628","Blue Cloud","kid","BlueCloud-04",17,2,"Blue Cloud_17_2"
"CO_33628","CO_57869",0.3,0.567,0.133,0.416,55323,"2850-57869","Blue Cloud","mom","BlueCloud-04",NA,NA,NA,"2881-33628","Blue Cloud","kid","BlueCloud-04",17,2,"Blue Cloud_17_2"
"CO_33629","CO_57659",0.323,0.557,0.12,0.399,58529,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33629","Blue Cloud","kid","BlueCloud-04",17,2,"Blue Cloud_17_2"
"CO_33629","CO_57869",0.318,0.528,0.154,0.418,54210,"2850-57869","Blue Cloud","mom","BlueCloud-04",NA,NA,NA,"2881-33629","Blue Cloud","kid","BlueCloud-04",17,2,"Blue Cloud_17_2"
"CO_33630","CO_57659",0.331,0.538,0.131,0.4,60088,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33630","Blue Cloud","kid","BlueCloud-04",17,2,"Blue Cloud_17_2"
"CO_33630","CO_57869",0.3,0.571,0.129,0.415,55581,"2850-57869","Blue Cloud","mom","BlueCloud-04",NA,NA,NA,"2881-33630","Blue Cloud","kid","BlueCloud-04",17,2,"Blue Cloud_17_2"
"CO_33631","CO_57806",0.322,0.54,0.138,0.408,53063,"2850-57806","CHR","dad","CHR-037",NA,NA,NA,"2881-33631","CHR","kid","CHR-037",119,2,"CHR_119_2"
"CO_33631","CO_57806",0.322,0.54,0.138,0.408,53063,"2850-57806","CHR","dad","CHR-096",NA,NA,NA,"2881-33631","CHR","kid","CHR-037",119,2,"CHR_119_2"
"CO_33631","CO_57806",0.322,0.54,0.138,0.408,53063,"2850-57806","CHR","dad","CHR-037",NA,NA,NA,"2881-33631","CHR","kid","CHR-037",119,2,"CHR_119_2"
"CO_33631","CO_57806",0.322,0.54,0.138,0.408,53063,"2850-57806","CHR","dad","CHR-096",NA,NA,NA,"2881-33631","CHR","kid","CHR-037",119,2,"CHR_119_2"
"CO_33631","CO_57735",0.284,0.608,0.107,0.412,57584,"2850-57735","CHR","mom","CHR-037",NA,NA,NA,"2881-33631","CHR","kid","CHR-037",119,2,"CHR_119_2"
"CO_33632","CO_57806",0.335,0.502,0.162,0.414,50387,"2850-57806","CHR","dad","CHR-037",NA,NA,NA,"2881-33632","CHR","kid","CHR-037",119,2,"CHR_119_2"
"CO_33632","CO_57806",0.335,0.502,0.162,0.414,50387,"2850-57806","CHR","dad","CHR-096",NA,NA,NA,"2881-33632","CHR","kid","CHR-037",119,2,"CHR_119_2"
"CO_33632","CO_57806",0.335,0.502,0.162,0.414,50387,"2850-57806","CHR","dad","CHR-037",NA,NA,NA,"2881-33632","CHR","kid","CHR-037",119,2,"CHR_119_2"
"CO_33632","CO_57806",0.335,0.502,0.162,0.414,50387,"2850-57806","CHR","dad","CHR-096",NA,NA,NA,"2881-33632","CHR","kid","CHR-037",119,2,"CHR_119_2"
"CO_33632","CO_57735",0.323,0.528,0.148,0.413,54583,"2850-57735","CHR","mom","CHR-037",NA,NA,NA,"2881-33632","CHR","kid","CHR-037",119,2,"CHR_119_2"
"CO_33633","CO_57752",0.281,0.612,0.107,0.413,58190,"2850-57752","McCauley","dad","McCauley-04",NA,NA,NA,"2881-33633","McCauley","kid","McCauley-01",2,2,"McCauley_2_2"
"CO_33633","CO_57640",0.275,0.61,0.115,0.42,61907,"2850-57640","McCauley","mom","McCauley-01",NA,NA,NA,"2881-33633","McCauley","kid","McCauley-01",2,2,"McCauley_2_2"
"CO_33634","CO_57752",0.268,0.624,0.107,0.42,61662,"2850-57752","McCauley","dad","McCauley-04",NA,NA,NA,"2881-33634","McCauley","kid","McCauley-01",2,2,"McCauley_2_2"
"CO_33634","CO_57640",0.272,0.631,0.097,0.413,65648,"2850-57640","McCauley","mom","McCauley-01",NA,NA,NA,"2881-33634","McCauley","kid","McCauley-01",2,2,"McCauley_2_2"
"CO_33635","CO_57752",0.269,0.629,0.102,0.416,57793,"2850-57752","McCauley","dad","McCauley-04",NA,NA,NA,"2881-33635","McCauley","kid","McCauley-01",2,2,"McCauley_2_2"
"CO_33635","CO_57640",0.273,0.635,0.092,0.41,61544,"2850-57640","McCauley","mom","McCauley-01",NA,NA,NA,"2881-33635","McCauley","kid","McCauley-01",2,2,"McCauley_2_2"
"CO_33636","CO_57752",0.24,0.664,0.096,0.428,59611,"2850-57752","McCauley","dad","McCauley-04",NA,NA,NA,"2881-33636","McCauley","kid","McCauley-01",2,2,"McCauley_2_2"
"CO_33636","CO_57640",0.256,0.659,0.085,0.414,63451,"2850-57640","McCauley","mom","McCauley-01",NA,NA,NA,"2881-33636","McCauley","kid","McCauley-01",2,2,"McCauley_2_2"
"CO_33637","CO_57686",0.261,0.645,0.094,0.417,67625,"2850-57686","Boyer","dad","Boyer-05-07",NA,NA,NA,"2881-33637","Boyer","kid","Boyer-05-07",7,2,"Boyer's_7_2"
"CO_33637","CO_57688",0.253,0.648,0.099,0.423,66639,"2850-57688","Boyer","mom","Boyer-05-07",NA,NA,NA,"2881-33637","Boyer","kid","Boyer-05-07",7,2,"Boyer's_7_2"
"CO_33638","CO_57686",0.242,0.67,0.088,0.423,62707,"2850-57686","Boyer","dad","Boyer-05-07",NA,NA,NA,"2881-33638","Boyer","kid","Boyer-05-07",7,2,"Boyer's_7_2"
"CO_33638","CO_57688",0.258,0.635,0.107,0.424,61861,"2850-57688","Boyer","mom","Boyer-05-07",NA,NA,NA,"2881-33638","Boyer","kid","Boyer-05-07",7,2,"Boyer's_7_2"
"CO_33639","CO_57686",0.253,0.644,0.103,0.425,61156,"2850-57686","Boyer","dad","Boyer-05-07",NA,NA,NA,"2881-33639","Boyer","kid","Boyer-05-07",7,2,"Boyer's_7_2"
"CO_33639","CO_57688",0.251,0.661,0.088,0.418,60406,"2850-57688","Boyer","mom","Boyer-05-07",NA,NA,NA,"2881-33639","Boyer","kid","Boyer-05-07",7,2,"Boyer's_7_2"
"CO_33640","CO_57686",0.25,0.656,0.094,0.422,65157,"2850-57686","Boyer","dad","Boyer-05-07",NA,NA,NA,"2881-33640","Boyer","kid","Boyer-05-07",7,2,"Boyer's_7_2"
"CO_33640","CO_57688",0.249,0.657,0.094,0.423,64278,"2850-57688","Boyer","mom","Boyer-05-07",NA,NA,NA,"2881-33640","Boyer","kid","Boyer-05-07",7,2,"Boyer's_7_2"
"CO_33641","CO_57686",0.247,0.665,0.087,0.42,66169,"2850-57686","Boyer","dad","Boyer-05-07",NA,NA,NA,"2881-33641","Boyer","kid","Boyer-05-07",7,2,"Boyer's_7_2"
"CO_33641","CO_57688",0.267,0.612,0.121,0.427,65255,"2850-57688","Boyer","mom","Boyer-05-07",NA,NA,NA,"2881-33641","Boyer","kid","Boyer-05-07",7,2,"Boyer's_7_2"
"CO_33642","CO_57901",0.314,0.548,0.139,0.413,49453,"2850-57901","Blue Cloud","dad","BlueCloud-05",NA,NA,NA,"2881-33642","Blue Cloud","kid","BlueCloud-05",5,2,"Blue Cloud_5_2"
"CO_33642","CO_57572",0.297,0.555,0.148,0.426,55011,"2850-57572","Blue Cloud","mom","BlueCloud-05",NA,NA,NA,"2881-33642","Blue Cloud","kid","BlueCloud-05",5,2,"Blue Cloud_5_2"
"CO_33643","CO_57901",0.319,0.525,0.156,0.419,52647,"2850-57901","Blue Cloud","dad","BlueCloud-05",NA,NA,NA,"2881-33643","Blue Cloud","kid","BlueCloud-05",5,2,"Blue Cloud_5_2"
