"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","band_ind1","site_ind1","nest_ind1","type_ind1","FamilyID_ind1","brood_ind1","clutchID_ind1","band_ind2","site_ind2","nest_ind2","type_ind2","FamilyID_ind2","brood_ind2","clutchID_ind2"
"CO_57572","CO_57941",0.988,0.009,0.003,0.007,59250,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57941","Make Believe",69,"mom","MakeBelieve-69","","Make Believe_69_"
"CO_57572","CO_57934",0.986,0.013,0.001,0.007,56975,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57934","Boyer",3,"mom","Boyer-03","","Boyer_3_"
"CO_57572","CO_57937",0.989,0.01,0,0.005,61217,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57937","Make Believe",74,"dad","MakeBelieve-74","","Make Believe_74_"
"CO_57572","CO_57943",0.981,0.011,0.008,0.013,62922,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57943","Struthers",23,"mom","Struthers-23","","Struthers_23_"
"CO_57572","CO_57938",0.985,0.014,0.001,0.008,62247,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57938","Make Believe",34,"mom","MakeBelieve-34","","Make Believe_34_"
"CO_57572","CO_57947",0.988,0.008,0.003,0.008,61395,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57947","Blue Cloud",28,"dad","Nixon-01","","Blue Cloud_28_"
"CO_57572","CO_57946",0.991,0.009,0,0.004,60402,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57946","Blue Cloud",28,"mom","Nixon-01","","Blue Cloud_28_"
"CO_57572","CO_57945",0.989,0.01,0.001,0.006,61644,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57945","Plumbumpy",1,"mom","Plum-01","","Plumbumpy_1_"
"CO_57572","CO_57939",0.981,0.018,0.001,0.01,62068,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57939","Make Believe",74,"mom","MakeBelieve-74","","Make Believe_74_"
"CO_57572","CO_57944",0.99,0.01,0,0.005,63150,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57944","Plumbumpy",1,"dad","Plum-01","","Plumbumpy_1_"
"CO_57572","CO_57948",0.989,0.01,0.001,0.006,60477,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57948","Cooks",15,"mom","Cooks-15","","Cooks_15_"
"CO_57572","CO_57949",0.991,0.008,0.001,0.005,62184,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57949","Speedwell",1,"dad","Speedwell-01","","Speedwell_1_"
"CO_57572","CO_57954",0.987,0.011,0.003,0.008,60009,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57954","Cathys",1,"mom","Cathys-01","","Cathys_1_"
"CO_57572","CO_57955",0.903,0.097,0,0.049,60674,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57955","CHR",NA,"dad","none","","CHR_NA_"
"CO_57572","CO_57970",0.983,0.012,0.006,0.011,61584,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57970","CHR",NA,"dad","none","","CHR_NA_"
"CO_57572","CO_57950",0.989,0.011,0,0.006,60400,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57950","Speedwell",1,"mom","Speedwell-01","","Speedwell_1_"
"CO_57572","CO_57956",0.989,0.01,0.001,0.006,56682,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57956","Karens",1,"mom","Karens-01","","Karens_1_"
"CO_57572","CO_57963",0.957,0.037,0.006,0.024,58696,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57963","CHR",NA,"dad","none","","CHR_NA_"
"CO_57572","CO_57962",0.98,0.018,0.002,0.011,59980,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57962","CHR",NA,"dad","none","","CHR_NA_"
"CO_57572","CO_57978",0.983,0.013,0.004,0.01,56050,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57978","Red Wagon",1,"mom","RedWagon-01","","Red Wagon_1_"
"CO_57572","CO_57977",0.932,0.056,0.012,0.04,60766,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57977","Red Wagon",1,"dad","RedWagon-01","","Red Wagon_1_"
"CO_57572","CO_57972",0.983,0.017,0,0.009,57582,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57972","CHR",NA,"dad","none","","CHR_NA_"
"CO_57572","CO_64928",0.978,0.018,0.004,0.013,56990,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2870-64928","CHR",NA,"dad","none","","CHR_NA_"
"CO_57572","CO_64920",0.983,0.016,0.001,0.009,59687,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2870-64920","CHR",NA,"dad","none","","CHR_NA_"
"CO_57572","CO_64924",0.985,0.015,0,0.008,61123,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2870-64924","CHR",NA,"dad","none","","CHR_NA_"
"CO_57572","CO_65015",0.986,0.013,0.001,0.007,66973,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2870-65015","Boyer",14,"mom","Boyer-14","","Boyer_14_"
"CO_57572","CO_65014",0.991,0.009,0,0.005,62758,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2870-65014","Boyer",2,"dad","Boyer-02","","Boyer_2_"
"CO_57572","CO_65018",0.983,0.012,0.005,0.011,60538,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2870-65018","Make Believe",17,"dad","MakeBelieve-17","","Make Believe_17_"
"CO_57572","CO_65016",0.986,0.013,0.001,0.007,64137,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2870-65016","Boyer",3,"dad","Boyer-03","","Boyer_3_"
"CO_57572","CO_65020",0.987,0.011,0.002,0.008,59757,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2870-65020","CHR",NA,"dad","none","","CHR_NA_"
"CO_57572","CO_65017",0.985,0.014,0,0.007,60332,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2870-65017","Make Believe",34,"dad","MakeBelieve-34","","Make Believe_34_"
"CO_57572","CO_65019",0.985,0.014,0.001,0.008,60816,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2870-65019","Make Believe",17,"mom","MakeBelieve-17","","Make Believe_17_"
"CO_57572","CO_65023",0.985,0.014,0.001,0.008,61347,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2870-65023","CHR",NA,"dad","none","","CHR_NA_"
"CO_57572","CO_83123",0.977,0.023,0.001,0.012,60294,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2811-83123","CHR",NA,"dad","none","","CHR_NA_"
"CO_57572","CO_83118",0.987,0.013,0,0.007,61786,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2811-83118","Cooks",15,"dad","Cooks-15","","Cooks_15_"
"CO_57572","CO_83258",0.98,0.019,0.002,0.011,63141,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2811-83258","CHR",NA,"dad","none","","CHR_NA_"
"CO_57572","CO_57931",0.99,0.008,0.003,0.006,66245,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57931","Cooks",2,"mom","Cooks-02","","Cooks_2_"
"CO_57572","CO_57687",0.989,0.009,0.002,0.006,68590,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57687","Boyer",2,"mom","Boyer-02","","Boyer_2_"
"CO_57572","CO_57953",0.991,0.009,0,0.004,67259,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57953","Cathys",1,"dad","Cathys-01","","Cathys_1_"
"CO_57572","CO_57952",0.989,0.01,0.001,0.006,66940,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57952","Jays",1,"mom","Jays-01","","Jays_1_"
"CO_57572","CO_57958",0.983,0.013,0.004,0.011,66610,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57958","CHR",NA,"dad","none","","CHR_NA_"
"CO_57572","CO_57967",0.988,0.012,0.001,0.007,68994,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57967","Green Mill",2,"dad","none","","Green Mill_2_"
"CO_57572","CO_57976",0.986,0.012,0.001,0.008,69974,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57976","Urban Farm Girlz",4,"dad","UrbanFarm-07","","Urban Farm Girlz_4_"
"CO_57572","CO_65021",0.988,0.008,0.004,0.008,67044,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2870-65021","CHR",NA,"dad","none","","CHR_NA_"
"CO_57572","CO_64921",0.989,0.011,0,0.006,67591,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2870-64921","CHR",NA,"dad","none","","CHR_NA_"
"CO_57901","CO_97548",0.993,0.006,0.002,0.005,56183,"2850-57901","Blue Cloud",6,"dad","BlueCloud-06","","Blue Cloud_6_","2640-97548","Blue Cloud",18,"dad","BlueCloud-18","","Blue Cloud_18_"
"CO_57572","CO_57980",0.981,0.016,0.003,0.011,44676,"2850-57572","Blue Cloud",6,"mom","BlueCloud-06","","Blue Cloud_6_","2850-57980","Cooks",4.2,"dad","Cooks-04.2","","Cooks_4.2_"
"CO_57901","CO_57688",0.984,0.012,0.004,0.01,56883,"2850-57901","Blue Cloud",6,"dad","BlueCloud-06","","Blue Cloud_6_","2850-57688","Boyer",5,"mom","Boyer-05","","Boyer_5_"
"CO_57901","CO_57688",0.984,0.012,0.004,0.01,56883,"2850-57901","Blue Cloud",6,"dad","BlueCloud-06","","Blue Cloud_6_","2850-57688","Boyer",15,"mom","Boyer-15","","Boyer_15_"
"CO_57901","CO_64906",0.991,0.008,0,0.005,51388,"2850-57901","Blue Cloud",6,"dad","BlueCloud-06","","Blue Cloud_6_","2870-64906","Boyer",9,"dad","Boyer-09","","Boyer_9_"
"CO_57901","CO_57686",0.993,0.007,0,0.004,57432,"2850-57901","Blue Cloud",6,"dad","BlueCloud-06","","Blue Cloud_6_","2850-57686","Boyer",13,"dad","Boyer-13","","Boyer_13_"
